Feature,1015103,1015104,1015105,1015106,1015108,1015112,1015120,1015175,1015176,1015177,1015178,1015179,1015180,1015181,1015182,1015183,1015184,1015185,1015186,1015187,1015188,1015189,1015190,1015191,1015192,1015193,1015194
高度(mm),3150,3150,3150,3150,3150,2780,2315,3215,2360,3150,2395,2395,2395,3215,2780,2780,2780,2350,2360,3215,2780,2780,2360,2885,2320,2440,2975
驾驶辅助影像,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995
长*宽*高(mm),5995*2180*3150,5995*2180*3150,5995*2180*3150,5995*2180*3150,5995*2180*3150,5995*2180*2780,5995*2180*2315,5995*2510*3215,5995*2380*2360,5995*2180*3150,5995*2180*2395,5995*2180*2395,5995*2180*2395,5995*2360*3215,5995*2380*2780,5995*2380*2780,5995*2380*2780,5995*2380*2350,5995*2380*2360,5995*2360*3215,5995*2380*2780,5995*2020*2780,5995*2180*2360,5995*2380*2885,5995*1970*2320,5995*2380*2440,5995*2180*2975
钥匙类型,,,,,,,,-,,,,,,,,,,,,,,-,-,-,,-,
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360
