,14363,15000,15001,15002,15003,15004,20734,20735
空气悬架,-,-,-,-,-,-,-,-
电磁感应悬架,-,-,-,-,-,-,-,-
可变转向比,-,-,-,-,-,-,-,-
前桥限滑差速器/差速锁,-,-,-,-,-,-,-,-
中央差速器锁止功能,-,-,-,-,-,-,-,-
后桥限滑差速器/差速锁,-,-,-,-,-,-,-,-
整体主动转向系统,-,-,-,-,-,-,-,-
电动天窗,-,-,-,-,-,-,-,-
全景天窗,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-
铝合金轮圈,●,●,●,●,-,-,●,●
电动吸合门,-,-,-,-,-,-,-,-
侧滑门,单侧电动侧滑门,手动侧滑门（选装单侧电动侧滑门）,双侧电动侧滑门,手动侧滑门（选装单侧电动侧滑门）,手动侧滑门,手动侧滑门,手动侧滑门,单侧电动侧滑门
电动后备厢,-,-,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-
发动机电子防盗,●,-,-,●,●,-,●,●
车内中控锁,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●
无钥匙启动系统,●,●,●,●,●,●,●,●
无钥匙进入系统,●,●,●,●,●,●,●,●
远程启动,-,-,-,-,-,-,-,-
皮质方向盘,●,●,●,●,●,●,●,●
方向盘调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节
方向盘电动调节,-,-,-,-,-,-,-,-
多功能方向盘,●,●,●,●,●,●,●,●
方向盘换挡,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-
行车电脑显示屏,●,●,●,●,●,●,●,●
全液晶仪表盘,-,-,-,-,-,-,-,-
HUD抬头数字显示,-,-,-,-,-,-,-,-
内置行车记录仪,-,-,-,-,-,-,-,-
主动降噪,-,-,-,-,-,-,-,-
手机无线充电,-,-,-,-,-,-,-,-
座椅材质,真皮,仿皮,真皮,仿皮,织物,织物,仿皮,真皮
运动风格座椅,-,-,-,-,-,-,-,-
座椅高低调节,●,●,●,●,●,●,●,●
腰部支撑调节,-,-,-,-,-,-,-,-
肩部支撑调节,-,-,-,-,-,-,-,-
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副-,-,主●&nbsp;/&nbsp;副-,-,-,-,-,主●&nbsp;/&nbsp;副-
第二排靠背角度调节,●,●,●,●,●,●,●,●
第二排座椅移动,●,●,●,●,●,●,●,●
后排座椅电动调节,-,-,-,-,-,-,-,-
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-,-,-
前/后排座椅加热,前●&nbsp;/&nbsp;后-,-,前●&nbsp;/&nbsp;后-,-,-,-,-,前●&nbsp;/&nbsp;后-
前/后排座椅通风,-,-,-,-,-,-,-,-
前/后排座椅按摩,-,-,-,-,-,-,-,-
第二排独立座椅,●,●,●,●,●,●,●,●
第三排座椅,3座,3座,3座,3座,3座,3座,3座,3座
后排座椅放倒方式,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
后排杯架,●,●,●,●,●,●,●,●
可加热/制冷杯架,-,-,-,-,-,-,-,-
GPS导航系统,●,●,●,●,-,-,●,●
道路救援呼叫,-,-,-,-,-,-,-,-
中控台彩色大屏,●,●,●,●,-,-,●,●
中控台彩色大屏尺寸,8英寸,8英寸,8英寸,8英寸,-,-,8英寸,8英寸
中控液晶屏分屏显示,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,-,-,●,●
手机互联/映射,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-
车载电视,●,●,●,●,-,-,●,●
后排液晶屏,-,-,-,-,-,-,-,-
220V/230V电源,-,-,-,-,-,-,-,-
外接音源接口,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX,USB+AUX,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽
CD/DVD,单碟DVD,单碟DVD,单碟DVD,单碟DVD,单碟CD,单碟CD,单碟DVD,单碟DVD
扬声器品牌,-,-,-,-,-,-,-,-
扬声器数量,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
LED日间行车灯,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-
自动头灯,●,●,●,●,-,-,●,●
转向辅助灯,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-
前雾灯,●,●,●,●,-,-,●,●
大灯高度可调,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-
车内氛围灯,●,●,●,●,-,-,●,●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗一键升降,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-
防紫外线/隔热玻璃,●,●,●,●,●,●,●,●
后视镜电动调节,●,●,●,●,●,●,●,●
后视镜加热,●,●,●,●,●,●,●,●
内/外后视镜自动防眩目,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,-,-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-
流媒体车内后视镜,-,-,-,-,-,-,-,-
后视镜电动折叠,●,●,●,●,-,-,●,●
后视镜记忆,-,-,-,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-
后排侧隐私玻璃,●,●,●,●,●,●,●,●
遮阳板化妆镜,●,●,●,●,●,●,●,●
后雨刷,●,●,●,●,-,-,●,●
感应雨刷,-,-,-,-,-,-,-,-
空调控制方式,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●
后排独立空调,●,●,●,●,○,○,●,●
后座出风口,●,●,●,●,●,●,●,●
温度分区控制,●,●,●,●,●,●,●,●
车内空气调节/花粉过滤,●,●,●,●,●,●,●,●
车载空气净化器,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-
车型名称,比亚迪M6 2013款 2.4L 手动尊贵型,比亚迪M6 2013款 2.4L 自动豪华型,比亚迪M6 2013款 2.4L 自动尊贵型,比亚迪M6 2013款 2.4L 手动豪华型,比亚迪M6 2013款 2.4L 手动舒适型,比亚迪M6 2013款 2.0L 手动舒适型,比亚迪M6 2015款 2.4L 自动豪华型,比亚迪M6 2015款 2.4L 自动尊贵版
厂商指导价(元),13.59万,14.39万,15.39万,12.59万,11.39万,10.39万,13.59万,14.59万
厂商,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪
级别,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,2013.02,2013.02,2013.02,2013.02,2013.02,2013.02,2014.10,2014.10
工信部纯电续驶里程(km),-,-,-,-,-,-,-,-
最大功率(kW)_x,123,118,118,123,123,103,123,123
最大扭矩(N·m)_x,234,215,215,234,234,186,234,234
发动机,2.4L 167马力 L4,2.4L 160马力 L4,2.4L 160马力 L4,2.4L 167马力 L4,2.4L 167马力 L4,2.0L 140马力 L4,2.4L 167马力 L4,2.4L 167马力 L4
变速箱,6挡手动,4挡手自一体,4挡手自一体,6挡手动,6挡手动,5挡手动,6挡双离合,6挡双离合
长*宽*高(mm),4820*1810*1765,4820*1810*1765,4820*1810*1765,4820*1810*1765,4820*1810*1765,4820*1810*1765,4820*1810*1765,4820*1810*1765
车身结构_x,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV
最高车速(km/h),180,185,185,180,180,180,180,180
官方0-100km/h加速(s),-,-,-,-,-,-,-,-
实测0-100km/h加速(s),-,-,-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),9.6,9.2,9.2,9.6,9.6,8.9,-,-
实测油耗(L/100km),-,-,-,-,-,-,-,-
整车质保,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里
长度(mm),4820,4820,4820,4820,4820,4820,4820,4820
宽度(mm),1810,1810,1810,1810,1810,1810,1810,1810
高度(mm),1765,1765,1765,1765,1765,1765,1765,1765
轴距(mm),2960,2960,2960,2960,2960,2960,2960,2960
前轮距(mm),1550,1550,1550,1550,1550,1550,1550,1550
后轮距(mm),1555,1555,1555,1555,1555,1555,1555,1555
最小离地间隙(mm),150,150,150,150,150,150,150,150
车身结构_y,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车门数(个),5,5,5,5,5,5,5,5
座位数(个),7,7,7,7,7,7,7,7
油箱容积(L),65,65,65,65,65,65,65,65
行李厢容积(L),504-2520,504-2520,504-2520,504-2520,504-2520,504-2520,504-2520,504-2520
整备质量(kg),1720,1760,1760,1720,1720,1710,1790,1790
发动机型号,BYD488QA,4G69,4G69,BYD488QA,BYD488QA,BYD483QB,BYD488QA,BYD488QA
排量(mL),2362,2378,2378,2362,2362,1991,2362,2362
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
气缸排列形式,L,L,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4,4,4
每缸气门数(个),4,4,4,4,4,4,4,4
压缩比,-,9.5,9.5,-,-,9.6,-,-
配气机构,DOHC,SOHC,SOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,87,87,-,-,-,-,-
行程(mm),-,100,100,-,-,-,-,-
最大马力(Ps),167,160,160,167,167,140,167,167
最大功率(kW)_y,123,118,118,123,123,103,123,123
最大功率转速(rpm),6000,5500-6000,5500-6000,6000,6000,6000,6000,6000
最大扭矩(N·m)_y,234,215,215,234,234,186,234,234
最大扭矩转速(rpm),4000,3500-4500,3500-4500,4000,4000,4000-4500,4000,4000
发动机特有技术,-,MIVEC智能可变气门正时系统,MIVEC智能可变气门正时系统,-,-,BIVT可变进气系统,-,-
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
环保标准,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV
挡位个数,6,4,4,6,6,5,6,6
变速箱类型,手动变速箱(MT),手自一体变速箱(AT),手自一体变速箱(AT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),双离合变速箱(DCT),双离合变速箱(DCT)
简称,6挡手动,4挡手自一体,4挡手自一体,6挡手动,6挡手动,5挡手动,6挡双离合,6挡双离合
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
后悬架类型,纵臂扭力梁式非独立悬架,纵臂扭力梁式非独立悬架,纵臂扭力梁式非独立悬架,纵臂扭力梁式非独立悬架,纵臂扭力梁式非独立悬架,纵臂扭力梁式非独立悬架,纵臂扭力梁式非独立悬架,纵臂扭力梁式非独立悬架
助力类型,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹
前轮胎规格,215/55 R17,215/55 R17,215/55 R17,215/55 R17,215/55 R17,215/55 R17,215/55 R17,215/55 R17
后轮胎规格,215/55 R17,215/55 R17,215/55 R17,215/55 R17,215/55 R17,215/55 R17,215/55 R17,215/55 R17
备胎规格,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸
