,1001541,1001542,1001543,1001544,1001545,1001546,1003770,1003771,1003772,1003773,1003774
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-
遮阳板化妆镜,-,-,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,●,-,-,-,-,-
感应雨刷,-,-,-,-,-,-,-,-,-,-,-
空调控制方式,-,-,-,手动●,手动●,手动●,手动●,-,-,-,-
后排独立空调,-,-,-,-,-,-,-,-,-,-,-
后座出风口,-,-,-,-,-,-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-,-,-,-,-,-
车内空气调节/花粉过滤,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-
车型名称,优优2代 2013款 1.0L标准型,优优2代 2013款 1.0L标准盘刹型,优优2代 2013款 1.2L标准盘刹型,优优2代 2013款 1.0L舒适型,优优2代 2013款 1.2L舒适型,优优2代 2013款 1.2L豪华型,优优2代 2016款 1.2L舒适型ACTECO-SQR472WB,优优2代 2016款 1.2L标准型ACTECO-SQR472WB,优优2代 2016款 1.2L基本型ACTECO-SQR472WB,优优2代 2016款 1.0L标准型ACTECO-SQR472WC,优优2代 2016款 1.0L基本型ACTECO-SQR472WC
厂商指导价(元),3.80万,3.83万,3.93万,4.13万,4.23万,4.40万,4.30万,3.90万,3.50万,3.80万,3.40万
厂商,开瑞汽车,开瑞汽车,开瑞汽车,开瑞汽车,开瑞汽车,开瑞汽车,开瑞汽车,开瑞汽车,开瑞汽车,开瑞汽车,开瑞汽车
级别,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,2013.03,2013.03,2013.04,2013.03,2013.04,2013.03,2015.12,2015.12,2015.12,2015.12,2015.12
工信部纯电续驶里程(km),-,-,-,-,-,-,-,-,-,-,-
最大功率(kW)_x,-,-,-,-,-,-,-,-,-,-,-
最大扭矩(N·m)_x,-,-,-,-,-,-,-,-,-,-,-
发动机,1.0L 68马力 L4,1.0L 68马力 L4,1.2L 80马力 L4,1.0L 68马力 L4,1.2L 80马力 L4,1.2L 80马力 L4,1.2L 80马力 L4,1.2L 80马力 L4,1.2L 80马力 L4,1.0L 68马力 L4,1.0L 68马力 L4
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
长*宽*高(mm),4015×1607×1908,4015×1607×1908,4015×1607×1908,4015×1607×1908,4015×1607×1908,4015×1607×1908,4015×1607×1908,4015×1607×1908,4015×1607×1908,4015×1607×1908,4015×1607×1908
车身结构_x,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车
最高车速(km/h),125,125,130,125,130,130,130,130,130,125,125
工信部综合油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-
整车质保,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里
长度(mm),4015,4015,4015,4015,4015,4015,4015,4015,4015,4015,4015
宽度(mm),1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607
高度(mm),1908,1908,1908,1908,1908,1908,1908,1908,1908,1908,1908
轴距(mm),2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600
前轮距(mm),1360,1360,1360,1360,1360,1360,1360,1360,1360,1360,1360
后轮距(mm),1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-
整备质量(kg),-,-,-,-,-,-,-,-,-,-,-
车身结构_y,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车
车门数(个),5,5,5,5,5,5,5,5,5,5,5
座位数(个),5/7/8,5/7/8,5/7/8,5/7/8,5/7/8,5/7/8,5/7/8,5/7/8,5/7/8,5/7/8,5/7/8
后排车门开启方式,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门
油箱容积(L),40,40,40,40,40,40,40,40,40,40,40
货箱尺寸(mm),-,-,-,-,-,-,-,-,-,-,-
最大载重质量(kg),-,-,-,-,-,-,-,-,-,-,-
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
挡位个数,5,5,5,5,5,5,5,5,5,5,5
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
前悬架类型,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂
后悬架类型,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧
助力类型,无助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,无助力,液压助力,无助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
后制动器类型,鼓式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,鼓式,盘式,鼓式
前轮胎规格,175/65 R14,175/65 R14,175/65 R14,175/65 R14,175/65 R14,175/65 R14,175/65 R14,175/65 R14,175/65 R14,175/65 R14,175/65 R14
后轮胎规格,175/65 R14,175/65 R14,175/65 R14,175/65 R14,175/65 R14,175/65 R14,175/65 R14,175/65 R14,175/65 R14,175/65 R14,175/65 R14
发动机型号,-,-,ACTECO-SQR472WB,-,ACTECO-SQR472WB,ACTECO-SQR472WB,ACTECO-SQR472WB,ACTECO-SQR472WB,ACTECO-SQR472WB,ACTECO-SQR472WC,ACTECO-SQR472WC
排量(mL),999,999,1173,999,1173,1173,1173,1173,1173,999,999
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4,4,4,4,4,4
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4
压缩比,-,-,10,-,10,10,10,10,10,9.5,9.5
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),68,68,80,68,80,80,80,80,80,68,68
最大功率(kW)_y,50,50,59,50,59,59,59,59,59,50,50
最大功率转速(rpm),6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
最大扭矩(N·m)_y,102,102,106,102,106,106,106,106,106,92,92
最大扭矩转速(rpm),3500-4500,3500-4500,3500-4500,3500-4500,3500-4500,3500-4500,3500-4500,3500-4500,3500-4500,3500-4500,3500-4500
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
缸盖材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
缸体材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
环保标准,国IV+OBD,国IV+OBD,国IV+OBD,国IV+OBD,国IV+OBD,国IV+OBD,国IV+OBD,国IV+OBD,国IV+OBD,国IV+OBD,国IV+OBD
电机类型,-,-,-,-,-,-,-,-,-,-,-
电动机总功率(kW),-,-,-,-,-,-,-,-,-,-,-
电动机总扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-
前电动机最大功率(kW),-,-,-,-,-,-,-,-,-,-,-
前电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-
后电动机最大功率(kW),-,-,-,-,-,-,-,-,-,-,-
后电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-
驱动电机数,-,-,-,-,-,-,-,-,-,-,-
电机布局,-,-,-,-,-,-,-,-,-,-,-
电池类型,-,-,-,-,-,-,-,-,-,-,-
工信部续航里程(km),-,-,-,-,-,-,-,-,-,-,-
电池容量(kWh),-,-,-,-,-,-,-,-,-,-,-
百公里耗电量(kWh/100km),-,-,-,-,-,-,-,-,-,-,-
电池组质保,-,-,-,-,-,-,-,-,-,-,-
电池充电时间,-,-,-,-,-,-,-,-,-,-,-
快充电量(%),-,-,-,-,-,-,-,-,-,-,-
