Feature,1006133,1006134,1006135,1006136,1006137,1006138,1006139,1006140,1006141,1006142,1006143,1006144,1006404,1006405,1006406,1006592,1006593,1006594,1006595,1006596,1006597,1006856,1006857,1006858,1006859,1006860,1006861,1006862,1006863,1006864,1006865
高度(mm),1700,1700,1700,1700,1700,1700,1700,1700,2455,2455,2455,2455,1700,1700,1700,1760,1760,1760,1760,1760,1760,2455,2455,2475,2475,1760,1760,1760,1760,1760,1760
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4980,5535,4980,5535,4980,5535,4980,5535,5565,5565,5565,5565,4980,5535,5535,5740,5740,5740,5740,5740,5740,5790,5790,5740,5740,5440,5440,5440,5440,5440,5440
长*宽*高(mm),4980×1720×1700,5535×1690×1700,4980×1720×1700,5535×1690×1700,4980×1720×1700,5535×1690×1700,4980×1720×1700,5535×1690×1700,5565×1690×2455,5565×1690×2455,5565×1690×2455,5565×1690×2455,4980×1720×1700,5535×1690×1700,5535×1690×1700,5740×1765×1760,5740×1765×1760,5740×1765×1760,5740×1765×1760,5740×1765×1760,5740×1765×1760,5790×1735×2455,5790×1735×2455,5740×1765×2475,5740×1765×2475,5440×1765×1760,5440×1765×1760,5440×1765×1760,5440×1765×1760,5440×1765×1760,5440×1765×1760
铝合金轮圈,●,-,●,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
遥控钥匙,●,●,●,●,○,○,○,○,●,●,○,○,●,●,●,●,●,●,○,○,○,○,●,●,○,●,●,●,○,○,○
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3025,3470,3025,3470,3025,3470,3025,3470,3470,3470,3470,3470,3025,3470,3470,3470,3470,3470,3470,3470,3470,-,-,-,-,-,-,-,-,-,-
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,货车,货车,货车,货车,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,货车,货车,货车,货车,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,货车,货车,货车,货车,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,货车,货车,货车,货车,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
