Feature,1014484,1014485,1014486,1014487,1014488,1014489,1015024,1015025,1015026,1015027
高度(mm),1865,1865,1865,1865,1865,1865,1865,1865,1865,1865
驾驶辅助影像,,,,,,,,,,
驱动方式,前置四驱,前置四驱,前置后驱,前置四驱,前置后驱,前置四驱,前置后驱,前置四驱,前置后驱,前置四驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,,-,-,-,-
长度(mm),5685,5685,5685,5685,5685,5685,5685,5685,5685,5685
长*宽*高(mm),5685×1950×1865,5685×1950×1865,5685×1950×1865,5685×1950×1865,5685×1950×1865,5685×1950×1865,5685×1950×1865,5685×1950×1865,5685×1950×1865,5685×1950×1865
钥匙类型,,,,,,,,,,
配气机构,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
远光灯光源,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,
轴距(mm),3405,3405,3405,3405,3405,3405,3405,3405,3405,3405
轮圈材质,,,,,,,,,,
车门数(个),4,4,4,4,4,4,4,4,4,4
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,-,●,●,●,●
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-
车型名称,2023款 2.4T汽油手动四驱公务版4K22D4T,2023款 2.5T柴油手动四驱智享型JE4D25Q6A,2023款 2.5T柴油手动两驱智享型JE4D25Q6A,2023款 2.4T汽油手动四驱智享型4K22D4T,2023款 2.4T汽油手动两驱智享型4K22D4T,2023款 2.5T柴油手动四驱运动型JE4D25Q6A,2023款 2.5T柴油手动两驱智尊型JE4D25Q6A,2023款 2.5T柴油手动四驱智尊型JE4D25Q6A,2023款 2.4T汽油手动两驱智尊型4K22D4T,2023款 2.4T汽油手动四驱智尊型4K22D4T
车前雾灯,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-
车内化妆镜,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),1715x1620x460,1715x1620x480,1715x1620x480,1715x1620x480,1715x1620x480,1715x1620x480,1715x1620x480,1715x1620x480,1715x1620x480,1715x1620x480
行车电脑显示屏幕,,,,,,,,,,
行程(mm),-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-
自动驻车,●,-,-,-,-,-,●,●,●,●
自动头灯,●,●,●,●,●,●,●,●,●,●
能源类型,汽油,柴油,柴油,汽油,汽油,柴油,柴油,柴油,汽油,汽油
胎压监测功能,,-,-,-,-,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,未知,未知,铝合金,铝合金,未知,未知,未知,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-
缸体材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
级别,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
简称,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动
第二排座椅调节,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,-,●,●,●,●
燃油标号,92号,0号,0号,92号,92号,0号,0号,0号,92号,92号
燃料形式,汽油,柴油,柴油,汽油,汽油,柴油,柴油,柴油,汽油,汽油
温度分区控制,-,-,-,-,-,-,-,-,-,-
油箱容积(L),70,70,70,70,70,70,70,70,70,70
气缸数(个),4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
最高车速(km/h),160,150,150,160,160,150,150,150,160,160
最小离地间隙(mm),230,230,230,230,230,230,230,230,230,230
最大马力(Ps),218,150,150,218,218,150,150,150,218,218
最大载重质量(kg),490,490,490,490,490,490,490,490,490,490
最大满载质量(kg),2780,2905,2835,2780,2705,2905,-,-,-,-
最大扭矩转速(rpm),2000-4000,1400-2800,1400-2800,2000-4000,2000-4000,1400-2800,1400-2800,1400-2800,2000-4000,2000-4000
最大扭矩(N·m)_y,320,360,360,320,320,360,360,360,320,320
最大扭矩(N·m)_x,320,360,360,320,320,360,360,360,320,320
最大功率转速(rpm),5600,3600,3600,5600,5600,3600,3600,3600,5600,5600
最大功率(kW)_y,160,110,110,160,160,110,110,110,160,160
最大功率(kW)_x,160,110,110,160,160,110,110,110,160,160
无钥匙进入功能,-,-,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,
整车质保,-,-,-,-,-,-,-,-,-,-
整备质量(kg),1965,2090,2020,1965,1890,2090,2020,2090,1890,1965
排量(mL),2378,2499,2499,2378,2378,2499,2499,2499,2378,2378
挡位个数,6,6,6,6,6,6,6,6,6,6
扬声器数量,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-
感应雨刷功能,-,-,-,-,-,-,-,-,-,-
座椅材质,,,,,,,,,,
座位数(个),5,5,5,5,5,5,5,5,5,5
并线辅助,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),-,-,-,-,-,-,-,-,-,-
巡航系统,,,,,,,,,,
宽度(mm),1950,1950,1950,1950,1950,1950,1950,1950,1950,1950
安全带未系提醒,,,,,,,,,,
天窗类型,-,-,-,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●,●,●
多媒体/充电接口,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,,
后雨刷,-,-,-,-,-,-,-,-,-,-
后轮距(mm),1610,1610,1610,1610,1610,1610,1610,1610,1610,1610
后轮胎规格,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17
后排车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
后排独立空调,-,-,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-,-,-
后排座椅放倒形式,,,,,,,,,,
后悬架类型,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架
后座出风口,-,-,-,-,-,-,-,-,-,-
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
变速箱,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动
发动机电子防盗,-,-,-,-,-,-,-,-,-,-
发动机型号,4K22D4T,JE4D25Q6A,JE4D25Q6A,4K22D4T,4K22D4T,JE4D25Q6A,JE4D25Q6A,JE4D25Q6A,4K22D4T,4K22D4T
发动机启停技术,-,-,-,-,-,-,-,-,-,-
发动机,2.4T 218马力 L4,2.5T 150马力 L4,2.5T 150马力 L4,2.4T 218马力 L4,2.4T 218马力 L4,2.5T 150马力 L4,2.5T 150马力 L4,2.5T 150马力 L4,2.4T 218马力 L4,2.4T 218马力 L4
压缩比,-,-,-,-,-,-,-,-,-,-
厂商指导价(元),18.88万,12.88万,11.58万,11.88万,10.58万,12.38万,12.38万,13.68万,11.38万,12.68万
厂商,曙光汽车,曙光汽车,曙光汽车,曙光汽车,曙光汽车,曙光汽车,曙光汽车,曙光汽车,曙光汽车,曙光汽车
卫星导航系统,●,●,●,●,●,●,●,●,●,●
助力类型,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力
副座椅调节方式,,,,,,,,,,
前轮距(mm),1610,1610,1610,1610,1610,1610,1610,1610,1610,1610
前轮胎规格,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17
前排座椅功能,,-,-,-,-,-,,,,
前悬架类型,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),-,-,-,-,-,-,-,-,-,-
前/后排侧气囊,-,-,-,-,-,-,-,-,-,-
前/后中央扶手,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,-,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●
准拖挂车总质量(kg),-,-,-,-,-,-,-,-,-,-
