Feature,57792,57793,57794,57795,57796,57797,57798,57799,57800,57801,57802,57803,60167
高度(mm),1298,1297,1298,1297,1300,1299,1300,1299,1297,1299,1303,1301,1291
驾驶辅助影像,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,后置后驱,后置后驱,后置四驱,后置四驱,后置后驱,后置后驱,后置四驱,后置四驱,后置四驱,后置四驱,后置四驱,后置四驱,后置后驱
面部识别,-,-,-,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,●,●,●,●,●,●,●,●,●,●,●,●,●
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4519,4519,4519,4519,4519,4519,4519,4519,4519,4519,4535,4535,4530
长*宽*高(mm),4519*1852*1298,4519*1852*1297,4519*1852*1298,4519*1852*1297,4519*1852*1300,4519*1852*1299,4519*1852*1300,4519*1852*1299,4519*1852*1297,4519*1852*1299,4535*1900*1303,4535*1900*1301,4530*1852*1291
钥匙类型,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遥控泊车,○,○,○,○,○,○,○,○,○,○,○,○,○
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,○,○,○,○,○,○,○,○,○,○,○,○,○
远程启动功能,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,
进气形式,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压
近光灯光源,,,,,,,,,,,,,
运动风格座椅,●,●,●,●,●,●,●,●,●,●,●,●,●
运动外观套件,○,○,○,○,○,-,○,-,○,○,○,○,○
辅助驾驶等级,,,,,,,,,,,,,
轴距(mm),2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450
轮圈材质,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,○,○,○,○,○,○,○,○,○,○,●,●,○
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),2,2,2,2,2,2,2,2,2,2,2,2,2
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,○,○,○,○,○,○,○,○,○,○,○,○,○
车道偏离预警系统,○,○,○,○,○,○,○,○,○,○,○,○,○
车道保持辅助系统,○,○,○,○,○,○,○,○,○,○,○,○,○
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,硬顶跑车,软顶敞篷车,硬顶跑车,软顶敞篷车,硬顶跑车,软顶敞篷车,硬顶跑车,软顶敞篷车,软顶敞篷车,软顶敞篷车,硬顶跑车,软顶敞篷车,硬顶跑车
车身结构_x,2门4座硬顶跑车,2门4座软顶敞篷车,2门4座硬顶跑车,2门4座软顶敞篷车,2门4座硬顶跑车,2门4座软顶敞篷车,2门4座硬顶跑车,2门4座软顶敞篷车,2门4座软顶敞篷车,2门4座软顶敞篷车,2门4座硬顶跑车,2门4座软顶敞篷车,2门4座硬顶跑车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,
车库门遥控装置,○,○,○,○,○,○,○,○,○,○,○,○,○
车型名称,保时捷911 2023款 Carrera 3.0T,保时捷911 2023款 Carrera Cabriolet 3.0T,保时捷911 2023款 Carrera 4 3.0T,保时捷911 2023款 Carrera 4 Cabriolet 3.0T,保时捷911 2023款 Carrera S 3.0T,保时捷911 2023款 Carrera S Cabriolet 3.0T,保时捷911 2023款 Carrera 4S 3.0T,保时捷911 2023款 Carrera 4S Cabriolet 3.0T,保时捷911 2023款 Targa 4 3.0T,保时捷911 2023款 Targa 4S 3.0T,保时捷911 2023款 Turbo S 3.7T,保时捷911 2023款 Turbo S Cabriolet 3.7T,保时捷911 2023款 Carrera T 3.0T
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-
车内香氛装置,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,,,,,,,,,,,,,
车内化妆镜,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,●,●,●,●,●,●,●,●,●,●,●,●,●
语音识别控制系统,,,,,,,,,,,,,
