Feature,1009699,1009700,1009701,1009702,1009703,1009704,1009705,1009706,1009707,1009708,1009709,1009710,1011656,1012062,1012063,1012189,1012190,1012191,1012192,1012193,1012194,1012195,1012196,1012197,1012198,1012199,1012200,1012201,1012202,1012203,1012204,1012205,1012206,1012207
高度(mm),1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,-,1835,-,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835
驾驶辅助影像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱
陡坡缓降,●,●,-,-,○,○,●,●,-,-,-,-,-,●,-,●,●,●,-,-,-,-,-,-,○,○,●,●,●,●,●,●,●,●
限滑差速器/差速锁,,,,,-,-,,,,,-,-,,,,,,,,,-,-,,,-,-,,,-,-,,,-,-
长度(mm),5375,5725,5375,5725,5375,5725,5375,5725,5375,5725,5375,5725,-,5288,-,5638,5288,5638,5288,5638,5288,5638,5288,5638,5288,5638,5288,5638,5288,5638,5288,5638,5288,5638
长*宽*高(mm),5375×1905×1835,5725×1905×1835,5375×1905×1835,5725×1905×1835,5375×1905×1835,5725×1905×1835,5375×1905×1835,5725×1905×1835,5375×1905×1835,5725×1905×1835,5375×1905×1835,5725×1905×1835,××,5288×1905×1835,××,5638×1905×1835,5288×1905×1835,5638×1905×1835,5288×1905×1835,5638×1905×1835,5288×1905×1835,5638×1905×1835,5288×1905×1835,5638×1905×1835,5288×1905×1835,5638×1905×1835,5288×1905×1835,5638×1905×1835,5288×1905×1835,5638×1905×1835,5288×1905×1835,5638×1905×1835,5288×1905×1835,5638×1905×1835
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,DOHC,DOHC,未知,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
