Feature,32589,34060,34362,38398,39120,39121
高度(mm),1458,1458,1458,1458,1458,1458
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,双电机,双电机,双电机,-,-,-
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
零胎压继续行驶,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-
长度(mm),4695,4695,4695,4695,4695,4695
长*宽*高(mm),4695*1848*1458,4695*1848*1458,4695*1848*1458,4695*1848*1458,4695*1848*1458,4695*1848*1458
铝合金轮圈,●,●,●,●,●,●
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●
道路救援呼叫,●,●,●,●,-,●
远程启动,●,●,●,●,-,●
远光灯,LED,卤素,卤素,LED,卤素,LED
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯,LED,卤素,卤素,LED,卤素,LED
运动风格座椅,-,-,-,-,-,-
运动外观套件,-,-,-,●,-,-
轴距(mm),2715,2715,2715,2715,2715,2715
转向辅助灯,●,-,-,●,-,●
转向头灯,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-
车门数(个),5,5,5,5,5,5
车道偏离预警系统,●,-,●,-,-,-
车载空气净化器,-,-,-,●,-,-
车载电视,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,5门5座三厢车,5门5座三厢车,5门5座三厢车,5门5座三厢车,5门5座三厢车,5门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●
车联网,●,●,●,●,-,●
车窗防夹手功能,●,●,●,●,●,●
车窗一键升降,全车,主驾驶位,主驾驶位,全车,主驾驶位,主驾驶位
车型名称,名爵6新能源 2018款 45T E-DRIVE智驱混动PILOT超级互联网版,名爵6新能源 2018款 45T E-DRIVE智驱混动尊享互联网版,名爵6新能源 2018款 45T E-DRIVE智驱混动PILOT尊享互联网版,名爵6新能源 2019款 50T Trophy 5秒版,名爵6新能源 2019款 50T Plus,名爵6新能源 2019款 50T Pro
车内空气调节/花粉过滤,●,●,●,●,●,●
车内氛围灯,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
行车电脑显示屏,●,●,●,●,●,●
行程(mm),-,-,-,-,-,-
行李厢容积(L),281-1065,281-1065,281-1065,356-1240,356-1240,356-1240
蓝牙/车载电话,●,●,●,●,●,●
自适应远近光,●,-,-,-,-,-
自适应巡航,●,-,●,-,-,-
自动驻车,●,●,●,●,●,●
自动泊车入位,●,-,-,-,-,-
自动头灯,●,-,-,●,●,●
膝部气囊,-,-,-,-,-,-
腰部支撑调节,●,●,●,●,-,●
能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
胎压监测装置,●,●,●,●,●,●
肩部支撑调节,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
系统综合扭矩(N·m),622,622,622,480,480,480
系统综合功率(kW),167.7,167.7,167.7,224,224,224
简称,2挡自动,2挡自动,2挡自动,自动（模拟10挡）,自动（模拟10挡）,自动（模拟10挡）
第二排靠背角度调节,-,-,-,-,-,-
第二排独立座椅,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-
空调控制方式,自动●,手动●,手动●,自动●,手动●,手动●
空气悬架,-,-,-,-,-,-
皮质方向盘,●,●,●,●,●,●
百公里耗电量(kWh/100km),11,11,11,-,-,-
疲劳驾驶提示,-,-,-,-,-,-
电磁感应悬架,-,-,-,-,-,-
电池能量(kWh),9.1,9.1,9.1,9.1,9.1,9.1
电池组质保,8年或12万公里,8年或12万公里,8年或12万公里,8年或12万公里,8年或12万公里,8年或12万公里
电池类型,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池
电机类型,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步
电机布局,前置,前置,前置,前置,前置,前置
电动机总扭矩(N·m),-,-,-,-,-,-
电动机总功率(kW),-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-
电动天窗,●,●,●,●,●,●
电动吸合门,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-
环保标准,国V,国V,国V,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号
燃料形式,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
温度分区控制,●,-,-,●,-,-
流媒体车内后视镜,-,-,-,-,-,-
油箱容积(L),30,30,30,38,38,38
气缸数(个),3,3,3,4,4,4
气缸排列形式,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4
最高车速(km/h),-,-,-,-,-,-
最小离地间隙(mm),-,-,-,-,-,-
最大马力(Ps),125,125,125,169,169,169
最大扭矩转速(rpm),-,-,-,-,-,-
最大扭矩(N·m)_y,-,-,-,-,-,-
最大扭矩(N·m)_x,622,622,622,480,480,480
最大功率转速(rpm),-,-,-,-,-,-
最大功率(kW)_y,92,92,92,124,124,124
最大功率(kW)_x,167.7,167.7,167.7,224,224,224
无钥匙进入系统,●,●,●,●,-,●
无钥匙启动系统,●,●,●,●,●,●
方向盘调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节
方向盘记忆,-,-,-,-,-,-
方向盘电动调节,-,-,-,-,-,-
方向盘换挡,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
整备质量(kg),1465,1465,-,1495,1495,1495
整体主动转向系统,-,-,-,-,-,-
排量(mL),999,999,999,-,-,-
挡位个数,2,2,2,10,10,10
扬声器品牌,-,-,-,-,-,-
扬声器个数,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭
手机无线充电,-,-,-,-,-,-
手机互联/映射功能,-,-,-,-,●,-
慢充时间(小时)_y,3,3,3,3.5,3.5,3.5
慢充时间(小时)_x,3,3,3,3.5,3.5,3.5
感应雨刷,●,-,●,-,-,-
感应后备厢,-,-,-,-,-,-
快充电量百分比,-,-,-,-,-,-
快充电量(%),-,-,-,-,-,-
快充时间(小时)_y,-,-,-,-,-,-
快充时间(小时)_x,-,-,-,-,-,-
座椅高低调节,●,●,●,●,●,●
座椅材料,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮
座位数(个),5,5,5,5,5,5
并线辅助,-,-,-,-,-,-
工信部综合油耗(L/100km),1.5,1.5,-,1.5,1.5,1.5
工信部纯电续航里程(km)_y,53,53,53,51,51,51
工信部纯电续航里程(km)_x,53,53,53,51,51,51
导航路况信息显示,●,●,●,●,-,●
宽度(mm),1848,1848,1848,1848,1848,1848
实测续航里程(km),-,-,-,-,-,-
实测油耗(L/100km),-,-,-,6,-,-
实测慢充时间(小时),-,-,-,-,-,-
实测快充时间(小时),-,-,-,-,-,-
实测100-0km/h制动(m),38.1,-,-,38.24,-,-
实测0-100km/h加速(s),6.83,-,-,5.83,-,-
定速巡航,●,●,●,●,-,●
官方0-100km/h加速(s),-,-,-,-,-,-
安全带未系提示,●,●,●,●,●,●
大灯高度可调,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-
夜视系统,-,-,-,-,-,-
多天窗,-,-,-,-,-,-
多功能方向盘,●,●,●,●,●,●
外接音源接口,USB,USB,USB,USB,USB,USB
备胎规格,无,无,无,无,无,无
后风挡遮阳帘,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-
后轮距(mm),-,-,-,-,-,-
后轮胎规格,215/50 R17,215/50 R17,215/50 R17,225/45 R18,205/55 R16,215/50 R17
后视镜记忆,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●
后视镜电动折叠,●,-,-,●,-,-
后视镜加热,●,●,●,●,●,●
后电动机最大扭矩(N·m),-,-,-,-,-,-
后电动机最大功率(kW),-,-,-,-,-,-
后桥限滑差速器/差速锁,-,-,-,-,-,-
后排独立空调,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-
后排杯架,●,●,●,●,●,●
后排座椅电动调节,-,-,-,-,-,-
后排座椅放倒方式,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒
后排侧隐私玻璃,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-
后悬架类型,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架
后座出风口,●,-,-,●,●,●
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式
可变转向比,-,-,-,-,-,-
可变悬架,-,-,-,-,-,-
可加热/制冷杯架,-,-,-,-,-,-
变速箱类型,自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT)
变速箱,2挡自动,2挡自动,2挡自动,自动（模拟10挡）,自动（模拟10挡）,自动（模拟10挡）
发动机电子防盗,●,●,●,●,●,●
发动机特有技术,-,-,-,-,-,-
