,29255,29256,29257,29258,29259,29260,29261,29262,29263,29264,29265,29266,29267,29269,29270,29271,29272,29273,29274,29275,29276,29277,29278,29279,29280,29281,29282,29283,29284,29285,29286,29287,29288,29289,29290,29291
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
感应雨刷,-,-,-,-,●,●,-,-,-,-,●,●,-,-,-,-,●,●,-,-,-,-,●,●,-,-,●,●,●,●,-,-,●,●,●,●
空调控制方式,手动●,手动●,自动●,自动●,自动●,自动●,手动●,手动●,自动●,自动●,自动●,自动●,手动●,手动●,自动●,自动●,自动●,自动●,手动●,手动●,自动●,自动●,自动●,自动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后座出风口,-,●,-,●,-,●,-,●,-,●,-,●,-,●,-,●,-,●,-,●,-,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内空气调节/花粉过滤,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,萨瓦纳 2017款 2.8T 手动两驱柴油豪华版5座,萨瓦纳 2017款 2.8T 手动两驱柴油豪华版7座,萨瓦纳 2017款 2.8T 手动两驱柴油尊享版5座,萨瓦纳 2017款 2.8T 手动两驱柴油尊享版7座,萨瓦纳 2017款 2.8T 手动两驱柴油至尊版5座,萨瓦纳 2017款 2.8T 手动两驱柴油至尊版7座,萨瓦纳 2017款 2.8T 手动四驱柴油豪华版5座,萨瓦纳 2017款 2.8T 手动四驱柴油豪华版7座,萨瓦纳 2017款 2.8T 手动四驱柴油尊享版5座,萨瓦纳 2017款 2.8T 手动四驱柴油尊享版7座,萨瓦纳 2017款 2.8T 手动四驱柴油至尊版5座,萨瓦纳 2017款 2.8T 手动四驱柴油至尊版7座,萨瓦纳 2017款 2.0T 手动两驱汽油豪华版5座,萨瓦纳 2017款 2.0T 手动两驱汽油豪华版7座,萨瓦纳 2017款 2.0T 手动两驱汽油尊享版5座,萨瓦纳 2017款 2.0T 手动两驱汽油尊享版7座,萨瓦纳 2017款 2.0T 手动两驱汽油至尊版5座,萨瓦纳 2017款 2.0T 手动两驱汽油至尊版7座,萨瓦纳 2017款 2.0T 手动四驱汽油豪华版5座,萨瓦纳 2017款 2.0T 手动四驱汽油豪华版7座,萨瓦纳 2017款 2.0T 手动四驱汽油尊享版5座,萨瓦纳 2017款 2.0T 手动四驱汽油尊享版7座,萨瓦纳 2017款 2.0T 手动四驱汽油至尊版5座,萨瓦纳 2017款 2.0T 手动四驱汽油至尊版7座,萨瓦纳 2017款 2.0T 自动两驱汽油豪华版5座,萨瓦纳 2017款 2.0T 自动两驱汽油豪华版7座,萨瓦纳 2017款 2.0T 自动两驱汽油尊享版5座,萨瓦纳 2017款 2.0T 自动两驱汽油尊享版7座,萨瓦纳 2017款 2.0T 自动两驱汽油至尊版5座,萨瓦纳 2017款 2.0T 自动两驱汽油至尊版7座,萨瓦纳 2017款 2.0T 自动四驱汽油豪华版5座,萨瓦纳 2017款 2.0T 自动四驱汽油豪华版7座,萨瓦纳 2017款 2.0T 自动四驱汽油尊享版5座,萨瓦纳 2017款 2.0T 自动四驱汽油尊享版7座,萨瓦纳 2017款 2.0T 自动四驱汽油至尊版5座,萨瓦纳 2017款 2.0T 自动四驱汽油至尊版7座
厂商指导价(元),14.18万,14.58万,15.38万,15.78万,15.78万,16.18万,15.78万,16.18万,16.98万,17.38万,17.38万,17.78万,13.18万,13.58万,14.38万,14.78万,14.78万,15.18万,14.78万,15.18万,15.98万,16.38万,16.38万,16.78万,14.88万,15.28万,16.08万,16.48万,16.48万,16.88万,16.88万,17.08万,17.88万,18.28万,18.28万,18.68万
厂商,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
能源类型,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02
工信部纯电续驶里程(km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大功率(kW)_x,120,120,120,120,120,120,120,120,120,120,120,120,148,148,148,148,148,148,148,148,148,148,148,148,160,160,160,160,160,160,160,160,160,160,160,160
最大扭矩(N·m)_x,360,360,360,360,360,360,360,360,360,360,360,360,300,300,300,300,300,300,300,300,300,300,300,300,320,320,320,320,320,320,320,320,320,320,320,320
发动机,2.8T 163马力 L4,2.8T 163马力 L4,2.8T 163马力 L4,2.8T 163马力 L4,2.8T 163马力 L4,2.8T 163马力 L4,2.8T 163马力 L4,2.8T 163马力 L4,2.8T 163马力 L4,2.8T 163马力 L4,2.8T 163马力 L4,2.8T 163马力 L4,2.0T 201马力 L4,2.0T 201马力 L4,2.0T 201马力 L4,2.0T 201马力 L4,2.0T 201马力 L4,2.0T 201马力 L4,2.0T 201马力 L4,2.0T 201马力 L4,2.0T 201马力 L4,2.0T 201马力 L4,2.0T 201马力 L4,2.0T 201马力 L4,2.0T 218马力 L4,2.0T 218马力 L4,2.0T 218马力 L4,2.0T 218马力 L4,2.0T 218马力 L4,2.0T 218马力 L4,2.0T 218马力 L4,2.0T 218马力 L4,2.0T 218马力 L4,2.0T 218马力 L4,2.0T 218马力 L4,2.0T 218马力 L4
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体
长*宽*高(mm),4830*1910*1885,4830*1910*1885,4830*1910*1885,4830*1910*1885,4830*1910*1885,4830*1910*1885,4830*1910*1885,4830*1910*1885,4830*1910*1885,4830*1910*1885,4830*1910*1885,4830*1910*1885,4830*1910*1885,4830*1910*1885,4830*1910*1885,4830*1910*1885,4830*1910*1885,4830*1910*1885,4830*1910*1885,4830*1910*1885,4830*1910*1885,4830*1910*1885,4830*1910*1885,4830*1910*1885,4830*1910*1885,4830*1910*1885,4830*1910*1885,4830*1910*1885,4830*1910*1885,4830*1910*1885,4830*1910*1885,4830*1910*1885,4830*1910*1885,4830*1910*1885,4830*1910*1885,4830*1910*1885
车身结构_x,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV
最高车速(km/h),170,170,170,170,170,170,170,170,170,170,170,170,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
实测0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),7.8,7.8,7.8,7.8,7.8,7.8,8.3,8.3,8.3,8.3,8.3,8.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9
实测油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
长度(mm),4830,4830,4830,4830,4830,4830,4830,4830,4830,4830,4830,4830,4830,4830,4830,4830,4830,4830,4830,4830,4830,4830,4830,4830,4830,4830,4830,4830,4830,4830,4830,4830,4830,4830,4830,4830
宽度(mm),1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910
高度(mm),1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885
轴距(mm),2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790
前轮距(mm),1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
后轮距(mm),1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
座位数(个),5,7,5,7,5,7,5,7,5,7,5,7,5,7,5,7,5,7,5,7,5,7,5,7,5,7,5,7,5,7,5,7,5,7,5,7
油箱容积(L),75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
行李厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整备质量(kg),1940,1970,1940,1970,1940,1970,2030,2060,2030,2060,2030,2060,1900,1930,1900,1930,1900,1930,1940,1970,1940,1970,1940,1970,1900,1930,1900,1930,1900,1930,1960,1990,1960,1990,1960,1990
发动机型号,ISF2.8s4161P,ISF2.8s4161P,ISF2.8s4161P,ISF2.8s4161P,ISF2.8s4161P,ISF2.8s4161P,ISF2.8s4161P,ISF2.8s4161P,ISF2.8s4161P,ISF2.8s4161P,ISF2.8s4161P,ISF2.8s4161P,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
排量(mL),2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
压缩比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
配气机构,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),163,163,163,163,163,163,163,163,163,163,163,163,201,201,201,201,201,201,201,201,201,201,201,201,218,218,218,218,218,218,218,218,218,218,218,218
最大功率(kW)_y,120,120,120,120,120,120,120,120,120,120,120,120,148,148,148,148,148,148,148,148,148,148,148,148,160,160,160,160,160,160,160,160,160,160,160,160
最大功率转速(rpm),3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500
最大扭矩(N·m)_y,360,360,360,360,360,360,360,360,360,360,360,360,300,300,300,300,300,300,300,300,300,300,300,300,320,320,320,320,320,320,320,320,320,320,320,320
最大扭矩转速(rpm),1800-3000,1800-3000,1800-3000,1800-3000,1800-3000,1800-3000,1800-3000,1800-3000,1800-3000,1800-3000,1800-3000,1800-3000,1500-4500,1500-4500,1500-4500,1500-4500,1500-4500,1500-4500,1500-4500,1500-4500,1500-4500,1500-4500,1500-4500,1500-4500,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000
发动机特有技术,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
燃料形式,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号
供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
缸盖材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
环保标准,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V
挡位个数,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱
四驱形式,-,-,-,-,-,-,分时四驱,分时四驱,分时四驱,分时四驱,分时四驱,分时四驱,-,-,-,-,-,-,分时四驱,分时四驱,分时四驱,分时四驱,分时四驱,分时四驱,-,-,-,-,-,-,适时四驱,适时四驱,适时四驱,适时四驱,适时四驱,适时四驱
前悬架类型,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架
后悬架类型,多连杆非独立悬架,多连杆非独立悬架,多连杆非独立悬架,多连杆非独立悬架,多连杆非独立悬架,多连杆非独立悬架,多连杆非独立悬架,多连杆非独立悬架,多连杆非独立悬架,多连杆非独立悬架,多连杆非独立悬架,多连杆非独立悬架,多连杆非独立悬架,多连杆非独立悬架,多连杆非独立悬架,多连杆非独立悬架,多连杆非独立悬架,多连杆非独立悬架,多连杆非独立悬架,多连杆非独立悬架,多连杆非独立悬架,多连杆非独立悬架,多连杆非独立悬架,多连杆非独立悬架,多连杆非独立悬架,多连杆非独立悬架,多连杆非独立悬架,多连杆非独立悬架,多连杆非独立悬架,多连杆非独立悬架,多连杆非独立悬架,多连杆非独立悬架,多连杆非独立悬架,多连杆非独立悬架,多连杆非独立悬架,多连杆非独立悬架
助力类型,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹
前轮胎规格,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17
后轮胎规格,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17
备胎规格,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸
