,1005243,1005244,1005245,1005246,1005247,1005248,1005249,1005250
厂商,北汽昌河,北汽昌河,北汽昌河,北汽昌河,北汽昌河,北汽昌河,北汽昌河,北汽昌河
级别,微面,微面,微面,微面,微面,微面,微面,微面
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,-,-,-,-,-,-,-,-
最大功率(kW)_x,-,-,-,-,-,-,-,-
最大扭矩(N·m)_x,-,-,-,-,-,-,-,-
发动机,1.5L 116马力 L4,1.4L 99马力 L4,1.5L 116马力 L4,1.4L 99马力 L4,1.5L 116马力 L4,1.4L 99马力 L4,1.5L 116马力 L4,1.4L 99马力 L4
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
长*宽*高(mm),4525×1700×1818,4525×1700×1818,4525×1700×1818,4525×1700×1818,4525×1700×1818,4525×1700×1818,4525×1700×1818,4525×1700×1818
车身结构_x,客车,客车,客车,客车,客车,客车,客车,客车
最高车速(km/h),-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),-,-,-,-,-,-,-,-
整车质保,-,-,-,-,-,-,-,-
长度(mm),4525,4525,4525,4525,4525,4525,4525,4525
宽度(mm),1700,1700,1700,1700,1700,1700,1700,1700
高度(mm),1818,1818,1818,1818,1818,1818,1818,1818
轴距(mm),2790,2790,2790,2790,2790,2790,2790,2790
前轮距(mm),1420,1420,1420,1420,1420,1420,1420,1420
后轮距(mm),1440,1440,1440,1440,1440,1440,1440,1440
最小离地间隙(mm),145,145,145,145,145,145,145,145
整备质量(kg),-,-,-,-,-,-,-,-
车身结构_y,客车,客车,客车,客车,客车,客车,客车,客车
车门数(个),5,5,5,5,5,5,5,5
座位数(个),5/7/8,5/7/8,5/7/8,5/7/8,5/7/8,5/7/8,5/7/8,5/7/8
后排车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
油箱容积(L),-,-,-,-,-,-,-,-
货箱尺寸(mm),-,-,-,-,-,-,-,-
最大载重质量(kg),-,-,-,-,-,-,-,-
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
挡位个数,5,5,5,5,5,5,5,5
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
前悬架类型,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂
后悬架类型,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,五连杆螺旋弹簧,五连杆螺旋弹簧,五连杆螺旋弹簧,五连杆螺旋弹簧
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式
前轮胎规格,185/70 R14,185/70 R14,185/70 R14,185/70 R14,185/70 R14,185/70 R14,185/70 R14,185/70 R14
后轮胎规格,185/70 R14,185/70 R14,185/70 R14,185/70 R14,185/70 R14,185/70 R14,185/70 R14,185/70 R14
发动机型号,DAM15DL,K14B-F,DAM15DL,K14B-F,DAM15DL,K14B-F,DAM15DL,K14B-F
排量(mL),-,-,-,-,-,-,-,-
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
气缸排列形式,L,L,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4,4,4
每缸气门数(个),4,4,4,4,4,4,4,4
压缩比,10.5,10.1,10.5,10.1,10.5,10.1,10.5,10.1
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-
最大马力(Ps),116,99,116,99,116,99,116,99
最大功率(kW)_y,85,73,85,73,85,73,85,73
最大功率转速(rpm),6000,6000,6000,6000,6000,6000,6000,6000
最大扭矩(N·m)_y,144,128,144,128,144,128,144,128
最大扭矩转速(rpm),4300-4500,4000,4300-4500,4000,4300-4500,4000,4300-4500,4000
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,-,-,-,-,-,-,-,-
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
缸盖材料,铝,铝,铝,铝,铝,铝,铝,铝
缸体材料,铝,未知,铝,未知,铝,未知,铝,未知
环保标准,国IV/国V,国IV/国V,国IV/国V,国IV/国V,国IV/国V,国IV/国V,国IV/国V,国IV/国V
电机类型,-,-,-,-,-,-,-,-
电动机总功率(kW),-,-,-,-,-,-,-,-
电动机总扭矩(N·m),-,-,-,-,-,-,-,-
前电动机最大功率(kW),-,-,-,-,-,-,-,-
前电动机最大扭矩(N·m),-,-,-,-,-,-,-,-
后电动机最大功率(kW),-,-,-,-,-,-,-,-
后电动机最大扭矩(N·m),-,-,-,-,-,-,-,-
驱动电机数,-,-,-,-,-,-,-,-
电机布局,-,-,-,-,-,-,-,-
电池类型,-,-,-,-,-,-,-,-
工信部续航里程(km),-,-,-,-,-,-,-,-
电池容量(kWh),-,-,-,-,-,-,-,-
百公里耗电量(kWh/100km),-,-,-,-,-,-,-,-
电池组质保,-,-,-,-,-,-,-,-
电池充电时间,-,-,-,-,-,-,-,-
快充电量(%),-,-,-,-,-,-,-,-
