,31077,31078,33034,33035,33036,33037,33038,33039,36660,36661,36662,36663,36664
座椅材质,真皮,真皮,真皮,真皮,真皮,真皮,真皮,真皮,仿皮(选装皮/织物混搭),真皮(选装皮/织物混搭),真皮(选装皮/织物混搭),真皮(选装皮/织物混搭),真皮(选装皮/织物混搭)
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅高低调节,●,●,●,●,●,●,●,●,●,●,●,●,●
腰部支撑调节,○,○,○,○,○,○,●,●,○,○,○,○,●
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
第二排靠背角度调节,●,●,●,●,●,●,●,●,●,●,●,●,●
第二排座椅移动,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅电动调节,●,●,●,●,●,●,●,●,●,●,●,●,●
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆,●,●,●,●,●,●,●,●,○,●,●,●,●
前/后排座椅加热,前●&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后○
前/后排座椅通风,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排座椅按摩,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒方式,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●
可加热/制冷杯架,-,-,-,-,-,-,-,-,-,-,-,-,-
GPS导航系统,●,●,●,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●
中控台彩色大屏,●,●,●,●,●,●,●,●,●,●,●,●,●
中控台彩色大屏尺寸,10.2英寸,10.2英寸,10.2英寸,10.2英寸,10.2英寸,10.2英寸,10.2英寸,10.2英寸,10.2英寸,10.2英寸,10.2英寸,10.2英寸,10.2英寸
中控液晶屏分屏显示,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●
手机互联/映射,-,-,-,-,-,-,-,-,○,○,○,○,○
车联网,●,●,●,●,●,●,●,●,●,●,●,●,●
车载电视,○,○,○,○,○,○,○,-,○,○,○,○,○
后排液晶屏,○,○,○,○,○,○,○,-,○,○,○,○,○
220V/230V电源,-,-,-,-,-,-,-,-,-,-,-,-,-
外接音源接口,USB+HDMI,USB+HDMI,USB+HDMI,USB+HDMI,USB+HDMI,USB+HDMI,USB+HDMI,USB+HDMI,USB+HDMI,USB+HDMI,USB+HDMI,USB+HDMI,USB+HDMI
CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-
扬声器品牌,Meridian英国之宝,Meridian英国之宝,Meridian英国之宝,Meridian英国之宝,Meridian英国之宝,Meridian英国之宝,Meridian英国之宝,Meridian英国之宝,(选装Meridian英国之宝),Meridian英国之宝,Meridian英国之宝,Meridian英国之宝,Meridian英国之宝
扬声器数量,10-11喇叭(选装≥12喇叭),10-11喇叭(选装≥12喇叭),10-11喇叭(选装≥12喇叭),10-11喇叭(选装≥12喇叭),10-11喇叭(选装≥12喇叭),≥12喇叭,≥12喇叭,≥12喇叭,8-9喇叭(选装10-11喇叭 + ≥12喇叭),10-11喇叭(选装≥12喇叭),10-11喇叭(选装≥12喇叭),≥12喇叭,≥12喇叭
近光灯,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED
远光灯,LED(选装激光),LED(选装激光),LED(选装激光),LED(选装激光),LED(选装激光),LED(选装激光),LED(选装激光),激光,LED(选装激光),LED(选装激光),LED(选装激光),LED(选装激光),LED(选装激光)
LED日间行车灯,●,●,●,●,●,●,●,●,○,●,●,●,●
自适应远近光,○,○,○,○,○,●,●,●,○,○,○,●,●
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-
前雾灯,-,●,-,-,●,●,●,●,-,●,●,●,●
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,●,●,●,●,●,●,●,●,●,●,●,●,●
车内氛围灯,●,●,●,●,●,●,●,●,●,●,●,●,●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗一键升降,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●
防紫外线/隔热玻璃,●,●,●,●,●,●,●,●,●,●,●,●,●
后视镜电动调节,●,●,●,●,●,●,●,●,●,●,●,●,●
后视镜加热,●,●,●,●,●,●,●,●,●,●,●,●,●
内/外后视镜自动防眩目,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外○,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●
流媒体车内后视镜,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动折叠,●,●,●,●,●,●,●,●,○,●,●,●,●
后视镜记忆,●,●,●,●,●,●,●,●,○,●,●,●,●
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,●,●,●,●,●,●,●,●,●,●,●,●,●
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●,●
后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●
感应雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●
空调控制方式,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●
后排独立空调,○,○,○,○,○,○,○,-,○,○,○,○,○
后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●
温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●
车内空气调节/花粉过滤,●,●,●,●,●,●,●,●,●,●,●,●,●
车载空气净化器,●,●,●,●,●,●,●,●,●,●,●,●,●
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,揽胜星脉 2018款 P300 S,揽胜星脉 2018款 P300 R-DYNAMIC S,揽胜星脉 2018款 P250 S,揽胜星脉 2018款 P380 S,揽胜星脉 2018款 P380 R-DYNAMIC S,揽胜星脉 2018款 P380 R-DYNAMIC SE,揽胜星脉 2018款 P380 R-DYNAMIC HSE,揽胜星脉 2018款 P380 首发限量版,揽胜星脉 2019款 250PS,揽胜星脉 2019款 250PS R-DYNAMIC S,揽胜星脉 2019款 300PS R-DYNAMIC S,揽胜星脉 2019款 380PS R-DYNAMIC SE,揽胜星脉 2019款 380PS R-DYNAMIC HSE
厂商指导价(元),67.80万,70.80万,64.80万,74.80万,77.80万,81.80万,89.80万,99.80万,58.80万,65.28万,68.28万,80.28万,90.28万
厂商,路虎(进口),路虎(进口),路虎(进口),路虎(进口),路虎(进口),路虎(进口),路虎(进口),路虎(进口),路虎(进口),路虎(进口),路虎(进口),路虎(进口),路虎(进口)
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,2017.12,2017.12,2017.12,2017.12,2017.12,2017.12,2017.12,2017.12,2018.11,2018.11,2018.11,2018.11,2018.11
最大功率(kW)_x,221,221,184,280,280,280,280,280,184,184,221,280,280
最大扭矩(N·m)_x,400,400,365,450,450,450,450,450,365,365,400,450,450
发动机,2.0T 300马力 L4,2.0T 300马力 L4,2.0T 250马力 L4,3.0T 380马力 V6,3.0T 380马力 V6,3.0T 380马力 V6,3.0T 380马力 V6,3.0T 380马力 V6,2.0T 250马力 L4,2.0T 250马力 L4,2.0T 300马力 L4,3.0T 380马力 V6,3.0T 380马力 V6
变速箱,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
长*宽*高(mm),4811*1930*1685,4811*1930*1685,4811*1930*1685,4811*1930*1685,4811*1930*1685,4811*1930*1685,4811*1930*1685,4811*1930*1685,4803*2041*1685,4803*2041*1685,4803*2041*1685,4803*2041*1685,4803*2041*1685
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
最高车速(km/h),234,234,217,250,250,250,250,250,217,217,234,250,250
官方0-100km/h加速(s),5.9,5.9,6.7,5.7,5.7,5.7,5.7,5.7,7.1,7.1,6.2,5.7,5.7
实测0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),7.9,7.9,7.7,9.6,9.6,9.6,9.6,9.6,7.8,7.8,8.2,9.4,9.4
实测油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
长度(mm),4811,4811,4811,4811,4811,4811,4811,4811,4803,4803,4803,4803,4803
宽度(mm),1930,1930,1930,1930,1930,1930,1930,1930,2041,2041,2041,2041,2041
高度(mm),1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685
轴距(mm),2874,2874,2874,2874,2874,2874,2874,2874,2874,2874,2874,2874,2874
前轮距(mm),-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),-,-,-,-,-,-,-,-,-,-,-,-,-
最小离地间隙(mm),213,213,213,213,213,213,213,213,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,5
油箱容积(L),63,63,63,63,63,63,63,63,63,63,63,63,63
行李厢容积(L),558,558,558,558,558,558,558,558,558,558,558,558,558
整备质量(kg),1995,1995,1980,2065,2065,2065,2065,2065,1874,1874,1884,1954,1954
发动机型号,-,-,-,-,-,-,-,-,-,-,-,-,-
排量(mL),1997,1997,1997,2995,2995,2995,2995,2995,1997,1997,1997,2995,2995
进气形式,涡轮增压,涡轮增压,涡轮增压,机械增压,机械增压,机械增压,机械增压,机械增压,涡轮增压,涡轮增压,涡轮增压,机械增压,机械增压
气缸排列形式,L,L,L,V,V,V,V,V,L,L,L,V,V
气缸数(个),4,4,4,6,6,6,6,6,4,4,4,6,6
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4
压缩比,9.5,9.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,9.5,10.5,10.5
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,84.5,84.5,84.5,84.5,84.5,-,-,-,84.5,84.5
行程(mm),-,-,-,89,89,89,89,89,-,-,-,89,89
最大马力(Ps),300,300,250,380,380,380,380,380,250,250,300,380,380
最大功率(kW)_y,221,221,184,280,280,280,280,280,184,184,221,280,280
最大功率转速(rpm),5500-6000,5500-6000,5500,6500,6500,6500,6500,6500,5500,5500,5500-6000,6500,6500
最大扭矩(N·m)_y,400,400,365,450,450,450,450,450,365,365,400,450,450
最大扭矩转速(rpm),1500,1500,1300-4500,3500,3500,3500,3500,3500,1300-4500,1300-4500,1500,3500,3500
发动机特有技术,-,-,-,-,-,-,-,-,-,-,-,-,-
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号
供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
环保标准,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V
挡位个数,8,8,8,8,8,8,8,8,8,8,8,8,8
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
简称,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱
四驱形式,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱
中央差速器结构,多片离合器,多片离合器,多片离合器,多片离合器,多片离合器,多片离合器,多片离合器,多片离合器,多片离合器,多片离合器,多片离合器,多片离合器,多片离合器
前悬架类型,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架
后悬架类型,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
前轮胎规格,255/55 R19,255/55 R19,255/55 R19,255/55 R19,255/55 R19,255/50 R20,275/45 R21,275/45 R21,255/55 R19,255/55 R19,255/55 R19,255/50 R20,275/45 R21
后轮胎规格,255/55 R19,255/55 R19,255/55 R19,255/55 R19,255/55 R19,255/50 R20,275/45 R21,275/45 R21,255/55 R19,255/55 R19,255/55 R19,255/50 R20,275/45 R21
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
