Feature,55595,55634,55635,61423,61424,61425
高度(mm),1680,1680,1680,1680,1680,1680
驾驶辅助影像,,,,,,
驾驶模式切换,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱
首任车主质保政策,-,-,-,-,-,-
面部识别,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-
陡坡缓降,-,●,●,●,●,-
限滑差速器/差速锁,,,,,,
长度(mm),5039,5039,5039,5039,5039,5039
长*宽*高(mm),5039*1998*1680,5039*1998*1680,5039*1998*1680,5039*1998*1680,5039*1998*1680,5039*1998*1680
钥匙类型,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-
道路交通标识识别,●,●,●,●,●,●
远程启动功能,,-,,-,,
远光灯光源,,,,,,
进气形式,双涡轮增压,涡轮增压+电动增压,双涡轮增压,涡轮增压+电动增压,双涡轮增压,双涡轮增压
近光灯光源,,,,,,
运动风格座椅,●,-,-,-,-,●
运动外观套件,●,-,-,-,-,●
轴距(mm),3060,3060,3060,3060,3060,3060
轮圈材质,,,,,,
转向辅助灯,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-
车顶行李架,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5
车道偏离预警系统,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●
车载空气净化器,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●
车联网,-,-,-,-,-,-
车窗防夹手功能,●,●,●,●,●,●
车窗一键升降功能,,,,,,
车型名称,阿斯顿·马丁DBX 2023款 4.0T V8 707,阿斯顿·马丁DBX 2023款 3.0T STRAIGHT-SIX,阿斯顿·马丁DBX 2023款 4.0T V8,阿斯顿·马丁DBX 2024款 3.0T STRAIGHT-SIX,阿斯顿·马丁DBX 2024款 4.0T V8,阿斯顿·马丁DBX 2024款 4.0T V8 707
车前雾灯,-,-,-,-,-,-
车内香氛装置,-,-,-,-,-,-
车内环境氛围灯,,,,,,
车内化妆镜,,,,,,
车内中控锁,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,-,-,-,-,-,-
语音识别控制系统,,,,,,
触摸式阅读灯,●,●,●,●,●,●
被动行人保护,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,
行程(mm),92,92,92,92,92,92
行李厢12V电源接口,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●
自动泊车入位,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●
膝部气囊,●,●,●,●,●,●
能源类型,汽油,汽油+48V轻混系统,汽油,汽油+48V轻混系统,汽油,汽油
胎压监测功能,,,,,,
缺气保用轮胎,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),83,83,83,83,83,83
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
简称,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体
第二排独立座椅,-,-,-,-,-,-
第二排座椅调节,-,-,-,-,-,-
第二排座椅电动调节,-,-,-,-,-,-
第二排座椅功能,,,,,,
空调温度控制方式,,,,,,
空气悬架,●,●,●,●,●,●
疲劳驾驶提示,-,-,-,-,-,-
电磁感应悬架,-,-,-,-,-,-
电动扰流板,-,-,-,-,-,-
电动座椅记忆功能,,,,,,
电动吸合车门,,-,-,-,-,
电动后备厢位置记忆,●,●,●,●,●,●
电动后备厢,●,●,●,●,●,●
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●
燃油标号,95号,95号,95号,95号,95号,95号
燃料形式,汽油,汽油+48V轻混系统,汽油,汽油+48V轻混系统,汽油,汽油
灯光特色功能,-,-,-,-,-,-
温度分区控制,●,●,●,●,●,●
液晶仪表尺寸,,,,,,
油箱容积(L),85,85,85,85,85,85
气缸数(个),8,6,8,6,8,8
气缸排列形式,V,L,V,L,V,V
每缸气门数(个),4,4,4,4,4,4
最高车速(km/h),310,259,291,259,291,310
最大马力(Ps),707,435,550,435,550,707
最大扭矩转速(rpm),2600-4500,1800-5500,2000-5000,1800-5500,2000-5000,2600-4500
最大扭矩(N·m)_y,900,520,700,520,700,900
最大扭矩(N·m)_x,900,520,700,520,700,900
最大功率转速(rpm),6000,5900-6100,6500,5900-6100,6500,6000
最大功率(kW)_y,520,320,405,320,405,520
最大功率(kW)_x,520,320,405,320,405,520
最大净功率(kW),520,320,405,320,405,520
无钥匙进入功能,,,,,,
无钥匙启动系统,●,●,●,●,●,●
无框设计车门,●,●,●,●,●,●
方向盘记忆,●,●,●,●,●,●
方向盘材质,,,,,,
方向盘换挡,●,●,●,●,●,●
方向盘加热,○,-,○,-,○,○
方向盘位置调节,,,,,,
整车质保,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里
整备质量(kg),2245,-,2245,-,2245,2245
整体主动转向系统,-,-,-,-,-,-
排量(mL),3982,2999,3982,2999,3982,3982
换挡形式,,,,,,
挡位个数,9,9,9,9,9,9
扬声器数量,,,,,,
扬声器品牌名称,-,-,-,-,-,-
手机无线充电功能,,-,,-,,
手机互联/映射,,,,,,
手势控制,-,-,-,-,-,-
感应雨刷功能,,,,,,
感应后备厢,○,-,○,-,○,○
座椅材质,,,,,,
座位数(个),5,5,5,5,5,5
并线辅助,●,●,●,●,●,●
巡航系统,,,,,,
导航路况信息显示,-,-,-,-,-,-
宽度(mm),1998,1998,1998,1998,1998,1998
官方0-100km/h加速(s),3.3,5.4,4.5,5.4,4.5,3.3
安全带未系提醒,,,,,,
天窗类型,,,,,,
大灯高度可调,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-
大灯延时关闭,●,●,●,●,●,●
多层隔音玻璃,,,,,,
多媒体/充电接口,,,,,,
多功能方向盘,●,●,●,●,●,●
外后视镜功能,,,,,,
备胎规格,无,非全尺寸,无,非全尺寸,无,无
四驱形式,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱
后风挡遮阳帘,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-
后轮距(mm),1664,1664,1664,1664,1664,1664
后轮胎规格,325/35 R22,315/40 R21,325/35 R22,315/40 R21,325/35 R22,325/35 R22
后排独立空调,●,●,●,●,●,●
