Feature,25494,25498,33941,33942,34018,35752
高度(mm),1870,1870,1870,1870,1870,1870
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱
零胎压继续行驶,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-
长度(mm),4080,4080,4080,4080,4080,4080
长*宽*高(mm),4080*1840*1870,4080*1840*1870,4080*1840*1870,4080*1840*1870,4080*1840*1870,4080*1840*1870
铝合金轮圈,-,-,-,-,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,未知,未知
遮阳板化妆镜,-,-,-,-,-,-
遥控钥匙,-,-,-,-,-,-
道路救援呼叫,-,-,-,-,-,-
远程启动,-,-,-,-,-,-
远光灯,卤素,卤素,卤素,卤素,卤素,卤素
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压
近光灯,卤素,卤素,卤素,卤素,卤素,卤素
运动风格座椅,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-
轴距(mm),2300,2300,2300,2300,2300,2300
转向辅助灯,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4
车道偏离预警系统,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-
车载电视,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-
车联网,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-
车窗一键升降,-,-,-,-,-,-
车型名称,BJ 212 2016款 2.0L 三角门 四驱豪华型 国V,BJ 212 2016款 2.0L 方门 四驱豪华型 国V,BJ 212 2018款 2.0L 三角门,BJ 212 2018款 2.0L 方门,BJ 212 2018款 2.8T 方门 柴油版,BJ 212 2018款 2.8T 三角门 柴油
车内空气调节/花粉过滤,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-
车内中控锁,-,-,-,-,-,-
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
行车电脑显示屏,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-
行李厢容积(L),-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-
自适应巡航,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-
自动泊车入位,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-
腰部支撑调节,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,柴油,柴油
胎压监测装置,-,-,-,-,-,-
肩部支撑调节,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,未知,未知
缸径(mm),-,-,-,-,-,-
缸体材料,铸铁,铸铁,铸铁,铸铁,未知,未知
级别,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
第二排靠背角度调节,-,-,-,-,-,-
第二排独立座椅,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-
空调控制方式,手动●,手动●,手动●,手动●,手动●,手动●
空气悬架,-,-,-,-,-,-
皮质方向盘,-,-,-,-,-,-
疲劳驾驶提示,-,-,-,-,-,-
电磁感应悬架,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-
电动天窗,-,-,-,-,-,-
电动吸合门,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-
环保标准,国V,国V,国V,国V,国V,国V
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-
燃油标号,92号,92号,92号,92号,0号,0号
燃料形式,汽油,汽油,汽油,汽油,柴油,柴油
温度分区控制,-,-,-,-,-,-
流媒体车内后视镜,-,-,-,-,-,-
油箱容积(L),80,80,75,75,-,-
气缸数(个),4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4
最高车速(km/h),115,115,115,115,115,115
最小离地间隙(mm),215,215,215,215,215,215
最大马力(Ps),102,102,102,102,109,109
最大扭矩转速(rpm),3200-3800,3200-3800,3200-3800,3200-3800,2000,2000
最大扭矩(N·m)_y,178,178,178,178,225,225
最大扭矩(N·m)_x,178,178,178,178,225,225
最大功率转速(rpm),4600,4600,4600,4600,3600,3600
最大功率(kW)_y,75,75,75,75,80,80
最大功率(kW)_x,75,75,75,75,80,80
无钥匙进入系统,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-
方向盘调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节
方向盘记忆,-,-,-,-,-,-
方向盘电动调节,-,-,-,-,-,-
方向盘换挡,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-
整车质保,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里
整备质量(kg),1550,1550,1550,1550,1550,1550
整体主动转向系统,-,-,-,-,-,-
排量(mL),1998,1998,1998,1998,2771,2771
挡位个数,5,5,5,5,5,5
扬声器品牌,-,-,-,-,-,-
扬声器个数,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭
手机无线充电,-,-,-,-,-,-
手机互联/映射功能,-,-,-,-,-,-
感应雨刷,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-
座椅高低调节,-,-,-,-,-,-
座椅材料,织物,织物,织物,织物,织物,织物
座位数(个),5,5,5,5,5,5
并线辅助,-,-,-,-,-,-
工信部综合油耗(L/100km),10.8,10.8,-,-,-,-
导航路况信息显示,-,-,-,-,-,-
宽度(mm),1840,1840,1840,1840,1840,1840
实测油耗(L/100km),-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-
实测0-100km/h加速(s),-,-,-,-,-,-
定速巡航,-,-,-,-,-,-
官方0-100km/h加速(s),-,-,-,-,-,-
安全带未系提示,-,-,-,-,-,-
大灯高度可调,-,-,-,-,-,-
大灯清洗装置,-,-,-,-,-,-
夜视系统,-,-,-,-,-,-
多天窗,-,-,-,-,-,-
多功能方向盘,-,-,-,-,-,-
外接音源接口,-,-,USB,USB,USB,USB
备胎规格,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸
四驱形式,分时四驱,分时四驱,分时四驱,分时四驱,分时四驱,分时四驱
后风挡遮阳帘,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-
后轮距(mm),1500,1500,1500,1500,-,-
后轮胎规格,235/75 R15,235/75 R15,215/80 R16 ,215/80 R16 ,215/80 R16 ,215/80 R16 
后视镜记忆,-,-,-,-,-,-
后视镜电动调节,-,-,-,-,-,-
