Feature,51738,51739,51740,51741,51742,58508,58509,58510,58511
高度(mm),1650,1650,1650,1650,1650,1650,1650,1650,1650
驾驶辅助影像,,,,,,,,,
驾驶模式切换,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱
面部识别,-,-,-,-,-,-,-,-,-
隐藏电动门把手,●,●,●,●,●,●,●,●,●
陡坡缓降,●,●,●,●,●,●,●,●,●
限滑差速器/差速锁,,,,,,,,,
长度(mm),4531,4531,4531,4531,4531,4531,4531,4531,4531
长*宽*高(mm),4531*1904*1650,4531*1904*1650,4531*1904*1650,4531*1904*1650,4531*1904*1650,4531*1904*1650,4531*1904*1650,4531*1904*1650,4531*1904*1650
钥匙类型,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●,●,●,●
远程启动功能,,,,,,,,,
远光灯光源,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-
运动外观套件,●,●,●,●,●,●,●,●,●
辅助驾驶等级,-,,-,-,,,-,-,-
轴距(mm),2841,2841,2841,2841,2841,2841,2841,2841,2841
轮圈材质,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-
转向头灯,-,○,-,○,○,○,-,○,○
车顶行李架,-,-,-,-,-,-,-,-,-
车门数(个),5,5,5,5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,●,●,●,●,●,●,●,●
车道保持辅助系统,-,●,●,●,●,●,●,●,●
车载空气净化器,●,●,●,●,●,●,●,●,●
车载智能系统,,,,,,,,,
车载冰箱,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,
车型名称,揽胜极光 2021款 极光L 200PS R-Dynamic Standard 精英版,揽胜极光 2021款 极光L 249PS R-Dynamic HSE 奢享版,揽胜极光 2021款 极光L 249PS R-Dynamic First edition 首发版,揽胜极光 2021款 极光L 249PS R-Dynamic S 性能版,揽胜极光 2021款 极光L 249PS R-Dynamic SE 豪华版,揽胜极光 2022款 极光L 249PS R-Dynamic HSE 奢享版,揽胜极光 2022款 极光L 200PS R-Dynamic Standard 精英版,揽胜极光 2022款 极光L 249PS R-Dynamic 豪华版,揽胜极光 2022款 极光L 249PS R-Dynamic 科林斯古铜特别版
车前雾灯,-,-,-,-,-,-,-,-,-
车内香氛装置,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,,-,,-,,-,,
车内化妆镜,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,●,●,●,●,●,●,●,●,●
语音识别控制系统,,,,,,,,,
触摸式阅读灯,●,●,●,●,●,●,●,●,●
被动行人保护,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,
行李厢12V电源接口,●,●,●,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●,●,●,●
自适应远近光,-,●,●,●,●,●,-,●,●
自动驻车,●,●,●,●,●,●,●,●,●
自动泊车入位,-,●,-,-,●,●,-,-,-
自动头灯,●,●,●,●,●,●,●,●,●
膝部气囊,-,-,-,-,-,-,-,-,-
能源类型,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统
胎压监测功能,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
纵向通过角(°),20,20,20,20,20,20,20,20,20
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
简称,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体
第二排独立座椅,-,-,-,-,-,-,-,-,-
第二排座椅调节,,,,,,,,,
第二排座椅电动调节,●,●,●,●,●,●,●,●,●
第二排座椅功能,-,,-,,,,-,-,-
空载最小离地间隙(mm),212,212,212,212,212,212,212,212,212
空调温度控制方式,,,,,,,,,
空气悬架,-,-,-,-,-,-,-,-,-
离去角(°),32,32,32,32,32,32,32,32,32
疲劳驾驶提示,-,●,●,●,●,●,●,●,●
电磁感应悬架,-,-,-,-,-,-,-,-,-
电动扰流板,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,,-,,,,-,,
电动吸合车门,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,●,●,●,●,●,●,●,●,●
电动后备厢,●,●,●,●,●,●,●,●,●
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●
燃油标号,95号,95号,95号,95号,95号,95号,95号,95号,95号
燃料形式,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统
灯光特色功能,-,,-,,,,-,,
温度分区控制,●,●,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,,,
油箱容积(L),67,67,67,67,67,67,67,67,67
气缸数(个),4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4
最高车速(km/h),211,229,229,229,229,229,211,229,229
最小转弯半径(m),6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1
最大马力(Ps),200,249,249,249,249,249,200,249,249
最大满载质量(kg),-,-,-,-,-,2505,2505,2505,2505
最大涉水深度(mm),600,600,600,600,600,600,600,600,600
最大扭矩转速(rpm),1200-4000,1300-4500,1300-4500,1300-4500,1300-4500,1300-4500,1200-4000,1300-4500,1300-4500
最大扭矩(N·m)_y,320,365,365,365,365,365,320,365,365
最大扭矩(N·m)_x,320,365,365,365,365,365,320,365,365
最大功率转速(rpm),5500,5500,5500,5500,5500,5500,5500,5500,5500
最大功率(kW)_y,147,183,183,183,183,183,147,183,183
最大功率(kW)_x,147,183,183,183,183,183,147,183,183
最大净功率(kW),147,183,183,183,183,183,147,183,183
无钥匙进入功能,-,,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●,●
方向盘记忆,-,●,-,-,-,●,-,-,-
方向盘材质,,,,,,,,,
方向盘换挡,●,●,●,●,●,●,●,●,●
方向盘加热,-,○,-,○,○,○,-,○,○
方向盘位置调节,,,,,,,,,
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
整备质量(kg),2005,2010,2010,2010,2010,2010,2005,2010,2010
整体主动转向系统,-,-,-,-,-,-,-,-,-
接近角(°),20,20,20,20,20,20,20,20,20
排量(mL),1997,1997,1997,1997,1997,1997,1997,1997,1997
换挡形式,,,,,,,,,
挡位个数,9,9,9,9,9,9,9,9,9
扬声器数量,,,,,,,,,
扬声器品牌名称,-,,,,,,-,,
手机无线充电功能,,,-,,,,,,
手机互联/映射,,,,,,,,,
手机APP远程控制,,,,,,,,,
手势控制,-,-,-,-,-,-,-,-,-
感应雨刷功能,,,,,,,,,
感应后备厢,-,●,-,○,○,●,-,-,-
座椅材质,,,,,,,,,
座位数(个),5,5,5,5,5,5,5,5,5
并线辅助,-,●,-,-,●,●,-,-,-
巡航系统,,,,,,,,,
导航路况信息显示,●,●,●,●,●,●,●,●,●
宽度(mm),1904,1904,1904,1904,1904,1904,1904,1904,1904
官方0-100km/h加速(s),9.6,8.2,8.2,8.2,8.2,8.2,9.6,8.2,8.2
安全带未系提醒,,,,,,,,,
天窗类型,,,,,,,,,
大灯高度可调,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-
大灯延时关闭,●,●,●,●,●,●,●,●,●
多层隔音玻璃,-,-,-,-,-,-,-,-,-
多媒体/充电接口,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
四驱形式,适时四驱,适时四驱,适时四驱,适时四驱,适时四驱,适时四驱,适时四驱,适时四驱,适时四驱
后风挡遮阳帘,-,-,-,-,-,-,-,-,-
后雨刷,●,●,●,●,●,●,●,●,●
后轮距(mm),1642,1642,1642,1642,1642,1642,1642,1642,1642
后轮胎规格,235/50 R20,235/50 R20,235/50 R20,235/50 R20,235/50 R20,235/50 R20,235/50 R20,235/50 R20,235/50 R20
后排独立空调,-,●,●,●,●,●,-,●,●
后排液晶屏幕,-,-,-,-,-,-,-,-,-
后排杯架,●,●,●,●,●,●,●,●,●
后排控制多媒体,-,-,-,-,-,-,-,-,-
后排座椅电动放倒,-,-,-,-,-,-,-,-,-
后排座椅放倒形式,,,,,,,,,
后排小桌板,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,●,●,●,●,●,●,●,●,●
后排侧窗遮阳帘,-,-,-,-,-,-,-,-,-
后悬架类型,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架
后座出风口,●,●,●,●,●,●,●,●,●
后备厢容积(L),-,-,-,-,-,-,-,-,-
后制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
可变转向比,-,-,-,-,-,-,-,-,-
可变悬架功能,-,-,-,-,-,-,-,-,-
可加热喷水嘴,-,-,-,-,-,-,-,-,-
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
变速箱,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体
发动机电子防盗,●,●,●,●,●,●,●,●,●
发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机型号,PT204,PT204,PT204,PT204,PT204,PT204,PT204,PT204,PT204
发动机启停技术,●,●,●,●,●,●,●,●,●
发动机,2.0T 200马力 L4,2.0T 249马力 L4,2.0T 249马力 L4,2.0T 249马力 L4,2.0T 249马力 L4,2.0T 249马力 L4,2.0T 200马力 L4,2.0T 249马力 L4,2.0T 249马力 L4
压缩比,-,10.5,10.5,10.5,10.5,10.5,-,10.5,10.5
厂商指导价(元),38.98万,47.58万,42.98万,41.58万,44.58万,47.58万,38.98万,42.98万,42.98万
厂商,奇瑞捷豹路虎,奇瑞捷豹路虎,奇瑞捷豹路虎,奇瑞捷豹路虎,奇瑞捷豹路虎,奇瑞捷豹路虎,奇瑞捷豹路虎,奇瑞捷豹路虎,奇瑞捷豹路虎
卫星导航系统,●,●,●,●,●,●,●,●,●
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
加热/制冷杯架,-,-,-,-,-,-,-,-,-
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-
副座椅调节方式,,,,,,,,,
前轮距(mm),1636,1636,1636,1636,1636,1636,1636,1636,1636
前轮胎规格,235/50 R20,235/50 R20,235/50 R20,235/50 R20,235/50 R20,235/50 R20,235/50 R20,235/50 R20,235/50 R20
前方碰撞预警,●,●,●,●,●,●,●,●,●
前排座椅功能,-,,,,,,-,,
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
前大灯雨雾模式,-,-,-,-,-,-,-,-,-
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●
内置行车记录仪,-,-,-,-,-,-,-,-,-
内后视镜功能,,,,,,,,,
全液晶仪表盘,●,●,●,●,●,●,●,●,●
倒车车侧预警系统,-,●,-,-,●,●,-,-,-
供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
主座椅调节方式,,,,,,,,,
主动降噪,-,-,-,-,-,-,-,-,-
主动闭合式进气格栅,●,●,●,●,●,●,●,●,●
主动刹车/主动安全系统,●,●,●,●,●,●,●,●,●
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,,,,,,,
中控屏幕尺寸,,,,,,,,,
中央差速器结构,多片离合器,多片离合器,多片离合器,多片离合器,多片离合器,多片离合器,多片离合器,多片离合器,多片离合器
上市时间,2021.07,2021.07,2021.07,2021.07,2021.07,2022.08,2022.08,2022.08,2022.08
上坡辅助,●,●,●,●,●,●,●,●,●
Wi-Fi热点,●,●,●,●,●,●,●,●,●
USB/Type-C接口数量,,,,,,,,,
OTA升级,-,-,-,-,-,-,-,-,-
NEDC综合油耗(L/100km),7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3
LED日间行车灯,●,●,●,●,●,●,●,●,●
ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●
HUD抬头数字显示,-,○,-,○,○,○,-,○,○
ETC装置,-,-,-,-,-,○,○,○,○
DOW开门预警,-,●,-,-,●,●,-,-,-
ABS防抱死,●,●,●,●,●,●,●,●,●
4G/5G网络,,,,,,,,,
