Feature,36738,36940,36941,36942,36946,36947,36948,36949,36950,36951,36952,36953
高度(mm),1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●
防紫外线玻璃,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4420,4410,4410,4410,4410,4410,4410,4420,4420,4420,4420,4420
长*宽*高(mm),4420*1845*1695,4410*1845*1695,4410*1845*1695,4410*1845*1695,4410*1845*1695,4410*1845*1695,4410*1845*1695,4420*1845*1695,4420*1845*1695,4420*1845*1695,4420*1845*1695,4420*1845*1695
铝合金轮圈,●,●,●,●,●,●,●,●,●,●,●,●
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,●,-,●,●,●,●,●,-,●,●,●,●
远程启动,●,-,●,●,●,●,●,-,●,●,●,●
远光灯,LED,卤素,卤素,LED,LED,LED,卤素,卤素,卤素,卤素,LED,LED
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯,LED,卤素,卤素,LED,LED,LED,卤素,卤素,卤素,卤素,LED,LED
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2660,2660,2660,2660,2660,2660,2660,2660,2660,2660,2660,2660
转向辅助灯,●,-,●,●,●,●,●,-,●,●,●,●
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,●,-,●,●,●,●,●,-,●,●,●,●
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5
车道偏离预警系统,-,-,-,-,○,-,-,-,-,-,-,○
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,-,●,●,●,●,●,-,●,●,●,●
车窗防夹手功能,●,-,●,●,●,●,●,-,●,●,●,●
车窗一键升降,主驾驶位,-,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,-,主驾驶位,主驾驶位,主驾驶位,主驾驶位
车型名称,哈弗H4 2019款 红标 1.5GDIT 手动豪华智联版,哈弗H4 2019款 1.5GDIT 手动都市版,哈弗H4 2019款 1.5GDIT 手动精英智联版,哈弗H4 2019款 1.5GDIT 手动豪华智联版,哈弗H4 2019款 1.5GDIT DCT超豪智联版,哈弗H4 2019款 1.5GDIT DCT豪华智联版,哈弗H4 2019款 1.5GDIT DCT精英智联版,哈弗H4 2019款 红标 1.5GDIT 手动都市版,哈弗H4 2019款 红标 1.5GDIT 手动精英智联版,哈弗H4 2019款 红标 1.5GDIT DCT精英智联版,哈弗H4 2019款 红标 1.5GDIT DCT豪华智联版,哈弗H4 2019款 红标 1.5GDIT DCT超豪智联版
车内空气调节/花粉过滤,●,●,●,●,●,●,●,●,●,●,●,●
车内氛围灯,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
行车电脑显示屏,●,●,●,●,●,●,●,●,●,●,●,●
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-
行李厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-
自适应巡航,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,●,-,●,●,●,●,●,-,●,●,●,●
自动泊车入位,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,●,-,○,●,●,●,○,-,○,○,●,●
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-
腰部支撑调节,-,-,-,-,●,-,-,-,-,-,-,●
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测装置,●,-,●,●,●,●,●,-,●,●,●,●
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
