Feature,1000886
高度(mm),2285
驱动电机数,-
驱动方式,中置后驱
零胎压继续行驶,-
陡坡缓降,-
防紫外线玻璃,●
长度(mm),5380
长*宽*高(mm),5380×1880×2285
铝合金轮圈,●
配气机构,DOHC
遮阳板化妆镜,-
遥控钥匙,●
道路救援呼叫,-
远光灯,卤素
进气形式,自然吸气
近光灯,卤素
运动风格座椅,-
运动外观套件,-
轴距(mm),3110
转向辅助灯,-
转向头灯,-
车顶行李架,-
车门数(个),4
车载电视,-
车载冰箱,-
车身结构_y,客车
车身结构_x,客车
车身稳定控制(ESC/ESP/DSC等),-
车窗防夹手功能,●
车型名称,HIACE 2011款 2.7L自动标准版13座
车内空气调节/花粉过滤,-
车内氛围灯,-
车内中控锁,●
车体结构,承载式
货箱尺寸(mm),-
行车电脑显示屏,-
行程(mm),95
蓝牙/车载电话,-
自适应远近光,-
自动驻车,-
自动头灯,-
膝部气囊,-
腰部支撑调节,-
能源类型,汽油
胎压监测装置,-
肩部支撑调节,-
缸盖材料,铝
缸径(mm),95
缸体材料,铝
级别,轻客
简称,4挡自动
第二排靠背角度调节,●
第二排座椅移动,-
第三排座椅,3座
空调控制方式,手动●
空气悬架,-
皮质方向盘,-
百公里耗电量(kWh/100km),-
电池组质保,-
电池类型,-
电池容量(kWh),-
电池充电时间,-
电机类型,-
电机布局,-
电动机总扭矩(N·m),-
电动机总功率(kW),-
电动座椅记忆,-
电动天窗,-
电动吸合门,-
电动后备厢,-
环保标准,国IV
牵引力控制(ASR/TCS/TRC等),-
燃油标号,92号
燃料形式,汽油
温度分区控制,●
油箱容积(L),70
气缸数(个),4
气缸排列形式,L
每缸气门数(个),4
最高车速(km/h),-
最小离地间隙(mm),-
最大马力(Ps),154
最大载重质量(kg),-
最大扭矩转速(rpm),3800
最大扭矩(N·m)_y,241
最大扭矩(N·m)_x,-
最大功率转速(rpm),4800
最大功率(kW)_y,113
最大功率(kW)_x,-
无钥匙进入系统,-
无钥匙启动系统,-
方向盘调节,上下调节
方向盘记忆,-
方向盘电动调节,-
方向盘换挡,-
方向盘加热,-
整车质保,两年或5万公里
整备质量(kg),2105
排量(mL),2694
挡位个数,4
扬声器品牌,-
扬声器个数,6-7喇叭
感应雨刷,-
感应后备厢,-
快充电量(%),-
座椅高低调节,-
座椅材料,织物
座位数(个),13
并线辅助,-
工信部综合油耗(L/100km),-
工信部续航里程(km),-
宽度(mm),1880
定速巡航,-
安全带未系提示,-
大灯高度可调,-
大灯清洗装置,-
多功能方向盘,-
外接音源接口,USB
后风挡遮阳帘,-
后雨刷,●
后轮距(mm),1650
后轮胎规格,195 R15
后视镜记忆,-
后视镜电动调节,-
后视镜电动折叠,-
后视镜加热,-
后电动机最大扭矩(N·m),-
后电动机最大功率(kW),-
后桥限滑差速器/差速锁,-
后排车门开启方式,侧滑门
后排独立空调,●
后排液晶屏,-
后排杯架,-
后排座椅电动调节,-
后排座椅放倒方式,比例放倒
后排侧隐私玻璃,-
后排侧遮阳帘,-
后悬架类型,叶片式弹簧
后座出风口,●
后制动器类型,鼓式
可变转向比,-
可变悬架,-
变速箱类型,自动变速箱(AT)
变速箱,4挡自动
发动机电子防盗,●
发动机型号,-
发动机启停技术,-
发动机,2.7L 154马力 L4
压缩比,9.6
厂商指导价(元),42.00万~42.40万
厂商,丰田(进口)
助力类型,液压助力
前雾灯,●
前轮距(mm),1655
前轮胎规格,195 R15
前电动机最大扭矩(N·m),-
前电动机最大功率(kW),-
前桥限滑差速器/差速锁,-
前悬架类型,双摇臂悬架
前制动器类型,通风盘式
前/后驻车雷达,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后-
前/后排座椅通风,-
前/后排座椅按摩,-
前/后排座椅加热,-
前/后排头部气囊(气帘),-
前/后排侧气囊,-
前/后中央扶手,-
刹车辅助(EBA/BAS/BA等),-
制动力分配(EBD/CBC等),-
内/外后视镜自动防眩目,-
全景摄像头,-
全景天窗,-
倒车视频影像,-
侧滑门,手动侧滑门
供油方式,多点电喷
主/副驾驶座电动调节,-
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●
中控台彩色大屏,-
中央差速器锁止功能,-
上市时间,2011.12
上坡辅助,-
LED日间行车灯,-
ISOFIX儿童座椅接口,-
GPS导航系统,-
CD/DVD,多碟CD
ABS防抱死,●
220V/230V电源,-
