Feature,56946,56947
高度(mm),1710,1710
驾驶辅助影像,,
驾驶模式切换,,
驻车制动类型,电子驻车,电子驻车
驱动电机数,单电机,单电机
驱动方式,前置前驱,前置前驱
首任车主质保政策,不限年限/不限里程,不限年限/不限里程
面部识别,-,-
隐藏电动门把手,-,-
陡坡缓降,-,-
限滑差速器/差速锁,-,-
长度(mm),4750,4750
长*宽*高(mm),4750*1910*1710,4750*1910*1710
钥匙类型,,
道路救援呼叫,-,-
道路交通标识识别,-,-
远程启动功能,,
远光灯光源,,
近光灯光源,,
运动风格座椅,-,-
运动外观套件,-,-
轴距(mm),2745,2745
轮圈材质,,
转向辅助灯,-,●
转向头灯,-,-
车顶行李架,●,●
车门数(个),5,5
车门开启方式,平开门,平开门
车道偏离预警系统,-,●
车道保持辅助系统,-,-
车载空气净化器,-,-
车载冰箱,-,-
车载CD/DVD,-,-
车身结构_y,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●
车联网,●,●
车窗防夹手功能,●,●
车窗一键升降功能,,
车型名称,捷途X70S EV 2019款 简政版,捷途X70S EV 2019款 政务版
车前雾灯,-,-
车内香氛装置,-,-
车内环境氛围灯,-,-
车内化妆镜,,
车内中控锁,●,●
车内PM2.5过滤装置,-,-
车体结构,承载式,承载式
负离子发生器,-,-
语音识别控制系统,-,
触摸式阅读灯,-,-
被动行人保护,-,-
行车电脑显示屏幕,,
行李厢12V电源接口,●,●
蓝牙/车载电话,●,●
自适应远近光,-,-
自动驻车,●,●
自动泊车入位,-,-
自动头灯,-,●
膝部气囊,-,-
能源类型,纯电动,纯电动
胎压监测功能,,
缺气保用轮胎,-,-
级别,中型SUV,中型SUV
简称,电动车单速变速箱,电动车单速变速箱
第二排独立座椅,-,-
第二排座椅调节,-,-
第二排座椅电动调节,-,-
第二排座椅功能,-,-
空调温度控制方式,,
空气悬架,-,-
离去角(°),20,20
百公里耗电量(kWh/100km),14.9,14.9
疲劳驾驶提示,-,-
电芯品牌,国轩高科,国轩高科
电能当量燃料消耗量(L/100km),1.7,1.9
电磁感应悬架,-,-
电池能量密度(Wh/kg),140.1,140.1
电池能量(kWh),56,56
电池组质保,八年或15万公里,八年或15万公里
电池类型,磷酸铁锂电池,磷酸铁锂电池
电机类型,永磁/同步,永磁/同步
电机布局,前置,前置
电动机总扭矩(N·m),300,300
电动机总功率(kW),125,125
电动机总功率(Ps),170,170
电动机(Ps),170,170
电动扰流板,-,-
电动座椅记忆功能,-,-
电动吸合车门,-,-
电动后备厢位置记忆,-,-
电动后备厢,-,●
牵引力控制(ASR/TCS/TRC等),●,●
灯光特色功能,-,-
温度分区控制,-,-
液晶仪表尺寸,,
最高车速(km/h),140,140
最大满载质量(kg),2295,2295
最大扭矩(N·m),300,300
最大功率(kW),125,125
无钥匙进入功能,,
无钥匙启动系统,●,●
方向盘记忆,-,-
方向盘材质,,
方向盘换挡,-,-
方向盘加热,-,-
方向盘位置调节,,
整车质保,-,-
整备质量(kg),1765,1765
整体主动转向系统,-,-
接近角(°),21,21
换挡形式,,
挡位个数,1,1
扬声器数量,,
扬声器品牌名称,-,-
手机无线充电功能,-,
手机互联/映射,,
手机APP远程功能,,
手势控制,-,-
慢充时间(小时)_y,8,8
慢充时间(小时)_x,8,8
感应雨刷功能,-,
感应后备厢,-,-
快充电量百分比,80,80
快充电量(%),80,80
