Feature,1009505,1009506,1009507,1009508,1009509,1009510,1009511,1009512,1009513,1009514,1009515,1009516,1009517,1009518,1009519,1009520,1009521,1009522,1009523,1009524,1009525,1009526,1009527,1009528
高度(mm),2065,2470,2410,2065,2470,2410,2120,2540,2500,2120,2540,2500,2120,2570,2555,2120,2570,2555,2120,2570,2500,2120,2570,2500
驾驶辅助影像,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4850,4850,4870,4850,4850,4870,5900,5900,5900,5900,5900,5900,5450,5450,5490,5450,5450,5490,5450,5450,5490,5450,5450,5490
长*宽*高(mm),4850×1700×2065,4850×1700×2470,4870×1700×2410,4850×1700×2065,4850×1700×2470,4870×1700×2410,5900×1850×2120,5900×1850×2540,5900×1850×2500,5900×1850×2120,5900×1850×2540,5900×1850×2500,5450×1750×2120,5450×1750×2570,5490×1750×2555,5450×1750×2120,5450×1750×2570,5490×1750×2555,5450×1760×2120,5450×1750×2570,5490×1750×2500,5450×1760×2120,5450×1750×2570,5490×1750×2500
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),2990,2990,2990,2990,2990,2990,3600,3600,3600,3600,3600,3600,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,福瑞达K22 2020款 1.5L Mini双排豪华型栏板DAM15KR,福瑞达K22 2020款 1.5L Mini双排豪华型仓栅DAM15KR,福瑞达K22 2020款 1.5L Mini双排豪华型厢货DAM15KR,福瑞达K22 2020款 1.5L Mini双排标准型栏板DAM15KR,福瑞达K22 2020款 1.5L Mini双排标准型仓栅DAM15KR,福瑞达K22 2020款 1.5L Mini双排标准型厢货DAM15KR,福瑞达K22 2020款 1.5L 轻卡双排豪华型栏板DAM15KR,福瑞达K22 2020款 1.5L 轻卡双排豪华型仓栅DAM15KR,福瑞达K22 2020款 1.5L 轻卡双排豪华型厢货DAM15KR,福瑞达K22 2020款 1.5L 轻卡双排标准型栏板DAM15KR,福瑞达K22 2020款 1.5L 轻卡双排标准型仓栅DAM15KR,福瑞达K22 2020款 1.5L 轻卡双排标准型厢货DAM15KR,福瑞达K22 2020款 1.5L 后双轮双排豪华型栏板DAM15KR,福瑞达K22 2020款 1.5L 后双轮双排豪华型仓栅DAM15KR,福瑞达K22 2020款 1.5L 后双轮双排豪华型厢货DAM15KR,福瑞达K22 2020款 1.5L 后双轮双排标准型栏板DAM15KR,福瑞达K22 2020款 1.5L 后双轮双排标准型仓栅DAM15KR,福瑞达K22 2020款 1.5L 后双轮双排标准型厢货DAM15KR,福瑞达K22 2020款 1.5L 后单轮双排豪华型栏板DAM15KR,福瑞达K22 2020款 1.5L 后单轮双排豪华型仓栅DAM15KR,福瑞达K22 2020款 1.5L 后单轮双排豪华型厢货DAM15KR,福瑞达K22 2020款 1.5L 后单轮双排标准型栏板DAM15KR,福瑞达K22 2020款 1.5L 后单轮双排标准型仓栅DAM15KR,福瑞达K22 2020款 1.5L 后单轮双排标准型厢货DAM15KR
车前雾灯,,,,-,-,-,,,,,,,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,-,-,-,●,●,●,-,-,-,●,●,●,-,-,-,●,●,●,-,-,-
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
