Feature,31346,34274,38987,39541,39741,39742,40350,40351,42762,46195
高度(mm),1725,1725,1725,1725,1760,1760,1725,1725,1725,1725
驻车制动类型,手刹,手刹,手刹,手刹,电子驻车,电子驻车,电子驻车,电子驻车,手刹,手刹
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
面部识别,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-
长度(mm),4515,4515,4515,4515,4760,4760,4515,4515,4515,4515
长*宽*高(mm),4515*1812*1725,4515*1812*1725,4515*1812*1725,4515*1812*1725,4760*1865*1760,4760*1865*1760,4515*1812*1725,4515*1812*1725,4515*1812*1725,4515*1812*1725
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-
道路交通标识识别,-,-,-,-,-,-,-,-,-,-
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气
运动风格座椅,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-
轴距(mm),2720,2720,2720,2720,2753,2753,2720,2720,2720,2720
转向辅助灯,-,-,-,-,●,●,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-
车顶行李架,●,●,●,●,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5,5,5,5,5
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,-,●,●,●,●,●,●
车联网,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,●,●,●,-,●,●,●,●,●,●
车型名称,景逸X5 2017款 乐享系列 1.6L CVT豪华型,景逸X5 2018款 乐享系列 1.6L 手动创享型,景逸X5 2019款 乐享系列 1.6L 手动惠民型,景逸X5 2019款 乐享系列 1.6L 手动实用型,景逸X5 2019款 X5L 1.5T 手动豪华型,景逸X5 2019款 X5L 1.5T CVT豪华型,景逸X5 2019款 劲享系列 1.5T CVT豪华型,景逸X5 2019款 劲享系列 1.5T CVT尊享型,景逸X5 2019款 1.6L 手动劲炫版,景逸X5 2019款 1.6L 手动幸福版
车内香氛装置,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,●,●,-,○,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,-,-,-,-,-,-,-,-,-,-
触摸式阅读灯,-,-,-,-,-,-,-,-,-,-
被动行人保护,-,-,-,-,-,-,-,-,-,-
行程(mm),90,90,90,90,84.8,84.8,84.8,84.8,90,90
行李厢容积(L),-,-,-,-,783,783,-,-,-,-
行李厢12V电源接口,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,-,-,●,●,●,●,-,●
自适应远近光,-,-,-,-,-,-,-,-,-,-
自动驻车,●,-,-,-,●,●,●,●,-,-
自动泊车入位,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,●,●,-,●,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),75,75,75,75,75,75,75,75,75,75
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
简称,CVT无级变速(模拟6挡),5挡手动,5挡手动,5挡手动,6挡手动,CVT无级变速,CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),5挡手动,5挡手动
第二排独立座椅,-,-,-,-,-,-,-,-,-,-
空气悬架,-,-,-,-,-,-,-,-,-,-
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-
电磁感应悬架,-,-,-,-,-,-,-,-,-,-
电池预加热,-,-,-,-,-,-,-,-,-,-
电动扰流板,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-
电动可调踏板,-,-,-,-,-,-,-,-,-,-
环保标准_y,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V
环保标准_x,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V
牵引力控制(ASR/TCS/TRC等),●,●,●,-,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,-,-,-,-,●,●,-,-,-,-
涉水感应系统,-,-,-,-,-,-,-,-,-,-
油箱容积(L),45,45,45,45,55,55,55,55,45,-
气缸数(个),4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4
最高车速(km/h),-,-,-,-,160,160,-,-,-,-
最小离地间隙(mm),200,200,200,200,200,200,200,200,200,-
最大马力(Ps),122,122,122,122,150,150,150,150,122,122
最大扭矩转速(rpm),4000,4000,4000,4000,2000-4500,2000-4500,2000-4400,2000-4400,4000,4000
最大扭矩(N·m)_y,151,151,151,151,200,200,200,200,151,151
最大扭矩(N·m)_x,151,151,151,151,200,200,200,200,151,151
最大功率转速(rpm),6000,6000,6000,6000,5500,5500,5600,5600,6000,6000
最大功率(kW)_y,90,90,90,90,110,110,110,110,90,90
最大功率(kW)_x,90,90,90,90,110,110,110,110,90,90
无钥匙启动系统,-,-,-,-,●,●,●,●,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-
方向盘换挡,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-
整车质保,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里
整备质量(kg),1455,-,-,-,1545,1555,1545,1545,-,-
整体主动转向系统,-,-,-,-,-,-,-,-,-,-
排量(mL),1590,1590,1590,1590,1499,1499,1499,1499,1590,1590
挡位个数,6,5,5,5,6,无级变速,8,8,5,5
手势控制,-,-,-,-,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-,-,-,-,-
座位数(个),5,5,5,5,5,5,5,5,5,5
并线辅助,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),6.8,6.7,6.7,6.7,7.4,7.6,7.4,7.4,6.7,-
尾门玻璃独立开启,-,-,-,-,-,-,-,-,-,-
导航路况信息显示,-,-,-,-,-,-,-,-,-,-
宽度(mm),1812,1812,1812,1812,1865,1865,1812,1812,1812,1812
实测油耗(L/100km),-,-,-,-,-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-,-,-,-,-
实测0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-
大灯延时关闭,●,●,●,●,●,●,●,●,-,●
夜视系统,-,-,-,-,-,-,-,-,-,-
多功能方向盘,●,●,●,-,●,●,●,●,●,●
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-
后雨刷,●,●,●,●,●,●,●,●,●,●
后轮距(mm),-,-,-,-,1575,1575,1545,1545,-,-
后轮胎规格,215/60 R17,215/60 R17,215/60 R17,215/65 R16,225/55 R19,225/55 R19,215/55 R18,215/55 R18,215/60 R17,215/60 R17
后排独立空调,-,-,-,-,-,-,-,-,-,-
后排杯架,●,●,●,●,●,●,●,●,●,-
