Feature,61136,61137,61138,61139,61140,61141,61142,61143,61144,61145,61146,61147,61149,61150,63031,63088,63089,63148,63149,63150,63151,63152,63153,63154,63155,63156
高度(mm),1458,1458,1458,1458,1458,1458,1429,1429,1429,1429,1429,1429,1458,1429,1458,1458,1429,1458,1458,1458,1458,1429,1429,1429,1429,1429
驾驶辅助影像,,,,,,,,,,,,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
面部识别,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4343,4351,4343,4351,4343,4351,4548,4554,4548,4554,4548,4554,4351,4554,4351,4351,4554,4351,4351,4351,4351,4548,4548,4554,4554,4548
长*宽*高(mm),4343*1815*1458,4351*1815*1458,4343*1815*1458,4351*1815*1458,4343*1815*1458,4351*1815*1458,4548*1814*1429,4554*1814*1429,4548*1814*1429,4554*1814*1429,4548*1814*1429,4554*1814*1429,4351*1815*1458,4554*1814*1429,4351*1815*1458,4351*1815*1458,4554*1814*1429,4351*1815*1458,4351*1815*1458,4351*1815*1458,4351*1815*1458,4548*1814*1429,4548*1814*1429,4554*1814*1429,4554*1814*1429,4548*1814*1429
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远程启动功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,
运动风格座椅,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
运动外观套件,-,●,-,●,-,●,-,●,-,●,-,●,●,●,●,●,●,-,-,-,●,-,-,●,●,-
轴距(mm),2630,2630,2630,2630,2630,2630,2680,2680,2680,2680,2680,2680,2630,2680,2630,2630,2680,2630,2630,2630,2630,2680,2680,2680,2680,2680
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),5,5,5,5,5,5,4,4,4,4,4,4,5,4,5,5,4,5,5,5,5,4,4,4,4,4
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,●,●,●,●,-,-,●,●,●,●,●,●,●,-,●,-,●,●,●,●,-,-,●,●
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载智能系统,,,,,,,,,,,,,,,,,,,,,,,,,,
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,两厢车,三厢车,两厢车,两厢车,三厢车,两厢车,两厢车,两厢车,两厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,5门5座两厢车,4门5座三厢车,5门5座两厢车,5门5座两厢车,4门5座三厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,,,,,,,,,,,,
车型名称,奥迪A3 2023款 Sportback 35 TFSI 进取致雅型,奥迪A3 2023款 Sportback 35 TFSI 进取运动型,奥迪A3 2023款 Sportback 35 TFSI 时尚致雅型,奥迪A3 2023款 Sportback 35 TFSI 时尚运动型,奥迪A3 2023款 Sportback 35 TFSI 豪华致雅型,奥迪A3 2023款 Sportback 35 TFSI 豪华运动型,奥迪A3 2023款 A3L Limousine 35 TFSI 进取致雅型,奥迪A3 2023款 A3L Limousine 35 TFSI 进取运动型,奥迪A3 2023款 A3L Limousine 35 TFSI 时尚致雅型,奥迪A3 2023款 A3L Limousine 35 TFSI 时尚运动型,奥迪A3 2023款 A3L Limousine 35 TFSI 豪华致雅型,奥迪A3 2023款 A3L Limousine 35 TFSI 豪华运动型,奥迪A3 2023款 Sportback 35 TFSI 致臻幻彩版,奥迪A3 2023款 A3L Limousine 35 TFSI 致臻幻彩版,奥迪A3 2023款 改款 Sportback 35 TFSI 时尚运动型,奥迪A3 2023款 改款 Sportback 35 TFSI 进取运动型,奥迪A3 2023款 改款 A3L Limousine 35 TFSI 时尚运动型,奥迪A3 2023款 改款 Sportback 35 TFSI 进取致雅型,奥迪A3 2023款 改款 Sportback 35 TFSI 时尚致雅型,奥迪A3 2023款 改款 Sportback 35 TFSI 豪华致雅型,奥迪A3 2023款 改款 Sportback 35 TFSI 豪华运动型,奥迪A3 2023款 改款 A3L Limousine 35 TFSI 时尚致雅型,奥迪A3 2023款 改款 A3L Limousine 35 TFSI 进取致雅型,奥迪A3 2023款 改款 A3L Limousine 35 TFSI 进取运动型,奥迪A3 2023款 改款 A3L Limousine 35 TFSI 豪华运动型,奥迪A3 2023款 改款 A3L Limousine 35 TFSI 豪华致雅型
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内香氛装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,,,,,,,,,,,,,,,,,,,,,,,,,,
车内化妆镜,,,,,,,,,,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
语音识别控制系统,,,,,,,,,,,,,,,,,,,,,,,,,,
触摸式阅读灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
