Feature,38551,38552,38695,38696,42444
高度(mm),1500,1500,1500,1500,1500
驻车制动类型,手刹,手刹,手刹,手刹,手刹
驱动电机数,单电机,单电机,单电机,单电机,单电机
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
面部识别,-,-,-,-,-
陡坡缓降,-,-,-,-,-
长度(mm),3465,3465,3465,3465,3465
长*宽*高(mm),3465*1618*1500,3465*1618*1500,3465*1618*1500,3465*1618*1500,3465*1618*1500
道路救援呼叫,-,-,-,-,-
道路交通标识识别,-,-,-,-,-
运动风格座椅,-,-,-,-,-
运动外观套件,-,-,-,-,-
轴距(mm),2340,2340,2340,2340,2340
转向辅助灯,-,-,-,-,-
转向头灯,-,-,-,-,-
车顶行李架,-,-,-,-,-
车门数(个),5,5,5,5,5
车道偏离预警系统,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-
车载空气净化器,-,-,-,-,-
车载电视,-,-,-,-,-
车载冰箱,-,-,-,-,-
车身结构_y,两厢车,两厢车,两厢车,两厢车,两厢车
车身结构_x,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-
车联网,-,●,-,-,-
车窗防夹手功能,-,-,-,-,-
车型名称,比亚迪e1 2019款 悦版,比亚迪e1 2019款 耀版,比亚迪e1 2019款 进版,比亚迪e1 2019款 智版,比亚迪e1 2020款 智·舒适型
车内香氛装置,-,-,-,-,-
车内中控锁,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式
负离子发生器,-,-,-,-,-
触摸式阅读灯,●,●,●,●,●
被动行人保护,-,-,-,-,-
行李厢容积(L),-,-,-,-,-
行李厢12V电源接口,-,-,-,-,-
蓝牙/车载电话,●,●,-,●,●
自适应远近光,-,-,-,-,-
自动驻车,-,-,-,-,-
自动泊车入位,-,-,-,-,-
自动头灯,-,-,-,-,-
膝部气囊,-,-,-,-,-
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动
缺气保用轮胎,-,-,-,-,-
级别,微型车,微型车,微型车,微型车,微型车
系统综合扭矩(N·m),-,-,-,-,-
系统综合功率(kW),-,-,-,-,-
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排独立座椅,-,-,-,-,-
空气悬架,-,-,-,-,-
百公里耗电量(kWh/100km),-,-,-,-,-
疲劳驾驶提示,-,-,-,-,-
电磁感应悬架,-,-,-,-,-
电池预加热,-,-,-,-,-
电池能量(kWh),32.2,32.2,32.2,32.2,32.2
电池组质保,八年或15万公里,八年或15万公里,八年或15万公里,八年或15万公里,八年或15万公里
电池类型,-,-,-,-,-
电机类型,永磁 / 交流 / 同步,永磁 / 交流 / 同步,永磁 / 交流 / 同步,永磁 / 交流 / 同步,永磁 / 交流 / 同步
电机布局,前置,前置,前置,前置,前置
电动机总扭矩(N·m),110,110,110,110,110
电动机总功率(kW),45,45,45,45,45
电动机(Ps),61,61,61,61,61
电动扰流板,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-
电动后备厢,-,-,-,-,-
