Feature,53177,53219,53265,53266,53267,53268,56676,57576,57577,57610,58216,58217,59054,59067,59068,59069,60767,61020,62373
高度(mm),1415,1415,1415,1415,1415,1415,1420,1420,1420,1415,1415,1420,1415,1415,1415,1415,1415,1415,1415
驾驶辅助影像,,,,,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,-,-,-,-,-,-,单电机,-,-,-,单电机,单电机,-,单电机,单电机,-,-,-,-
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
面部识别,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4674,4674,4674,4674,4674,4674,4674,4548,4548,4548,4548,4548,4674,4674,4674,4674,4674,4548,4674
长*宽*高(mm),4674*1802*1415,4674*1802*1415,4674*1802*1415,4674*1802*1415,4674*1802*1415,4674*1802*1415,4674*1802*1420,4548*1802*1420,4548*1802*1420,4548*1802*1415,4548*1802*1415,4548*1802*1420,4674*1802*1415,4674*1802*1415,4674*1802*1415,4674*1802*1415,4674*1802*1415,4548*1802*1415,4674*1802*1415
钥匙类型,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
