Feature,1005430,1005431,1005432,1005433,1005436,1005437,1006211,1006212,1006516,1006517,1007082,1007083,1007084,1007085,1007086,1007087,1007088,1007089,1007090,1007091,1009235,1009236,1009237,1009238,1009239,1009240,1009241,1009242,1009243,1009244
高度(mm),1844,1844,1844,1844,1844,1844,1844,1844,1844,1844,1844,1844,1844,1844,1844,1844,1844,1844,1844,1844,1864,1864,1864,1864,1864,1864,1864,1864,1864,1864
驾驶辅助影像,,,-,-,,-,,-,,,,,-,-,,,-,-,-,-,,,,,,,,,-,-
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,,-,-,-,-,,,,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-
长度(mm),5219,5730,5219,5730,5219,5219,5730,5730,5219,5219,5730,5330,5730,5330,5730,5330,5330,5679,5219,5730,5330,5730,5330,5730,5330,5730,5330,5730,5219,5619
长*宽*高(mm),5219×1870×1844,5730×1870×1844,5219×1870×1844,5730×1870×1844,5219×1870×1844,5219×1870×1844,5730×1870×1844,5730×1870×1844,5219×1870×1844,5219×1870×1844,5730×1870×1844,5330×1870×1844,5730×1870×1844,5330×1870×1844,5730×1870×1844,5330×1870×1844,5330×1870×1844,5679×1870×1844,5219×1870×1844,5730×1870×1844,5330×1870×1864,5730×1870×1864,5330×1870×1864,5730×1870×1864,5330×1870×1864,5730×1870×1864,5330×1870×1864,5730×1870×1864,5219×1870×1864,5619×1870×1864
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3100,3500,3100,3500,3100,3100,3500,3500,3100,3100,3500,3100,3500,3100,3500,3100,3100,3500,3100,3500,3100,3500,3100,3500,3100,3500,3100,3500,3100,3500
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,御风P16 2017款 1.9T两驱旗舰型D19TCIE2,御风P16 2017款 1.9T两驱旗舰型加长型D19TCIE2,御风P16 2017款 1.9T两驱豪华型D19TCIE2,御风P16 2017款 1.9T两驱豪华型加长型D19TCIE2,御风P16 2017款 1.9T四驱旗舰型D19TCIE2,御风P16 2017款 1.9T四驱豪华型D19TCIE2,御风P16 2018款 1.9T四驱旗舰型加长型D19TCIE2,御风P16 2018款 1.9T四驱豪华型加长型D19TCIE2,御风P16 2018款 1.9T自动四驱旗舰型D19TCIE2,御风P16 2018款 1.9T自动两驱旗舰型D19TCIE2,御风P16 2019款 2.4L汽油四驱旗舰型长轴4G69S4N,御风P16 2019款 2.4L汽油四驱旗舰型4G69S4N,御风P16 2019款 2.4L汽油四驱豪华型长轴4G69S4N,御风P16 2019款 2.4L汽油四驱豪华型4G69S4N,御风P16 2019款 2.4L汽油两驱旗舰型长轴4G69S4N,御风P16 2019款 2.4L汽油两驱旗舰型4G69S4N,御风P16 2019款 2.4L汽油两驱豪华型4G69S4N,御风P16 2019款 2.4L汽油两驱豪华型长轴4G69S4N,御风P16 2019款 2.4L汽油两驱标准型4G69S4N,御风P16 2019款 2.4L汽油两驱标准型长轴4G69S4N,御风P16 2020款 2.4T汽油四驱旗舰型国VI 4K22D4T,御风P16 2020款 2.4T汽油四驱旗舰型长轴国VI 4K22D4T,御风P16 2020款 2.4T汽油四驱豪华型国VI 4K22D4T,御风P16 2020款 2.4T汽油四驱豪华型长轴国VI 4K22D4T,御风P16 2020款 2.4T汽油两驱旗舰型国VI 4K22D4T,御风P16 2020款 2.4T汽油两驱旗舰型长轴国VI 4K22D4T,御风P16 2020款 2.4T汽油两驱豪华型国VI 4K22D4T,御风P16 2020款 2.4T汽油两驱豪华型长轴国VI 4K22D4T,御风P16 2020款 2.4T汽油两驱舒适型国VI 4K22D4T,御风P16 2020款 2.4T汽油两驱舒适型长轴国VI 4K22D4T
车前雾灯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),1575x1610x530,1975x1610x530,1575x1610x530,1975x1610x530,1575x1610x530,1575x1610x530,1975x1610x530,1975x1610x530,1575x1610x530,1575x1610x530,1975x1610x530,1575x1610x530,1975x1610x530,1575x1610x530,1975x1610x530,1575x1610x530,1575x1610x530,1975x1610x530,1575x1610x530,1975x1610x530,1575x1610x530,1975x1610x530,1575x1610x530,1975x1610x530,1575x1610x530,1975x1610x530,1575x1610x530,1975x1610x530,1575x1610x530,1975x1610x530
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行程(mm),-,-,-,-,-,-,-,-,-,-,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,●,●,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
级别,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
简称,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡自动,6挡自动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动吸合车门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
燃油标号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,73,73,73,73,73,-,73,-,73,73
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),140,140,140,140,140,140,140,140,140,140,-,-,-,-,-,-,-,-,-,-,140,140,140,140,140,140,140,140,140,140
最小离地间隙(mm),220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220
最大马力(Ps),150,150,150,150,150,150,150,150,150,150,136,136,136,136,136,136,136,136,136,136,218,218,218,218,218,218,218,218,218,218
最大载重质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500,500,500,500,500,500,500,500,500,500
最大满载质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩转速(rpm),1800-2800,1800-2800,1800-2800,1800-2800,1800-2800,1800-2800,1800-2800,1800-2800,1800-2800,1800-2800,2500-3000,2500-3000,2500-3000,2500-3000,2500-3000,2500-3000,2500-3000,2500-3000,2500-3000,2500-3000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000
最大扭矩(N·m)_y,350,350,350,350,350,350,350,350,350,350,200,200,200,200,200,200,200,200,200,200,320,320,320,320,320,320,320,320,320,320
最大扭矩(N·m)_x,350,350,350,350,350,350,350,350,350,350,200,200,200,200,200,200,200,200,200,200,320,320,320,320,320,320,320,320,320,320
最大功率转速(rpm),4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200
最大功率(kW)_y,110,110,110,110,110,110,110,110,110,110,100,100,100,100,100,100,100,100,100,100,160,160,160,160,160,160,160,160,160,160
最大功率(kW)_x,110,110,110,110,110,110,110,110,110,110,100,100,100,100,100,100,100,100,100,100,160,160,160,160,160,160,160,160,160,160
无钥匙进入功能,,,-,-,,-,,-,,,,,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙启动系统,●,●,-,-,●,-,●,-,●,●,●,●,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,-,-,-,-,-,-,-,-,-,-,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
整备质量(kg)_y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整备质量(kg)_x,1890,1890,1890,1890,2000,2000,2000,2000,2000,1890,-,-,-,-,-,-,-,-,-,-,1930,2005,1930,2005,1881,1885,1881,1885,1881,1885
排量(mL),1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2379,2379,2379,2379,2379,2379,2379,2379,2379,2379
挡位个数,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6
扬声器数量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.6,10.1,9.6,10.1,9.6,9.6,9.6,9.6,9.6,9.6
巡航系统,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
宽度(mm),1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870
安全带未系提醒,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
天窗类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多媒体/充电接口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,-,-
外后视镜功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580
