,26791,28202,28470,28471,28472,28473,30487
方向盘换挡,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-
行车电脑显示屏,●,●,●,●,●,●,-
全液晶仪表盘,●,●,●,●,●,●,-
HUD抬头数字显示,-,-,-,-,-,-,-
内置行车记录仪,-,-,-,-,-,-,-
主动降噪,-,-,-,-,-,-,-
手机无线充电,-,-,-,-,-,-,-
座椅材质,仿皮,仿皮,织物,仿皮,织物,仿皮,织物
运动风格座椅,-,-,-,-,-,-,-
座椅高低调节,●,●,●,●,●,●,●
腰部支撑调节,-,-,-,-,-,-,-
肩部支撑调节,-,-,-,-,-,-,-
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,-,-,-,主●&nbsp;/&nbsp;副-,-
第二排靠背角度调节,●,●,●,●,●,●,●
第二排座椅移动,●,●,●,●,●,●,●
后排座椅电动调节,-,-,-,-,-,-,-
副驾驶位后排可调节按钮,-,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-,-
前/后排座椅加热,-,前●&nbsp;/&nbsp;后-,-,-,-,-,-
前/后排座椅通风,-,前●&nbsp;/&nbsp;后-,-,-,-,-,-
前/后排座椅按摩,-,-,-,-,-,-,-
第二排独立座椅,●,●,●,●,●,●,●
第三排座椅,3座(选装2座),3座(选装2座),3座(选装2座),3座(选装2座),3座(选装2座),3座(选装2座),3座(选装2座)
后排座椅放倒方式,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
后排杯架,-,-,-,-,-,-,-
可加热/制冷杯架,-,-,-,-,-,-,-
GPS导航系统,-,-,-,-,-,-,-
定位互动服务,-,-,-,-,-,-,-
中控台彩色大屏,●,●,○,●,●,●,-
中控台彩色大屏尺寸,9英寸,9英寸,(选装9英寸),9英寸,9英寸,9英寸,-
中控液晶屏分屏显示,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,○,●,●,●,-
手机互联/映射,●,●,○,●,●,●,-
车联网,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-
220V/230V电源,-,-,-,-,-,-,-
外接音源接口,USB+HDMI,USB+HDMI,USB(选装HDMI),USB+HDMI,USB+HDMI,USB+HDMI,USB
CD/DVD,-,-,-,-,-,-,-
扬声器品牌,-,-,-,-,-,-,-
扬声器数量,6-7喇叭,6-7喇叭,4-5喇叭,6-7喇叭,4-5喇叭,6-7喇叭,2-3喇叭
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素
LED日间行车灯,●,●,-,●,●,●,-
自适应远近光,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-
转向辅助灯,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-
前雾灯,●,●,-,●,-,●,-
大灯高度可调,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗一键升降,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-
防紫外线/隔热玻璃,-,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●,-
后视镜加热,-,-,-,-,-,-,-
内/外后视镜自动防眩目,-,-,-,-,-,-,-
流媒体车内后视镜,-,-,-,-,-,-,-
后视镜电动折叠,-,-,-,-,-,-,-
后视镜记忆,-,-,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-
遮阳板化妆镜,●,●,●,●,●,●,-
后雨刷,-,-,-,-,-,-,-
感应雨刷,-,-,-,-,-,-,-
空调控制方式,手动●,手动●,手动●,手动●,手动●,手动●,手动●
后排独立空调,●,●,●,●,●,●,-
后座出风口,●,●,●,●,●,●,-
温度分区控制,-,-,-,-,-,-,-
车内空气调节/花粉过滤,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-
车型名称,北汽威旺M50F 2017款 1.5L 豪华型,北汽威旺M50F 2017款 1.3T 豪华型,北汽威旺M50F 2017款 1.5L 标准型,北汽威旺M50F 2017款 1.5L 舒适型,北汽威旺M50F 2017款 1.3T 标准型,北汽威旺M50F 2017款 1.3T 舒适型,北汽威旺M50F 2017款 1.5L 超值版
厂商指导价(元),7.48万,8.68万,6.38万,6.78万,7.58万,7.98万,5.58万
厂商,北京汽车,北京汽车,北京汽车,北京汽车,北京汽车,北京汽车,北京汽车
级别,MPV,MPV,MPV,MPV,MPV,MPV,MPV
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,2016.11,2016.11,2016.11,2016.11,2016.11,2016.11,-
最大功率(kW)_x,85,95,85,85,95,95,85
最大扭矩(N·m)_x,148,185,148,148,185,185,148
发动机,1.5L 116马力 L4,1.3T 129马力 L4,1.5L 116马力 L4,1.5L 116马力 L4,1.3T 129马力 L4,1.3T 129马力 L4,1.5L 116马力 L4
变速箱,5挡手动,6挡手动,5挡手动,5挡手动,6挡手动,6挡手动,5挡手动
长*宽*高(mm),4724*1796*1748,4724*1796*1755,4724*1796*1718,4724*1796*1748,4724*1796*1725,4724*1796*1755,4724*1796*1718
车身结构_x,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV
最高车速(km/h),155,168,155,155,168,168,155
官方0-100km/h加速(s),16,14,16,16,14,14,16
实测0-100km/h加速(s),13.07,-,-,-,-,12.89,-
实测100-0km/h制动(m),46.13,-,-,-,-,44.27,-
工信部综合油耗(L/100km),6.9,6.9,6.9,6.9,6.9,6.9,6.9
实测油耗(L/100km),7.2,-,-,-,-,8.6,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
长度(mm),4724,4724,4724,4724,4724,4724,4724
宽度(mm),1796,1796,1796,1796,1796,1796,1796
高度(mm),1748,1755,1718,1748,1725,1755,1718
轴距(mm),2760,2760,2760,2760,2760,2760,2760
前轮距(mm),1544,1544,1544,1544,1544,1544,1544
后轮距(mm),1539,1539,1539,1539,1539,1539,1539
最小离地间隙(mm),143,148,143,143,148,148,143
车身结构_y,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车门数(个),5,5,5,5,5,5,5
座位数(个),7,7,7,7,7,7,7
油箱容积(L),52,52,52,52,52,52,52
行李厢容积(L),-,-,-,-,-,-,-
整备质量(kg),1445,1465,1445,1445,1465,1465,1445
发动机型号,A151,4G13T,A151,A151,4G13T,4G13T,A151
排量(mL),-,-,-,-,-,-,-
进气形式,自然吸气,涡轮增压,自然吸气,自然吸气,涡轮增压,涡轮增压,自然吸气
气缸排列形式,L,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4,4
每缸气门数(个),4,4,4,4,4,4,4
压缩比,10.5,9.5,10.5,10.5,9.5,9.5,10.5
配气机构,DOHC,未知,DOHC,DOHC,未知,未知,DOHC
缸径(mm),-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-
最大马力(Ps),116,129,116,116,129,129,116
最大功率(kW)_y,85,95,85,85,95,95,85
最大功率转速(rpm),6000,5500,6000,6000,5500,5500,6000
最大扭矩(N·m)_y,148,185,148,148,185,185,148
最大扭矩转速(rpm),3800,1750-4500,3800,3800,1750-4500,1750-4500,3800
发动机特有技术,-,-,-,-,-,-,-
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,92号,92号,92号,92号,92号,92号,92号
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,未知,铝合金,铝合金,未知,未知,铝合金
环保标准,国V,国V,国V,国V,国V,国V,国V
挡位个数,5,6,5,5,6,6,5
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
简称,5挡手动,6挡手动,5挡手动,5挡手动,6挡手动,6挡手动,5挡手动
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
后悬架类型,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹,手刹
前轮胎规格,195/55 R16,205/55 R16,195/55 R16,195/55 R16,205/55 R16,205/55 R16,195/55 R16
后轮胎规格,195/55 R16,205/55 R16,195/55 R16,195/55 R16,205/55 R16,205/55 R16,195/55 R16
备胎规格,未知,未知,未知,未知,未知,未知,未知
