,1001076,1001077,1001078,1001079,1001080,1001081,1001082,1001083,1001084,1001630,1001631,1001632,1003548,1003549,1003550,1003551,1003552,1003553
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中控台彩色大屏,-,-,-,-,-,-,-,-,-,-,-,-,○,○,○,○,○,○
蓝牙/车载电话,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
220V/230V电源,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外接音源接口,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,-,-,-,-,-,-
CD/DVD,(选装单碟CD),(选装单碟CD),(选装单碟CD),(选装单碟CD),(选装单碟CD),(选装单碟CD),(选装单碟CD),(选装单碟CD),(选装单碟CD),(选装单碟CD),(选装单碟CD),(选装单碟CD),-,-,-,-,-,-
扬声器品牌,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
扬声器数量,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,-,-,-,-,-,-
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,-,-,-,-,-,-
LED日间行车灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前雾灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯高度可调,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线/隔热玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后视镜加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
内/外后视镜自动防眩目,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动折叠,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
遮阳板化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调控制方式,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后座出风口,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内空气调节/花粉过滤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,五十铃皮卡 2009款 2.8T两驱 基本型厢车4JB1-TCT,五十铃皮卡 2009款 3.0T两驱 基本型厢车4KH1-TC1,五十铃皮卡 2009款 2.5L两驱 基本型厢车4ZE3-MPI,五十铃皮卡 2009款 2.8T四驱 基本型皮卡4JB1-TCT,五十铃皮卡 2009款 3.0T四驱 基本型皮卡4KH1-TC1,五十铃皮卡 2009款 2.5L四驱 基本型皮卡4ZE3-MPI,五十铃皮卡 2009款 2.8T四驱 基本型厢车4JB1-TCT,五十铃皮卡 2009款 3.0T四驱 基本型厢车4KH1-TC1,五十铃皮卡 2009款 2.5L四驱 基本型厢车4ZE3-MPI,五十铃皮卡 2009款 2.8T两驱 基本型皮卡4JB1-TCT,五十铃皮卡 2009款 2.5L两驱 基本型皮卡4ZE3-MPI,五十铃皮卡 2009款 3.0T两驱 基本型皮卡4KH1-TC1,五十铃皮卡 2015款 2.5L两驱4ZE3-MPI,五十铃皮卡 2015款 2.8T两驱4JB1CT,五十铃皮卡 2015款 3.0T两驱4KH1CT,五十铃皮卡 2015款 2.5L四驱4ZE3-MPI,五十铃皮卡 2015款 2.8T四驱4JB1CT,五十铃皮卡 2015款 3.0T四驱4KH1CT
厂商指导价(元),12.08万,12.58万,12.08万,12.08万,12.58万,12.08万,13.58万,14.08万,13.58万,10.58万,10.58万,11.08万,9.28万,9.38万,9.98万,11.18万,11.28万,11.88万
厂商,庆铃汽车,庆铃汽车,庆铃汽车,庆铃汽车,庆铃汽车,庆铃汽车,庆铃汽车,庆铃汽车,庆铃汽车,庆铃汽车,庆铃汽车,庆铃汽车,庆铃汽车,庆铃汽车,庆铃汽车,庆铃汽车,庆铃汽车,庆铃汽车
级别,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
能源类型,柴油,柴油,汽油,柴油,柴油,汽油,柴油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,柴油,汽油,柴油,柴油
上市时间,2012.06,2012.06,2012.06,2012.06,2012.06,2012.06,2012.06,2012.06,2012.06,2013.04,2013.04,2013.04,2015.10,2015.10,2015.10,2015.10,2015.10,2015.10
最大功率(kW)_x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩(N·m)_x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,2.8T 95马力 L4,3.0T 121马力 L4,2.5L 121马力 L4,2.8T 95马力 L4,3.0T 121马力 L4,2.5L 121马力 L4,2.8T 95马力 L4,3.0T 121马力 L4,2.5L 121马力 L4,2.8T 95马力 L4,2.5L 121马力 L4,3.0T 121马力 L4,2.5L 121马力 L4,2.8T 98马力 L4,3.0T 120马力 L4,2.5L 121马力 L4,2.8T 98马力 L4,3.0T 120马力 L4
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
长*宽*高(mm),4975×1690×1840,4975×1690×1840,4975×1690×1840,4975×1690×1680,4975×1690×1680,4975×1690×1680,4975×1690×1840,4975×1690×1840,4975×1690×1840,4975×1690×1640,4975×1690×1640,4975×1690×1640,5029×1690×1680,5029×1690×1680,5029×1690×1680,5029×1690×1680,5029×1690×1680,5029×1690×1680
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
最高车速(km/h),130,135,130,130,135,130,130,135,130,130,130,135,-,-,-,-,-,-
工信部综合油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4975,4975,4975,4975,4975,4975,4975,4975,4975,4975,4975,4975,5029,5029,5029,5029,5029,5029
宽度(mm),1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690
高度(mm),1840,1840,1840,1680,1680,1680,1840,1840,1840,1640,1640,1640,1680,1680,1680,1680,1680,1680
轴距(mm),3025,3025,3025,3025,3025,3025,3025,3025,3025,3025,3025,3025,3025,3025,3025,3025,3025,3025
前轮距(mm),1425,1425,1425,1460,1460,1460,1425,1425,1425,1460,1460,1460,-,-,-,-,-,-
后轮距(mm),1435,1435,1435,1435,1435,1435,1435,1435,1435,1435,1435,1435,-,-,-,-,-,-
最小离地间隙(mm),190,190,190,190,190,190,190,190,190,190,190,190,-,-,-,-,-,-
整备质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车门数(个),5,5,5,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
后排车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
油箱容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
货箱尺寸(mm),-,-,-,1486×1470×447,1486×1470×447,1486×1470×447,-,-,-,1486×1470×447,1486×1470×447,1486×1470×447,1488×1470×447,1488×1470×447,1488×1470×447,1488×1470×447,1488×1470×447,1488×1470×447
最大载重质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
挡位个数,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
驱动方式,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱
前悬架类型,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂
后悬架类型,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧
助力类型,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式
前轮胎规格,215/75 R15,215/75 R15,215/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,215/75 R15,215/75 R15,215/75 R15,215/75 R15,215/75 R15,215/75 R15,235/75 R15,235/75 R15,235/75 R15
后轮胎规格,215/75 R15,215/75 R15,215/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,215/75 R15,215/75 R15,215/75 R15,215/75 R15,215/75 R15,215/75 R15,235/75 R15,235/75 R15,235/75 R15
发动机型号,4JB1-TCT,4KH1-TC1,4ZE3-MPI,4JB1-TCT,4KH1-TC1,4ZE3-MPI,4JB1-TCT,4KH1-TC1,4ZE3-MPI,4JB1-TCT,4ZE3-MPI,4KH1-TC1,4ZE3-MPI,4JB1CT,4KH1CT,4ZE3-MPI,4JB1CT,4KH1CT
排量(mL),2771,2999,2559,2771,2999,2559,2771,2999,2559,2771,2559,2999,2559,2771,2999,2559,2771,2999
进气形式,涡轮增压,涡轮增压,自然吸气,涡轮增压,涡轮增压,自然吸气,涡轮增压,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,涡轮增压,自然吸气,涡轮增压,涡轮增压
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
每缸气门数(个),未知,未知,4,未知,未知,4,未知,未知,4,未知,4,未知,4,4,4,4,4,4
压缩比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
配气机构,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,DOHC,DOHC,未知,DOHC,DOHC
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),95,121,121,95,121,121,95,121,121,95,121,121,121,98,120,121,98,120
最大功率(kW)_y,70,89,89,70,89,89,70,89,89,70,89,89,89,72,88,89,72,88
最大功率转速(rpm),3600,3400,4600,3600,3400,4600,3600,3400,4600,3600,4600,3400,4600,3600,3400,4600,3600,3400
最大扭矩(N·m)_y,206,260,203,206,260,203,206,260,203,206,203,260,203,220,280,203,220,280
最大扭矩转速(rpm),1700,1700,2600,1700,1700,2600,1700,1700,2600,1700,2600,1700,2600,1800,1800,2600,1800,1800
燃料形式,柴油,柴油,汽油,柴油,柴油,汽油,柴油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,柴油,汽油,柴油,柴油
燃油标号,0号,0号,92号,0号,0号,92号,0号,0号,92号,0号,92号,0号,92号,0号,0号,92号,0号,0号
供油方式,直喷,直喷,多点电喷,直喷,直喷,多点电喷,直喷,直喷,多点电喷,直喷,多点电喷,直喷,多点电喷,直喷,直喷,多点电喷,直喷,直喷
缸盖材料,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝
缸体材料,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,未知,未知,铁,未知,未知
环保标准,国III,国III,国IV,国III,国III,国IV,国III,国III,国IV,国III,国IV,国III,国IV,国IV,国IV,国IV,国IV,国IV
电机类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动机总功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动机总扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前电动机最大功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后电动机最大功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动电机数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电机布局,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部续航里程(km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池容量(kWh),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
百公里耗电量(kWh/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池组质保,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池充电时间,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
快充电量(%),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
