Feature,1011413,1011414,1012925,1012926,1012927,1012928,1012929,1012930,1013475,1013476,1013477,1013478,1014878,1014879,1014880,1014881,1014882,1014883,1014884,1014885,1015723,1015724,1015929,1015930,1015931,1015932
高度(mm),1910,1910,1965,1965,1965,1965,1910,1910,1965,1965,1910,1910,1910,1910,1910,1910,1965,1965,1965,1965,1910,1910,1910,1910,1965,1965
驾驶辅助影像,,,,,,,,,,,,,,,,,,,,,,,,,,
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置后驱,前置后驱,前置四驱,前置后驱,前置四驱,前置后驱,前置四驱,前置后驱,前置四驱,前置后驱,前置四驱,前置后驱,前置四驱,前置后驱,前置四驱,前置后驱,前置四驱
陡坡缓降,-,-,●,●,●,●,-,-,●,●,-,-,●,●,●,●,●,●,●,●,●,●,-,-,●,●
限滑差速器/差速锁,,-,,,,,,-,-,-,-,-,,,,,,,,,,,-,,-,
长度(mm),5692,5692,5393,5393,5393,5393,5692,5692,5393,5393,5692,5692,5792,5792,5792,5792,5440,5440,5440,5440,5792,5792,5692,5692,5393,5393
长*宽*高(mm),5692×2045×1910,5692×2045×1910,5393×2045×1965,5393×2045×1965,5393×2045×1965,5393×2045×1965,5692×2045×1910,5692×2045×1910,5393×2045×1965,5393×2045×1965,5692×2045×1910,5692×2045×1910,5792*2045*1910,5792*2045*1910,5792*2045*1910,5792*2045*1910,5440*2045*1965,5440*2045*1965,5440*2045*1965,5440*2045*1965,5792*2045*1910,5792*2045*1910,5692×2045×1910,5692×2045×1910,5393×2045×1965,5393×2045×1965
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3513,3513,3230,3230,3230,3230,3513,3513,3230,3230,3513,3513,3513,3513,3513,3513,3230,3230,3230,3230,3513,3513,3513,3513,3230,3230
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,
转向辅助灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
