Feature,32212,32213,32214,32215,32216,32217,32218,32219,32220,32221,32222,36042,36043,36044,36045,36046
高度(mm),1461,1461,1461,1475,1475,1466,1466,1466,1471,1471,1471,1466,1466,1471,1471,1471
驻车制动类型,手刹,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,手刹,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4370,4370,4387,4387,4387,4718,4718,4718,4718,4718,4718,4718,4718,4718,4718,4718
长*宽*高(mm),4370*1809*1461,4370*1809*1461,4387*1809*1461,4387*1809*1475,4387*1809*1475,4718*1802*1466,4718*1802*1466,4718*1802*1466,4718*1802*1471,4718*1802*1471,4718*1802*1471,4718*1802*1466,4718*1802*1466,4718*1802*1471,4718*1802*1471,4718*1802*1471
铝合金轮圈,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,-,-,-,●,●,-,-,-,●,●,●,-,-,●,●,●
远程启动,-,-,-,●,●,-,-,-,-,-,●,-,-,-,-,●
远光灯,卤素,卤素,卤素,卤素,LED,卤素,卤素,卤素,卤素,卤素,LED,卤素,LED,LED,LED,LED
进气形式,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压
近光灯,卤素,卤素,卤素,卤素,LED,卤素,卤素,卤素,卤素,卤素,LED,卤素,LED,LED,LED,LED
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,●,●,●,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2662,2662,2662,2662,2662,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
转向辅助灯,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,两厢车,两厢车,两厢车,两厢车,两厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,-,-,●,●,-,-,-,●,●,●,-,-,●,●,●
