Feature,47476,47477,47478,48958,49336,50643,54405,54474,54475,57025,57157,57545,57698,57699,57700,57701,57702,57703,57704
高度(mm),1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780
驾驶辅助影像,,,,,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置四驱,前置前驱,前置前驱,前置四驱,前置前驱,前置前驱,前置前驱,前置四驱,前置四驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置四驱,前置四驱
面部识别,-,-,-,-,-,-,-,-,-,●,●,●,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
限滑差速器/差速锁,-,-,-,,-,-,,-,-,-,,,-,-,-,-,-,,
长度(mm),4620,4620,4620,4620,4620,4620,4620,4620,4620,4620,4620,4620,4620,4620,4620,4620,4620,4620,4620
长*宽*高(mm),4620*1890*1780,4620*1890*1780,4620*1890*1780,4620*1910*1780,4620*1890*1780,4620*1890*1780,4620*1910*1780,4620*1910*1780,4620*1910*1780,4620*1910*1780,4620*1910*1780,4620*1910*1780,4620*1890*1780,4620*1890*1780,4620*1890*1780,4620*1910*1780,4620*1890*1780,4620*1910*1780,4620*1910*1780
钥匙类型,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遥控泊车,-,-,-,-,-,-,-,-,-,●,●,○,-,-,-,-,-,-,-
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,●,-,-,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●
透明底盘/540度影像,●,●,-,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●
远程启动功能,,,,,,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
辅助驾驶等级,,-,-,,,,,,,,,,-,-,,,,,
轴距(mm),2738,2738,2738,2738,2738,2738,2738,2738,2738,2738,2738,2738,2738,2738,2738,2738,2738,2738,2738
轮圈材质,,,,,,,,,,,,,,,,,,,
转向辅助灯,●,●,-,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,-,-,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●
车道偏离预警系统,●,-,-,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●
车道保持辅助系统,●,-,-,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,,,,,
车型名称,哈弗大狗 2021款 1.5T DCT两驱边牧版,哈弗大狗 2021款 1.5T DCT两驱拉布拉多版,哈弗大狗 2021款 1.5T DCT两驱哈士奇版,哈弗大狗 2021款 2.0T DCT四驱中华田园犬版,哈弗大狗 2021款 1.5T DCT两驱边牧-旺财版,哈弗大狗 2021款 2.0T DCT两驱中华猎犬版,哈弗大狗 2021款 改款 2.0T DCT四驱哮天犬版,哈弗大狗 2021款 改款 1.5T DCT两驱马犬-旺财版,哈弗大狗 2021款 改款 1.5T DCT两驱马犬版,哈弗大狗 2022款 1.5T DCT两驱马犬追猎版,哈弗大狗 2022款 2.0T DCT四驱哮天犬追猎版,哈弗大狗 2022款 2.0T DCT四驱中华田园犬追猎版,哈弗大狗 2022款 1.5T DCT两驱哈士奇版,哈弗大狗 2022款 1.5T DCT两驱拉布拉多版,哈弗大狗 2022款 1.5T DCT两驱边牧版,哈弗大狗 2022款 1.5T DCT两驱马犬版,哈弗大狗 2022款 2.0T DCT两驱中华猎犬版,哈弗大狗 2022款 2.0T DCT四驱中华田园犬版,哈弗大狗 2022款 2.0T DCT四驱哮天犬版
车前雾灯,,,-,,,,,,,,,,-,,,,,,
车内香氛装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,,,,,,-,-,-,-,,-,-,
车内化妆镜,,,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车侧脚踏板,,,,,,,,,,,,,,,,,,,
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,-,-,-,-,-,-,●,●,●,●,●,●,-,-,-,●,-,-,●
语音识别控制系统,,,,,,,,,,,,,,,,,,,
触摸式阅读灯,●,-,-,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-
被动行人保护,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,
行李厢12V电源接口,●,-,-,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●
蠕行模式,-,-,-,●,-,-,●,-,-,-,●,●,-,-,-,-,-,●,●
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,●,-,-,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,-,-,-,-,-,-,●,●,●,●,●,○,-,-,-,●,-,-,●
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
膝部气囊,-,-,-,-,-,-,○,-,-,-,○,-,-,-,-,-,-,-,○
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
简称,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空载最小离地间隙(mm),200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
空调温度控制方式,,,,,,,,,,,,,,,,,,,
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
离去角(°),30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
疲劳驾驶提示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
电磁感应悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动扰流板,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,,-,-,,,,-,-,-,-,-,-,
电动吸合车门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,●,-,-,●,-,●,●,-,●,●,●,●,-,-,●,●,●,●,●
电动后备厢,●,-,-,●,-,●,●,-,●,●,●,●,-,-,●,●,●,●,●
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
灯光特色功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
温度分区控制,●,-,-,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●
液晶仪表尺寸,,,,,,,,,,,,,,,,,,,
油箱容积(L),61,61,61,60,61,61,60,61,61,61,60,60,61,61,61,61,61,60,60
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),175,175,175,195,175,195,195,175,175,185,195,195,185,185,185,185,195,195,195
最大马力(Ps),169,169,169,211,169,211,211,169,169,184,211,211,184,184,184,184,211,211,211
最大满载质量(kg),2000,2000,2000,2130,2000,2050,2130,2000,2000,2040,2130,2130,2040,2040,2040,2040,2050,2130,2130
最大扭矩转速(rpm),1400-3600,1400-3600,1400-3600,1500-4000,1400-3600,1500-4000,1500-4000,1400-3600,1400-3600,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000
最大扭矩(N·m)_y,285,285,285,325,285,325,325,285,285,275,325,325,275,275,275,275,325,325,325
最大扭矩(N·m)_x,285,285,285,325,285,325,325,285,285,275,325,325,275,275,275,275,325,325,325
最大功率转速(rpm),5000-5600,5000-5600,5000-5600,6000-6300,5000-5600,6000-6300,6000-6300,5000-5600,5000-5600,5500-6000,6000-6300,6000-6300,5500-6000,5500-6000,5500-6000,5500-6000,6000-6300,6000-6300,6000-6300
最大功率(kW)_y,124,124,124,155,124,155,155,124,124,135,155,155,135,135,135,135,155,155,155
最大功率(kW)_x,124,124,124,155,124,155,155,124,124,135,155,155,135,135,135,135,155,155,155
最大净功率(kW),120,120,120,150,120,150,150,120,120,130,150,150,130,130,130,130,150,150,150
无钥匙进入功能,,,,,,,,,,,,,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,
方向盘换挡,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘加热,○,-,-,○,○,○,○,○,○,○,○,○,-,-,○,○,○,○,○
方向盘位置调节,,,,,,,,,,,,,,,,,,,
