Feature,50048,50049,50050,50051,54428,56812,56813,56814,56815
高度(mm),1409,1409,1409,1412,-,1395,1379,1381,1378
驾驶辅助影像,,,,,,,,,
驾驶模式切换,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,双电机,双电机,双电机,双电机,双电机,单电机,双电机,双电机,双电机
驱动方式,双电机四驱,双电机四驱,双电机四驱,双电机四驱,双电机四驱,后置后驱,双电机四驱,双电机四驱,双电机四驱
风阻系数(Cd),0.26,0.26,0.26,0.26,0.22,0.22,0.22,0.22,0.22
面部识别,-,-,-,-,-,-,-,-,-
隐藏电动门把手,●,●,●,●,●,●,●,●,●
陡坡缓降,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,,,,,,,,,
长度(mm),4974,4974,4974,4974,4963,4963,4963,4963,4963
长*宽*高(mm),4974*1967*1409,4974*1967*1409,4974*1967*1409,4974*1967*1412,4963*1966*未知,4963*1966*1395,4963*1966*1379,4963*1966*1381,4963*1966*1378
钥匙类型,,,,,,,,,
遥控泊车,○,○,○,○,○,○,○,○,○
道路救援呼叫,●,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●,●,●,●
远程启动功能,,,,,,,,,
远光灯光源,,,,,,,,,
近光灯光源,,,,,,,,,
运动风格座椅,●,●,●,●,●,●,●,●,●
运动外观套件,○,○,○,○,○,○,○,○,○
辅助驾驶等级,,,,,,,,,
轴距(mm),2904,2904,2904,2904,2900,2900,2900,2900,2900
轮圈材质,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-
转向头灯,○,●,●,●,●,○,●,●,●
车顶行李架,○,○,○,○,-,-,-,-,-
车门数(个),5,5,5,5,4,4,4,4,4
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,○,○,○,○,○,○,○,○,○
车道偏离预警系统,●,●,●,●,●,●,●,●,●
