Feature,1014031,1014032,1014033,1014034,1014035,1014036,1014037,1014038,1014039,1014040,1014041,1014042,1015446,1015740
高度(mm),1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870
驾驶辅助影像,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4135,4135,4135,4135,4135,4135,4135,4135,4135,4135,4135,4135,4135,4135
长*宽*高(mm),4135×1625×1870,4135×1625×1870,4135×1625×1870,4135×1625×1870,4135×1625×1870,4135×1625×1870,4135×1625×1870,4135×1625×1870,4135×1625×1870,4135×1625×1870,4135×1625×1870,4135×1625×1870,4135×1625×1870,4135×1625×1870
钥匙类型,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
轮圈材质,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,客车,客车,货车,货车,客车,客车,货车,货车,客车,客车,货车,客车
车身结构_x,货车,货车,客车,客车,货车,货车,客车,客车,货车,货车,客车,客车,货车,客车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,五菱荣光S 2022款 1.2L标准型封窗车空调版2座LSI,五菱荣光S 2022款 1.2L标准型封窗车空调版5座LSI,五菱荣光S 2022款 1.2L标准型空调版5座LSI,五菱荣光S 2022款 1.2L标准型空调版7座LSI,五菱荣光S 2022款 1.2L标准型封窗车助力版2座LSI,五菱荣光S 2022款 1.2L标准型封窗车助力版5座LSI,五菱荣光S 2022款 1.2L标准型助力版5座LSI,五菱荣光S 2022款 1.2L标准型助力版7座LSI,五菱荣光S 2022款 1.2L基本型封窗车2座LSI,五菱荣光S 2022款 1.2L基本型封窗车5座LSI,五菱荣光S 2022款 1.2L基本型5座LSI,五菱荣光S 2022款 1.2L基本型7座LSI,2023款 1.5L 基本型封窗车 2座,2023款 1.5L 基本型 5/7座
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,-,-,-,-,○,○
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,-,-,,,-,-,,,-,-,,,-,-
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
级别,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
第二排座椅调节,-,-,,,-,-,,,-,-,,,-,
第二排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,-,-,-,-,-,-,-,-,-,-
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动吸合车门,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),45,45,45,45,45,45,45,45,45,45,45,45,45,45
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),100,100,100,100,100,100,100,100,100,100,100,100,120,120
