Feature,1011608,1011609,1011610,1011611,1011612,1011613,1011614,1011615,1011616,1011617,1011618,1011619,1011620,1011621,1011622,1011623,1011624,1011625,1011626,1014240,1014241
高度(mm),1920,1920,1920,1920,1920,1920,1920,2345,2345,2345,2345,2445,2445,2445,2445,2490,2490,2490,2490,1920,1920
驾驶辅助影像,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4845,4845,4845,4845,4845,4845,4845,4880,4880,4880,4880,4895,4895,4895,4895,4845,4845,4845,4845,4845,4845
长*宽*高(mm),4845×1610×1920,4845×1610×1920,4845×1610×1920,4845×1610×1920,4845×1610×1920,4845×1610×1920,4845×1610×1920,4880×1610×2345,4880×1610×2345,4880×1610×2345,4880×1610×2345,4895×1610×2445,4895×1610×2445,4895×1610×2445,4895×1610×2445,4845×1610×2490,4845×1610×2490,4845×1610×2490,4845×1610×2490,4845×1610×1920,4845×1610×1920
钥匙类型,,,,,,,,,,,,,,,,,,,,,
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050
轮圈材质,,,,,,,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,五菱电卡 2021款 载货车鹏辉43.2kWh柳机电控,五菱电卡 2021款 载货车宁德41.86kWh汇川2代电控,五菱电卡 2021款 载货车宁德41.86kWh通宇电控,五菱电卡 2021款 载货车力神41.6kWh汇川2代电控,五菱电卡 2021款 载货车力神41.6kWh通宇电控,五菱电卡 2021款 载货车鹏辉36.16kWh柳机电控,五菱电卡 2021款 载货车鹏辉36.16kWh通宇电控,五菱电卡 2021款 厢式运输车2.91米货箱宁德41.86kWh汇川2代电控,五菱电卡 2021款 厢式运输车2.91米货箱宁德41.86kWh通宇电控,五菱电卡 2021款 厢式运输车2.91米货箱力神41.6kWh汇川2代电控,五菱电卡 2021款 厢式运输车2.91米货箱力神41.6kWh通宇电控,五菱电卡 2021款 厢式运输车2.9米货箱宁德41.86kWh汇川2代电控,五菱电卡 2021款 厢式运输车2.9米货箱宁德41.86kWh通宇电控,五菱电卡 2021款 厢式运输车2.9米货箱力神41.6kWh汇川2代电控,五菱电卡 2021款 厢式运输车2.9米货箱力神41.6kWh通宇电控,五菱电卡 2021款 仓栅式运输车宁德41.86kWh汇川2代电控,五菱电卡 2021款 仓栅式运输车宁德41.86kWh通宇电控,五菱电卡 2021款 仓栅式运输车力神41.6kWh汇川2代电控,五菱电卡 2021款 仓栅式运输车力神41.6kWh通宇电控,五菱电卡 2022款 经济适用型安驰35.904kWh,五菱电卡 2022款 尊享型国轩40.55kWh
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
