,16324,16325
主/副驾驶座安全气囊,-,-
前/后排侧气囊,-,-
前/后排头部气囊(气帘),-,-
膝部气囊,-,-
胎压监测装置,-,-
零胎压继续行驶,-,-
安全带未系提示,-,-
ISOFIX儿童座椅接口,-,-
ABS防抱死,●,●
制动力分配(EBD/CBC等),●,●
刹车辅助(EBA/BAS/BA等),-,-
牵引力控制(ASR/TCS/TRC等),-,-
车身稳定控制(ESC/ESP/DSC等),-,-
并线辅助,-,-
车道偏离预警系统,-,-
主动刹车/主动安全系统,-,-
夜视系统,-,-
前/后驻车雷达,-,-
倒车视频影像,-,-
全景摄像头,-,-
定速巡航,-,-
自适应巡航,-,-
自动泊车入位,-,-
发动机启停技术,-,-
上坡辅助,-,-
自动驻车,-,-
陡坡缓降,-,-
可变悬架,-,-
空气悬架,-,-
可变转向比,-,-
前桥限滑差速器/差速锁,-,-
中央差速器锁止功能,-,-
后桥限滑差速器/差速锁,-,-
整体主动转向系统,-,-
电动天窗,-,-
全景天窗,-,-
运动外观套件,-,-
铝合金轮圈,-,-
电动吸合门,-,-
侧滑门,-,-
电动后备厢,-,-
感应后备厢,-,-
车顶行李架,-,-
发动机电子防盗,-,-
车内中控锁,-,-
遥控钥匙,-,-
无钥匙启动系统,-,-
无钥匙进入系统,-,-
皮质方向盘,-,-
方向盘调节,-,-
方向盘电动调节,-,-
多功能方向盘,-,-
方向盘换挡,-,-
方向盘加热,-,-
方向盘记忆,-,-
行车电脑显示屏,-,-
全液晶仪表盘,-,-
HUD抬头数字显示,-,-
座椅材质,真皮,真皮
运动风格座椅,-,-
座椅高低调节,-,-
腰部支撑调节,-,-
肩部支撑调节,-,-
主/副驾驶座电动调节,-,-
第二排靠背角度调节,-,-
第二排座椅移动,-,-
后排座椅电动调节,-,-
电动座椅记忆,-,-
前/后排座椅加热,-,-
前/后排座椅通风,-,-
前/后排座椅按摩,-,-
第三排座椅,-,-
后排座椅放倒方式,-,-
前/后中央扶手,-,-
后排杯架,-,-
GPS导航系统,-,-
道路救援呼叫,-,-
中控台彩色大屏,-,-
中控液晶屏分屏显示,-,-
蓝牙/车载电话,-,-
车载电视,-,-
后排液晶屏,-,-
220V/230V电源,-,-
外接音源接口,-,-
CD/DVD,-,-
扬声器品牌,-,-
扬声器数量,-,-
近光灯,卤素,卤素
远光灯,卤素,卤素
LED日间行车灯,-,-
自适应远近光,-,-
自动头灯,-,-
转向辅助灯,-,-
转向头灯,-,-
前雾灯,●,●
大灯高度可调,-,-
大灯清洗装置,-,-
车内氛围灯,-,-
前/后电动车窗,-,-
车窗防夹手功能,-,-
防紫外线/隔热玻璃,-,-
后视镜电动调节,-,-
后视镜加热,-,-
内/外后视镜自动防眩目,-,-
后视镜电动折叠,-,-
后视镜记忆,-,-
后风挡遮阳帘,-,-
后排侧遮阳帘,-,-
后排侧隐私玻璃,-,-
遮阳板化妆镜,-,-
后雨刷,-,-
感应雨刷,-,-
空调控制方式,-,-
后排独立空调,-,-
后座出风口,-,-
温度分区控制,-,-
车内空气调节/花粉过滤,-,-
车载冰箱,-,-
车型名称,摩根Plus 4 2013款 2.0L 4座,摩根Plus 4 2013款 2.0L Sport 2座
厂商指导价(元),130.00万,120.00万
厂商,摩根,摩根
级别,跑车,跑车
能源类型,汽油,汽油
上市时间,2013.06,2013.06
最大功率(kW)_x,106,106
最大扭矩(N·m)_x,187,187
发动机,2.0L 144马力 L4,2.0L 144马力 L4
变速箱,5挡手动,5挡手动
长*宽*高(mm),4010*1720*1320,4010*1720*1220
车身结构_x,2门4座软顶敞篷车,2门2座软顶敞篷车
最高车速(km/h),177,189
官方0-100km/h加速(s),8,7.5
实测0-100km/h加速(s),-,-
实测100-0km/h制动(m),-,-
工信部综合油耗(L/100km),-,-
实测油耗(L/100km),-,-
整车质保,三年不限公里,三年不限公里
长度(mm),4010,4010
宽度(mm),1720,1720
高度(mm),1320,1220
轴距(mm),-,-
前轮距(mm),-,-
后轮距(mm),-,-
最小离地间隙(mm),-,-
车身结构_y,软顶敞篷车,软顶敞篷车
车门数(个),2,2
座位数(个),4,2
油箱容积(L),55,55
行李厢容积(L),-,-
整备质量(kg),927,877
发动机型号,-,-
排量(mL),1999,1999
进气形式,自然吸气,自然吸气
气缸排列形式,L,L
气缸数(个),4,4
每缸气门数(个),4,4
压缩比,10.8,10.8
配气机构,DOHC,DOHC
缸径(mm),87.5,87.5
行程(mm),83.1,83.1
最大马力(Ps),144,144
最大功率(kW)_y,106,106
最大功率转速(rpm),6000,6000
最大扭矩(N·m)_y,187,187
最大扭矩转速(rpm),4500,4500
发动机特有技术,-,-
燃料形式,汽油,汽油
燃油标号,92号,92号
供油方式,多点电喷,多点电喷
缸盖材料,铝合金,铝合金
缸体材料,铝合金,铝合金
环保标准,欧V,欧V
挡位个数,5,5
变速箱类型,手动变速箱(MT),手动变速箱(MT)
简称,5挡手动,5挡手动
驱动方式,前置后驱,前置后驱
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架
后悬架类型,钢板弹簧结构,钢板弹簧结构
助力类型,电动助力,电动助力
车体结构,承载式,承载式
前制动器类型,通风盘式,通风盘式
后制动器类型,鼓式,鼓式
驻车制动类型,手刹,手刹
前轮胎规格,195/60 R15,195/60 R15
后轮胎规格,195/60 R15,195/60 R15
备胎规格,全尺寸,全尺寸
