,29959,32677,32678,32679,32680
后视镜电动调节,●,●,●,●,●
后视镜加热,●,-,●,●,●
内/外后视镜自动防眩目,内●&nbsp;/&nbsp;外●,-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-
流媒体车内后视镜,-,-,-,-,-
后视镜电动折叠,●,-,●,●,●
后视镜记忆,●,●,●,●,●
后风挡遮阳帘,●,-,-,-,-
后排侧遮阳帘,●,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-
遮阳板化妆镜,●,●,●,●,●
后雨刷,-,-,-,-,-
感应雨刷,●,-,-,-,●
空调控制方式,自动●,自动●,自动●,自动●,自动●
后排独立空调,-,-,-,-,-
后座出风口,●,●,●,●,●
温度分区控制,●,●,●,●,●
车内空气调节/花粉过滤,●,●,●,●,●
车载空气净化器,-,-,-,-,-
车载冰箱,-,-,-,-,-
车型名称,讴歌TLX-L 2018款 2.4L 钻享版,讴歌TLX-L 2018款 2.4L 畅享版,讴歌TLX-L 2018款 2.4L 悦享版,讴歌TLX-L 2018款 2.4L 尊享版,讴歌TLX-L 2018款 2.4L 智享版
厂商指导价(元),37.98万,27.98万,30.88万,32.98万,35.88万
厂商,广汽讴歌,广汽讴歌,广汽讴歌,广汽讴歌,广汽讴歌
级别,中型车,中型车,中型车,中型车,中型车
能源类型,汽油,汽油,汽油,汽油,汽油
上市时间,2017.12,2017.12,2017.12,2017.12,2017.12
工信部纯电续驶里程(km),-,-,-,-,-
最大功率(kW)_x,153,153,153,153,153
最大扭矩(N·m)_x,247,247,247,247,247
发动机,2.4L 208马力 L4,2.4L 208马力 L4,2.4L 208马力 L4,2.4L 208马力 L4,2.4L 208马力 L4
变速箱,8挡双离合,8挡双离合,8挡双离合,8挡双离合,8挡双离合
长*宽*高(mm),4981*1854*1447,4981*1854*1447,4981*1854*1447,4981*1854*1447,4981*1854*1447
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
最高车速(km/h),-,-,-,-,-
官方0-100km/h加速(s),-,-,-,-,-
实测0-100km/h加速(s),8.91,-,-,-,-
实测100-0km/h制动(m),42.43,-,-,-,-
工信部综合油耗(L/100km),7.8,7.5,7.5,7.8,7.8
实测油耗(L/100km),9.3,-,-,-,-
整车质保,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里
长度(mm),4981,4981,4981,4981,4981
宽度(mm),1854,1854,1854,1854,1854
高度(mm),1447,1447,1447,1447,1447
轴距(mm),2900,2900,2900,2900,2900
前轮距(mm),1594,1594,1594,1594,1594
后轮距(mm),1602,1602,1602,1602,1602
最小离地间隙(mm),105,105,105,105,105
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车
车门数(个),4,4,4,4,4
座位数(个),5,5,5,5,5
油箱容积(L),65,65,65,65,65
行李厢容积(L),405,374,374,374,405
整备质量(kg),1675,1625,1636,1661,1665
发动机型号,-,-,-,-,-
排量(mL),2356,2356,2356,2356,2356
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
气缸排列形式,L,L,L,L,L
气缸数(个),4,4,4,4,4
每缸气门数(个),4,4,4,4,4
压缩比,-,-,-,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-,-
行程(mm),-,-,-,-,-
最大马力(Ps),208,208,208,208,208
最大功率(kW)_y,153,153,153,153,153
最大功率转速(rpm),6800,6800,6800,6800,6800
最大扭矩(N·m)_y,247,247,247,247,247
最大扭矩转速(rpm),4500,4500,4500,4500,4500
发动机特有技术,i-VTEC,i-VTEC,i-VTEC,i-VTEC,i-VTEC
燃料形式,汽油,汽油,汽油,汽油,汽油
燃油标号,95号,95号,95号,95号,95号
供油方式,直喷,直喷,直喷,直喷,直喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金
环保标准,国V,国V,国V,国V,国V
挡位个数,8,8,8,8,8
变速箱类型,双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT)
简称,8挡双离合,8挡双离合,8挡双离合,8挡双离合,8挡双离合
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
后悬架类型,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,盘式,盘式,盘式,盘式,盘式
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
前轮胎规格,245/45 R18 ,225/55 R17 ,225/55 R17 ,245/45 R18 ,245/45 R18 
后轮胎规格,245/45 R18 ,225/55 R17,225/55 R17,245/45 R18 ,245/45 R18 
备胎规格,无,无,无,无,无
