Feature,48460,50383,51783,51784,54574,57111,59239,59910,61272,62089,62090,62091,62092
高度(mm),1432,1432,1432,1432,1440,1432,1432,1440,1432,1432,1432,1432,1432
驾驶辅助影像,,,-,,,,,,-,,,,
驾驶模式切换,,,,,,,,,-,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,-,-,-,-,单电机,-,-,单电机,-,-,-,-,-
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,-,-,-,-,-,-,-,-,-,-,-,-,-
风阻系数(Cd),0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-,0.26,0.26,0.26,0.26
面部识别,●,-,-,-,○,●,●,-,-,-,-,●,●
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4700,4700,4700,4700,4700,4700,4700,4700,4753,4700,4700,4700,4700
长*宽*高(mm),4700*1850*1432,4700*1850*1432,4700*1850*1432,4700*1850*1432,4700*1850*1440,4700*1850*1432,4700*1850*1432,4700*1850*1440,4753*1850*1432,4700*1850*1432,4700*1850*1432,4700*1850*1432,4700*1850*1432
钥匙类型,,,,,,,,,-,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,○,-,○,●,●,●,-,-,-,-,●,●
道路交通标识识别,●,●,-,●,●,●,●,-,-,-,●,●,●
远程启动功能,,,,,,,,,-,,,,
远光灯光源,,,,,,,,,-,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,涡轮增压,涡轮增压,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,-,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,○,○,-,-,●,●,●,○,-,-,○,○,●
辅助驾驶等级,,,-,,,,,-,-,-,,,
轴距(mm),2736,2736,2736,2736,2736,2736,2736,2736,2736,2736,2736,2736,2736
轮圈材质,,,,,,,,,-,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,-,●,●,●,●,-,-,-,●,●,●
车道偏离预警系统,●,●,-,●,●,●,●,-,-,-,●,●,●
车道保持辅助系统,●,●,-,●,●,●,●,-,-,-,●,●,●
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-
车载智能系统,,,-,,,,,-,-,-,-,,
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,-,●,●,●,●
车联网,●,○,-,○,●,●,●,-,-,-,-,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,-,●,●,●,●
车窗一键升降功能,,,,,,,,,-,,,,
车型名称,2021款 270T DCT J16版,2021款 270T DCT J15版,2021款 270T DCT J10飞人版,2021款 270T DCT J11版,2023款 J20·智能混动版,2022款 270T DCT J16 R-style赛道版,2022款 270T DCT J16银河战机版,2023款 J20·高能混动版,2023款 400T 自动R MAX,2023款 270T DCT J11版,2023款 270T DCT J15版,2023款 270T DCT J16版,2023款 270T DCT J16银河战机版
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-
车内香氛装置,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,,,-,-,,,,-,-,-,,,
车内化妆镜,,,,,,,,,-,,,,
车内中控锁,●,●,●,●,●,●,●,●,-,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,-,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,●,●,-,-,-,●,●,-,-,-,●,●,●
语音识别控制系统,,,-,,,,,-,-,-,-,,
触摸式阅读灯,-,-,-,-,-,-,-,-,-,-,-,-,-
被动行人保护,-,-,-,-,-,-,-,-,-,-,-,-,-
