,28902,28903,28904,28905,28906,28907
前/后排座椅加热,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排座椅通风,-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排座椅按摩,-,-,-,-,-,-
第二排独立座椅,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-
后排座椅放倒方式,-,-,-,-,-,-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
后排杯架,●,●,●,●,●,●
可加热/制冷杯架,-,-,-,-,-,-
GPS导航系统,-,●,●,●,●,●
定位互动服务,-,-,●,●,●,●
中控台彩色大屏,●,●,●,●,●,●
中控台彩色大屏尺寸,7英寸,8英寸,8英寸,8英寸,8英寸,8英寸
中控液晶屏分屏显示,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●
手机互联/映射,-,-,-,-,-,-
车联网,-,-,-,-,-,-
车载电视,-,-,-,-,-,-
后排液晶屏,-,-,●,●,-,●
220V/230V电源,-,-,-,-,-,-
外接音源接口,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX
CD/DVD,单碟DVD,单碟DVD,单碟DVD,单碟DVD,单碟DVD,单碟DVD
扬声器品牌,-,BOSE,BOSE,BOSE,BOSE,BOSE
扬声器数量,6-7喇叭,10-11喇叭,≥12喇叭,≥12喇叭,≥12喇叭,≥12喇叭
近光灯,LED,LED,LED,LED,LED,LED
远光灯,LED,LED,LED,LED,LED,LED
LED日间行车灯,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-
自动头灯,●,●,●,●,●,●
转向辅助灯,-,-,-,-,-,-
转向头灯,-,-,●,●,●,●
前雾灯,●,●,●,●,●,●
大灯高度可调,●,●,●,●,●,●
大灯清洗装置,-,-,●,●,●,●
车内氛围灯,-,-,-,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗一键升降,全车,全车,全车,全车,全车,全车
车窗防夹手功能,●,●,●,●,●,●
防紫外线/隔热玻璃,●,●,●,●,●,●
后视镜电动调节,●,●,●,●,●,●
后视镜加热,●,●,●,●,●,●
内/外后视镜自动防眩目,-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-
流媒体车内后视镜,-,-,-,-,-,-
后视镜电动折叠,●,●,●,●,●,●
后视镜记忆,-,-,●,●,●,●
后风挡遮阳帘,-,-,●,●,●,●
后排侧遮阳帘,●,●,●,●,●,●
后排侧隐私玻璃,-,-,-,-,-,-
遮阳板化妆镜,●,●,●,●,●,●
后雨刷,-,-,-,-,-,-
感应雨刷,●,●,●,●,●,●
空调控制方式,自动●,自动●,自动●,自动●,自动●,自动●
后排独立空调,-,-,-,-,-,-
后座出风口,●,●,●,●,●,●
温度分区控制,●,●,●,●,●,●
车内空气调节/花粉过滤,-,-,●,●,●,●
车载空气净化器,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-
车型名称,英菲尼迪Q70 2017款 Q70L 2.5L 精英版,英菲尼迪Q70 2017款 Q70L 2.5L 悦享版,英菲尼迪Q70 2017款 Q70L 2.5L 豪华版,英菲尼迪Q70 2017款 Q70L 2.5L 奢华版,英菲尼迪Q70 2017款 Q70L 3.5L Hybrid 豪华版,英菲尼迪Q70 2017款 Q70L 3.5L Hybrid 奢华版
厂商指导价(元),39.98万,42.98万,47.98万,54.98万,59.98万,64.98万
厂商,英菲尼迪(进口),英菲尼迪(进口),英菲尼迪(进口),英菲尼迪(进口),英菲尼迪(进口),英菲尼迪(进口)
级别,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车
能源类型,汽油,汽油,汽油,汽油,油电混合,油电混合
上市时间,2017.01,2017.01,2017.01,2017.01,2017.01,2017.01
最大功率(kW)_x,163,163,163,163,-,-
最大扭矩(N·m)_x,253,253,253,253,-,-
发动机,2.5L 222马力 V6,2.5L 222马力 V6,2.5L 222马力 V6,2.5L 222马力 V6,3.5L 298马力 V6,3.5L 298马力 V6
变速箱,7挡手自一体,7挡手自一体,7挡手自一体,7挡手自一体,7挡手自一体,7挡手自一体
长*宽*高(mm),5130*1845*1510,5130*1845*1510,5130*1845*1510,5130*1845*1510,5130*1845*1510,5130*1845*1510
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
最高车速(km/h),-,-,-,-,-,-
官方0-100km/h加速(s),-,-,-,-,-,-
实测0-100km/h加速(s),-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-
工信部综合油耗(L/100km),8.9,8.9,8.9,8.9,7.3,7.3
实测油耗(L/100km),-,-,-,-,-,-
整车质保,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里
长度(mm),5130,5130,5130,5130,5130,5130
宽度(mm),1845,1845,1845,1845,1845,1845
高度(mm),1510,1510,1510,1510,1510,1510
轴距(mm),3050,3050,3050,3050,3050,3050
前轮距(mm),1575,1575,1575,1575,1575,1575
后轮距(mm),1570,1570,1570,1570,1570,1570
最小离地间隙(mm),-,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车门数(个),4,4,4,4,4,4
座位数(个),5,5,5,5,5,5
油箱容积(L),80,80,80,80,70,70
行李厢容积(L),500,500,500,500,350,350
整备质量(kg),1771,1795,1800,1830,1930,1955
发动机型号,VQ25HR,VQ25HR,VQ25HR,VQ25HR,VQ35HR,VQ35HR
排量(mL),2496,2496,2496,2496,3498,3498
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
气缸排列形式,V,V,V,V,V,V
气缸数(个),6,6,6,6,6,6
每缸气门数(个),4,4,4,4,4,4
压缩比,-,-,-,-,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-,-,-
行程(mm),-,-,-,-,-,-
最大马力(Ps),222,222,222,222,298,298
最大功率(kW)_y,163,163,163,163,219,219
最大功率转速(rpm),6400,6400,6400,6400,6800,6800
最大扭矩(N·m)_y,253,253,253,253,338,338
最大扭矩转速(rpm),4800,4800,4800,4800,5000,5000
发动机特有技术,CVTCS,CVTCS,CVTCS,CVTCS,CVTCS,CVTCS
燃料形式,汽油,汽油,汽油,汽油,油电混合,油电混合
燃油标号,95号,95号,95号,95号,95号,95号
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
环保标准,国V,国V,国V,国V,国V,国V
电动机总功率(kW),-,-,-,-,50,50
电动机总扭矩(N·m),-,-,-,-,-,-
前电动机最大功率(kW),-,-,-,-,-,-
前电动机最大扭矩(N·m),-,-,-,-,-,-
后电动机最大功率(kW),-,-,-,-,50,50
后电动机最大扭矩(N·m),-,-,-,-,-,-
系统综合功率(kW),-,-,-,-,-,-
系统综合扭矩(N·m),-,-,-,-,-,-
工信部续航里程(km),-,-,-,-,-,-
电池容量(kWh),-,-,-,-,-,-
百公里耗电量(kWh/100km),-,-,-,-,-,-
快充电量(%),-,-,-,-,-,-
挡位个数,7,7,7,7,7,7
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
简称,7挡手自一体,7挡手自一体,7挡手自一体,7挡手自一体,7挡手自一体,7挡手自一体
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
前悬架类型,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架
后悬架类型,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架
助力类型,电子液压助力,电子液压助力,电子液压助力,电子液压助力,电子液压助力,电子液压助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
驻车制动类型,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹
前轮胎规格,245/50 R18 ,245/50 R18 ,245/50 R18 ,245/50 R18 ,245/50 R18 ,245/50 R18 
后轮胎规格,245/50 R18 ,245/50 R18 ,245/50 R18 ,245/50 R18 ,245/50 R18 ,245/50 R18 
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
