Feature,54247,54540,54541,54542,54543,54544,54545,58065,58066,58067,58068,58069,58070,58071,60699,60700,60701,60702,60750,60793,60794,60858
高度(mm),1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485
驾驶辅助影像,,,,,,,,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
面部识别,-,-,●,●,-,●,●,-,-,●,●,-,●,●,-,-,-,-,-,-,-,-
隐藏电动门把手,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4982,4982,4982,4982,4982,4982,4982,4982,4982,4982,4982,4982,4982,4982,4982,4982,4982,4982,4982,4982,4982,4982
长*宽*高(mm),4982*1865*1485,4982*1865*1485,4982*1865*1485,4982*1865*1485,4982*1865*1485,4982*1865*1485,4982*1865*1485,4982*1865*1485,4982*1865*1485,4982*1865*1485,4982*1865*1485,4982*1865*1485,4982*1865*1485,4982*1865*1485,4982*1865*1485,4982*1865*1485,4982*1865*1485,4982*1865*1485,4982*1865*1485,4982*1865*1485,4982*1865*1485,4982*1865*1485
钥匙类型,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
道路交通标识识别,-,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,-,●,●,●
远程启动功能,,,,,,,,,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,●,●,●,●,-,-,-,●,●,●,●,-,-,-,●,●,-,-,●,●,-,●
辅助驾驶系统,-,,,,,,,-,,,,,,,,,,,-,,,
辅助驾驶等级,-,,,,,,,-,,,,,,,-,,-,,-,,,
轴距(mm),2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930
轮圈材质,,,,,,,,,,,,,,,,,,,,,,
转向辅助灯,-,-,●,●,-,●,●,-,-,●,●,-,●,●,-,●,-,●,-,-,-,●
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,○,●,●,○,●,●,-,○,●,●,○,●,●,-,●,-,●,-,○,○,●
车道偏离预警系统,-,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,-,●,●,●
