Feature,37384,37385,37386,39953,39954,44508,44509,44510
高度(mm),1870,1840,1870,1870,1870,1870,1840,1870
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱
面部识别,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-
长度(mm),4080,4050,4340,4080,4340,4080,4050,4340
长*宽*高(mm),4080*1828*1870,4050*1830*1840,4340*1828*1870,4080*1828*1870,4340*1828*1870,4080*1828*1870,4050*1830*1840,4340*1828*1870
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-
道路交通标识识别,-,-,-,-,-,-,-,-
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
运动风格座椅,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-
轴距(mm),2300,2300,2500,2300,2500,2300,2300,2500
转向辅助灯,-,-,-,-,-,●,●,●
转向头灯,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-
车门数(个),4,2,4,4,4,4,2,4
车道偏离预警系统,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,4门5座SUV,2门4座SUV,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV,2门4座SUV,4门5座SUV
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-
车型名称,战旗 2019款 1.5T CK 国V,战旗 2019款 1.5T 角斗士 国V,战旗 2019款 1.5T 硬顶版 国V,战旗 2019款 1.5T CK 国VI,战旗 2019款 1.5T 硬顶版 国VI,战旗 2019款 改款 1.5T CK 国VI,战旗 2019款 1.5T 角斗士 国VI,战旗 2019款 改款 1.5T 硬顶版 国VI
车内香氛装置,-,-,-,-,-,-,-,-
车内中控锁,-,-,-,-,-,-,-,-
车内PM2.5过滤装置,-,-,-,-,-,-,-,-
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
负离子发生器,-,-,-,-,-,-,-,-
触摸式阅读灯,-,-,-,-,-,-,-,-
被动行人保护,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,84.8,84.8,84.8
行李厢容积(L),-,-,-,-,-,-,-,-
行李厢12V电源接口,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-
自动泊车入位,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
缺气保用轮胎,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
