Feature,1009444,1009445,1009446,1009592,1009593,1009595,1009596,1009718,1011669,1011672,1011673,1011674,1011675,1011676,1011677
高度(mm),2025,2025,1970,2025,2025,2025,2025,2025,2025,2580,2580,2600,2600,2580,2600
驾驶辅助影像,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5110,5110,5110,5110,5110,5440,5840,5110,5110,4980,5870,5130,5980,4980,5130
长*宽*高(mm),5110×1840×2025,5110×1840×2025,5110×1840×1970,5110×1830×2025,5110×1830×2025,5440×1850×2025,5840×1850×2025,5110×1850×2025,5110×1830×2025,4980×1850×2580,5870×1850×2580,5130×1850×2600,5980×1850×2600,4980×1850×2580,5130×1850×2600
钥匙类型,,,,,,,,,,-,-,-,-,-,-
配气机构,DOHC,DOHC,DOHC,未知,未知,未知,未知,未知,DOHC,未知,未知,未知,未知,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3035,3035,3350,3035,3035,3350,3695,3035,3035,3035,3695,3035,3695,3035,3035
轮圈材质,,,,,,,,,,-,-,-,-,-,-
转向辅助灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),2,4,4,2,2,4,4,4,4,2,4,2,4,2,2
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,勇士皮卡 2020款 2.4T汽油四驱3035轴距分体单排4K22D4T,勇士皮卡 2020款 2.4T汽油四驱3035轴距连体双排4K22D4T,勇士皮卡 2020款 2.4T汽油四驱3350轴距分体双排4K22D4T,勇士皮卡 2020款 2.4T柴油四驱3035轴距分体单排YCY24140-60A,勇士皮卡 2020款 2.4T柴油四驱3035轴距分体单排2265载重YCY24140-60A,勇士皮卡 2020款 2.4T柴油四驱3350轴距分体双排YCY24140-60A,勇士皮卡 2020款 2.4T柴油四驱3695轴距分体双排YCY24140-60A,勇士皮卡 2020款 2.4T柴油四驱3035轴距连体双排YCY24140-60A,勇士皮卡 2021款 2.4T汽油四驱3035轴距连体双排4K22D4T,勇士皮卡 2021款 2.4T柴油四驱3035轴距单排仓栅车YCY24140-60A,勇士皮卡 2021款 2.4T柴油四驱3695轴距双排仓栅车YCY24140-60A,勇士皮卡 2021款 2.4T柴油四驱3035轴距单排厢式车YCY24140-60A,勇士皮卡 2021款 2.4T柴油四驱3695轴距双排厢式车YCY24140-60A,勇士皮卡 2021款 2.4T汽油四驱3035轴距单排仓栅车4K22D4T,勇士皮卡 2021款 2.4T汽油四驱3035轴距单排厢式车4K22D4T
车前雾灯,,,,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,,,,,,,,,,,,,,,
车内中控锁,-,-,-,●,●,●,●,●,-,-,-,-,-,-,-
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),2195x1580x480,1440x1580x480,1630x1580x480,2195x1580x480,2195x1580x480,1630x1580x480,2264x1720x363,1440x1580x480,1440x1580x480,2310x1720x1580,2310x1720x1580,2420x1760x1600,2420x1760x1600,2310x1720x1580,2420x1760x1600
行车电脑显示屏幕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行程(mm),100,100,100,104,104,104,104,104,100,104,104,104,104,100,100
蓝牙/车载电话,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,汽油,柴油,柴油,柴油,柴油,汽油,汽油
胎压监测功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,未知,未知,未知,未知,未知,铝合金,未知,未知,未知,未知,铝合金,铝合金
缸径(mm),87,87,87,85,85,85,85,85,87,85,85,85,85,87,87
缸体材料,铝合金,铝合金,铝合金,未知,未知,未知,未知,未知,铝合金,未知,未知,未知,未知,铝合金,铝合金
级别,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
简称,6挡手动,6挡手动,6挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,6挡手动,5挡手动,5挡手动,5挡手动,5挡手动,6挡手动,6挡手动
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动吸合车门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
燃油标号,92号,92号,92号,0号,0号,0号,0号,0号,92号,0号,0号,0号,0号,92号,92号
燃料形式,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,汽油,柴油,柴油,柴油,柴油,汽油,汽油
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),75,75,75,75,75,75,75,75,75,62,62,62,62,62,62
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),130,130,130,120,120,120,120,120,-,-,-,-,-,-,-
最小离地间隙(mm),225,225,225,225,225,225,225,225,225,225,225,225,225,225,225
最大马力(Ps),211,211,211,140,140,140,140,140,211,140,140,140,140,211,211
最大载重质量(kg),890,740,700,1795,2265,1380,1810,1480,740,-,-,-,-,-,-
最大扭矩转速(rpm),2000-4000,2000-4000,2000-4000,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,2000-4000,1400-2400,1400-2400,1400-2400,1400-2400,2000-4000,2000-4000
最大扭矩(N·m)_y,320,320,320,350,350,350,350,350,320,350,350,350,350,320,320
最大扭矩(N·m)_x,320,320,320,350,350,350,350,350,320,350,350,350,350,320,320
最大功率转速(rpm),5200,5200,5200,2950,2950,2950,2950,2950,5200,2950,2950,2950,2950,5200,5200
最大功率(kW)_y,155,155,155,103,103,103,103,103,155,103,103,103,103,155,155
最大功率(kW)_x,155,155,155,103,103,103,103,103,155,103,103,103,103,155,155
无钥匙进入功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,,,,,,
整车质保,三年或六万公里,三年或六万公里,三年或六万公里,三年或六万公里,三年或六万公里,三年或六万公里,三年或六万公里,三年或六万公里,-,-,-,-,-,-,-
整备质量(kg),1900,2010,2065,2030,2070,2250,2330,2150,-,2200,2420,2140,2380,2070,2010
排量(mL),2378,2378,2378,2360,2360,2360,2360,2360,2378,2360,2360,2360,2360,2378,2378
挡位个数,6,6,6,5,5,5,5,5,6,5,5,5,5,6,6
扬声器数量,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅材质,,,,,,,,,,,,,,,
座位数(个),2,5,5,2,2,5,5,5,5,2,5,2,5,2,2
