,26330,27307,27308,27309,27310,27311,27312,27313,30670,30671,34594,34595
内置行车记录仪,-,-,-,-,-,-,-,-,-,-,-,-
主动降噪,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电,-,-,-,-,-,-,-,-,-,-,-,-
座椅材质,织物,织物,织物,织物,织物,织物,织物,皮/织物混搭,织物,织物,织物,织物
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-
座椅高低调节,●,●,●,●,●,●,●,●,●,●,●,●
腰部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-
主/副驾驶座电动调节,-,-,-,-,-,-,-,-,-,-,-,-
第二排靠背角度调节,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-,-,-,-,-,-,-
前/后排座椅加热,-,-,-,-,-,-,-,-,-,-,-,-
前/后排座椅通风,-,-,-,-,-,-,-,-,-,-,-,-
前/后排座椅按摩,-,-,-,-,-,-,-,-,-,-,-,-
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒方式,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒
前/后中央扶手,前●&nbsp;/&nbsp;后-,-,-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
后排杯架,-,-,-,-,-,-,-,-,-,-,-,-
可加热/制冷杯架,-,-,-,-,-,-,-,-,-,-,-,-
GPS导航系统,-,-,-,-,-,-,-,-,-,-,-,-
定位互动服务,-,-,-,-,-,-,-,-,-,-,-,-
中控台彩色大屏,-,-,-,-,-,-,-,-,-,-,-,-
中控台彩色大屏尺寸,-,-,-,-,-,-,-,-,-,-,-,-
中控液晶屏分屏显示,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-,-,-,-,-,-,-
手机互联/映射,-,-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-,-,-,-,-
220V/230V电源,-,-,-,-,-,-,-,-,-,-,-,-
外接音源接口,USB+AUX,-,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX
CD/DVD,单碟CD,-,-,-,-,单碟CD,单碟CD,单碟CD,-,单碟CD,-,单碟CD
扬声器品牌,-,-,-,-,-,-,-,-,-,-,-,-
扬声器数量,4-5喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,4-5喇叭,4-5喇叭,4-5喇叭,2-3喇叭,4-5喇叭,2-3喇叭,4-5喇叭
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
LED日间行车灯,●,-,-,-,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-
前雾灯,●,-,-,-,-,●,●,●,-,●,-,●
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-,-,-,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗一键升降,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线/隔热玻璃,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动调节,●,-,●,●,●,●,●,●,●,●,●,●
后视镜加热,-,-,-,-,-,-,-,-,-,-,-,-
内/外后视镜自动防眩目,-,-,-,-,-,-,-,-,-,-,-,-
流媒体车内后视镜,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动折叠,-,-,-,-,-,-,-,-,-,-,-,-
后视镜记忆,-,-,-,-,-,-,-,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-,-
遮阳板化妆镜,●,-,-,-,-,●,●,●,-,●,-,●
后雨刷,●,●,●,●,●,●,●,●,●,●,●,●
感应雨刷,-,-,-,-,-,-,-,-,-,-,-,-
空调控制方式,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-
后座出风口,-,-,-,-,-,-,-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-
车内空气调节/花粉过滤,●,●,●,●,●,●,●,●,●,●,●,●
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,YARiS L 致炫 2016款 改款 1.5G CVT炫动天窗版,YARiS L 致炫 2016款 改款 1.3L 手动灵动版,YARiS L 致炫 2016款 改款 1.3E 手动魅动版,YARiS L 致炫 2016款 改款 1.3E CVT魅动版,YARiS L 致炫 2016款 改款 1.5E CVT魅动版,YARiS L 致炫 2016款 改款 1.5G 手动炫动版,YARiS L 致炫 2016款 改款 1.5G CVT炫动版,YARiS L 致炫 2016款 改款 1.5GS CVT锐动版,YARiS L 致炫 2017款 1.5E CVT劲速升级版,YARiS L 致炫 2017款 1.5G CVT劲速天窗升级版,YARiS L 致炫 2018款 1.5E CVT冠军限量版,YARiS L 致炫 2018款 1.5G CVT冠军限量版
厂商指导价(元),9.78万,6.98万,7.68万,8.48万,8.78万,8.78万,9.58万,10.48万,9.13万,10.13万,9.28万,10.28万
厂商,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田
级别,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,2016.08,2016.08,2016.08,2016.08,2016.08,2016.08,2016.08,2016.08,2017.05,2017.05,2018.05,2018.05
最大功率(kW)_x,79,73,73,73,79,79,79,79,79,79,79,79
最大扭矩(N·m)_x,140,123,123,123,140,140,140,140,140,140,140,140
发动机,1.5L 107马力 L4,1.3L 99马力 L4,1.3L 99马力 L4,1.3L 99马力 L4,1.5L 107马力 L4,1.5L 107马力 L4,1.5L 107马力 L4,1.5L 107马力 L4,1.5L 107马力 L4,1.5L 107马力 L4,1.5L 107马力 L4,1.5L 107马力 L4
变速箱,CVT无级变速(模拟8挡),5挡手动,5挡手动,CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),5挡手动,CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡)
长*宽*高(mm),4160*1700*1495,4160*1700*1485,4160*1700*1485,4160*1700*1495,4160*1700*1495,4160*1700*1495,4160*1700*1495,4160*1700*1495,4160*1700*1495,4160*1700*1495,4160*1700*1495,4160*1700*1495
车身结构_x,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车
最高车速(km/h),-,-,-,-,-,-,-,-,-,-,-,-
官方0-100km/h加速(s),11.6,12,12,12.1,11.6,10.7,11.6,11.6,11.6,11.6,11.6,11.6
实测0-100km/h加速(s),-,-,-,-,-,-,-,12.08,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-,-,42.2,-,-,-,-
工信部综合油耗(L/100km),5.4,5.3,5.3,5.2,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4
实测油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
长度(mm),4160,4160,4160,4160,4160,4160,4160,4160,4160,4160,4160,4160
宽度(mm),1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700
高度(mm),1495,1485,1485,1495,1495,1495,1495,1495,1495,1495,1495,1495
轴距(mm),2550,2550,2550,2550,2550,2550,2550,2550,2550,2550,2550,2550
前轮距(mm),1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460
后轮距(mm),1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460
最小离地间隙(mm),125,125,125,125,125,125,125,125,125,125,125,125
车身结构_y,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5
油箱容积(L),42,42,42,42,42,42,42,42,42,42,42,42
行李厢容积(L),326,326,326,326,326,326,326,326,326,326,326,326
整备质量(kg),-,-,-,-,-,-,-,-,-,-,-,-
发动机型号,7NR,6NR-FE,6NR-FE,6NR-FE,7NR,7NR,7NR,7NR,7NR,7NR,7NR,7NR
排量(mL),1496,1329,1329,1329,1496,1496,1496,1496,1496,1496,1496,1496
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4
压缩比,-,-,-,-,-,-,-,-,-,-,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),107,99,99,99,107,107,107,107,107,107,107,107
最大功率(kW)_y,79,73,73,73,79,79,79,79,79,79,79,79
最大功率转速(rpm),6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
最大扭矩(N·m)_y,140,123,123,123,140,140,140,140,140,140,140,140
最大扭矩转速(rpm),4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200
发动机特有技术,双VVT-i可变气门正时系统,双VVT-i可变气门正时系统,双VVT-i可变气门正时系统,双VVT-i可变气门正时系统,双VVT-i可变气门正时系统,双VVT-i可变气门正时系统,双VVT-i可变气门正时系统,双VVT-i可变气门正时系统,双VVT-i可变气门正时系统,双VVT-i可变气门正时系统,双VVT-i可变气门正时系统,双VVT-i可变气门正时系统
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
环保标准,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V
挡位个数,8,5,5,8,8,5,8,8,8,8,8,8
变速箱类型,无级变速箱(CVT),手动变速箱(MT),手动变速箱(MT),无级变速箱(CVT),无级变速箱(CVT),手动变速箱(MT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT)
简称,CVT无级变速(模拟8挡),5挡手动,5挡手动,CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),5挡手动,CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡)
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
后悬架类型,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹
前轮胎规格,185/60 R15,175/65 R14,175/65 R14,185/60 R15,185/60 R15,185/60 R15,185/60 R15,185/60 R15,185/60 R15,185/60 R15,185/60 R15,185/60 R15
后轮胎规格,185/60 R15,175/65 R14,175/65 R14,185/60 R15,185/60 R15,185/60 R15,185/60 R15,185/60 R15,185/60 R15,185/60 R15,185/60 R15,185/60 R15
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
