Feature,1010117,1010118,1010119,1010120,1010121,1010122,1013822,1013823,1013824,1013825
高度(mm),2100,2610,2500,2100,2610,2500,2610,2145,2610,2145
驾驶辅助影像,,,,-,-,-,,,-,-
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-
长度(mm),5750,5750,5780,5750,5750,5780,5750,5780,5750,5780
长*宽*高(mm),5750×1780×2100,5750×1780×2610,5780×1810×2500,5750×1780×2100,5750×1780×2610,5780×1810×2500,5750×1780×2610,5780×1810×2145,5750×1780×2610,5780×1810×2145
钥匙类型,,,,,,,,,,
道路救援呼叫,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,
近光灯光源,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-
轴距(mm),3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
轮圈材质,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-
车门数(个),2,2,2,2,2,2,2,2,2,2
车载冰箱,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-
车型名称,SRM鑫源新能源T50 EV 2021款 创富型货车,SRM鑫源新能源T50 EV 2021款 创富型简易仓栅,SRM鑫源新能源T50 EV 2021款 创富型厢货,SRM鑫源新能源T50 EV 2021款 创业型货车,SRM鑫源新能源T50 EV 2021款 创业型简易仓栅,SRM鑫源新能源T50 EV 2021款 创业型厢货,SRM鑫源新能源T50 EV 2021款 创富型地库版仓栅,SRM鑫源新能源T50 EV 2021款 创富型地库版厢货,SRM鑫源新能源T50 EV 2021款 创业型地库版仓栅,SRM鑫源新能源T50 EV 2021款 创业型地库版厢货
车前雾灯,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),3600x1680x380,3600x1680x380,3600x1750x1600,3600x1680x380,3600x1680x380,3600x1750x1600,3600x1680x380,3600x1750x1250,3600x1680x380,3600x1750x1250
行车电脑显示屏幕,,,,,,,,,,
蓝牙/车载电话,●,●,●,-,-,-,●,●,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,-,-,-,-,-,-,-,-,-,-
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-
级别,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-,-,-,-,-
第二排座椅电动调节,-,-,-,-,-,-,-,-,-,-
第二排座椅功能,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,
空气悬架,-,-,-,-,-,-,-,-,-,-
百公里耗电量(kWh/100km),-,-,-,-,-,-,-,-,-,-
电池组质保,待查,待查,待查,待查,待查,待查,待查,待查,待查,待查
电池类型,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池
电池容量(kWh),55.7,55.7,55.7,55.7,55.7,55.7,55.7,55.7,55.7,55.7
电池充电时间,-,-,-,-,-,-,-,-,-,-
电机类型,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步
电机布局,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置
电动机总扭矩(N·m),165,165,165,165,165,165,165,165,165,165
电动机总功率(kW),72,72,72,72,72,72,72,72,72,72
电动机(Ps),98,98,98,98,98,98,98,98,98,98
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-
电动吸合车门,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-,-,-,-,-
油箱容积(L),-,-,-,-,-,-,-,-,-,-
