Feature,46738,46739,46740,46741,50216,50217,52025,52182,52258,52259,52260,52261,52281,52282,52283,54305,54306,54596,54597,54598,56390,56391,56957,56958,56959,56960,57207,57208,58654,58655,58656,58657,59201,59202,59203,59204,59208,59209
高度(mm),1746,1746,1746,1746,1746,1746,1746,1746,1746,1746,1746,1746,1746,1746,1746,1746,1746,1746,1746,1746,1746,1746,1746,1746,1746,1746,1746,1746,1746,1746,1746,1746,1746,1746,1746,1746,1746,1746
驾驶辅助影像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驾驶模式切换,-,,-,,,,,,,,,,-,-,,,,,,,,,-,,-,,,,-,,-,,-,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
面部识别,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700
