,24146,24147,24148,24149,24150,24151,24152,24153,24154,24155,24156,24157,24158,24159,24160,24161,24162,24163,24164,24165,28192,28422,29546,29547,29548,29549,29550,29551,29552,29553,29554,29555,29556,29557,29558,29559,29560,29561,29562,29563,33230,33231,33232,33233,33234,33235,33236,33237,33238,33239,33240
手机互联/映射,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,○,-,-,-,-,-,○,○,●,●,●,●,○,○,●,●,●,●,●,-,●,-,●,-,●,●,-,-,●,●
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
220V/230V电源,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外接音源接口,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX
CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
扬声器品牌,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
扬声器数量,4-5喇叭,4-5喇叭,4-5喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,4-5喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,4-5喇叭,4-5喇叭,4-5喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,4-5喇叭,4-5喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,4-5喇叭,4-5喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,4-5喇叭,4-5喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,4-5喇叭,6-7喇叭,4-5喇叭,6-7喇叭,4-5喇叭,6-7喇叭,6-7喇叭,4-5喇叭,4-5喇叭,6-7喇叭,6-7喇叭
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,氙气,卤素,卤素,卤素,卤素,氙气,卤素,卤素,卤素,卤素,卤素,卤素,卤素,氙气,卤素,卤素,卤素,卤素,卤素,卤素,氙气,卤素,卤素,卤素,卤素,卤素,氙气,卤素,卤素,卤素,卤素,卤素,卤素,氙气,卤素,卤素,卤素,卤素,卤素,卤素,氙气,卤素,卤素,卤素,氙气
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,氙气,卤素,卤素,卤素,卤素,氙气,卤素,卤素,卤素,卤素,卤素,卤素,卤素,氙气,卤素,卤素,卤素,卤素,卤素,卤素,氙气,卤素,卤素,卤素,卤素,卤素,氙气,卤素,卤素,卤素,卤素,卤素,卤素,氙气,卤素,卤素,卤素,卤素,卤素,卤素,氙气,卤素,卤素,卤素,氙气
LED日间行车灯,-,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,●,-,●,●,-,-,-,●,●,-,-,-,●,-,●,●,●,-,-,-,-,-,●,●,-,-,●,-,●,●,-,-,●,-,●,●,●,-,-,-,-,-,-,●,-,-,-,●
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,●,-,-,-,-,●,-,-,-,-,-,-,-,●,-,-,-,-,-,-,●,-,-,-,-,-,●,-,-,-,-,-,-,●,-,-,-,-,-,-,●,-,-,-,●
前雾灯,-,-,-,●,●,●,●,-,●,●,●,●,-,-,-,●,●,●,●,●,●,-,-,●,●,●,●,-,-,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,●,-,-,-,-,●,-,-,-,-,-,-,-,●,-,-,-,-,-,-,●,-,-,-,-,-,●,-,-,-,-,-,-,●,-,-,-,-,-,-,●,-,-,-,●
车内氛围灯,-,-,-,-,-,-,●,-,-,-,-,●,-,-,-,-,-,-,●,●,-,-,-,-,-,-,●,-,-,-,-,-,●,-,-,-,-,-,●,●,-,-,-,-,-,-,●,-,-,-,●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗一键升降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,前排,-,-,前排,前排,前排,前排,-,-,前排,前排,前排,前排,-,-,前排,前排,前排,前排,前排,主驾驶位,前排,-,前排,-,前排,前排,-,-,前排,前排
车窗防夹手功能,-,-,-,●,●,●,-,-,●,●,●,●,-,-,-,●,●,●,●,●,●,-,-,●,●,●,●,-,-,●,●,●,●,-,-,●,●,●,●,●,●,●,-,●,-,●,●,-,-,●,●
防紫外线/隔热玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后视镜加热,-,-,-,●,●,●,●,-,●,●,●,●,-,-,-,●,●,●,●,●,●,-,-,●,●,●,●,-,-,●,●,●,●,-,-,●,●,●,●,●,-,●,-,●,-,●,●,-,-,●,●
内/外后视镜自动防眩目,-,-,-,-,-,-,内●&nbsp;/&nbsp;外-,-,-,-,-,内●&nbsp;/&nbsp;外-,-,-,-,-,-,-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,-,-,-,-,-,-,内●&nbsp;/&nbsp;外-,-,-,-,-,-,内●&nbsp;/&nbsp;外-,-,-,-,-,-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,-,-,-,-,-,-,内●&nbsp;/&nbsp;外-,-,-,-,内●&nbsp;/&nbsp;外-
流媒体车内后视镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动折叠,-,-,-,-,-,●,●,-,-,-,●,●,-,-,-,-,-,●,●,●,-,-,-,-,-,●,●,-,-,-,-,●,●,-,-,-,-,●,●,●,-,●,-,●,-,●,●,-,-,●,●
后视镜记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,●,●,●,●,●,-,-,-,-
感应雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调控制方式,手动●,手动●,手动●,自动●,自动●,自动●,自动●,手动●,手动●,自动●,自动●,自动●,手动●,手动●,手动●,自动●,自动●,自动●,自动●,自动●,自动●,手动●,手动●,手动●,自动●,自动●,自动●,手动●,手动●,自动●,自动●,自动●,自动●,手动●,手动●,自动●,自动●,自动●,自动●,自动●,手动●,自动●,手动●,自动●,手动●,自动●,自动●,手动●,手动●,自动●,自动●
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后座出风口,-,-,-,●,●,●,●,-,●,●,●,●,-,-,-,●,●,●,●,●,●,-,-,●,●,●,●,-,-,●,●,●,●,-,-,●,●,●,●,●,-,●,-,●,-,●,●,-,-,●,●
温度分区控制,-,-,-,●,●,●,●,-,-,●,●,●,-,-,-,●,●,●,●,●,●,-,-,-,●,●,●,-,-,●,●,●,●,-,-,●,●,●,●,●,-,●,-,●,-,●,●,-,-,●,●
车内空气调节/花粉过滤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,观致3 2016款 两厢 1.6L 手动致尚型,观致3 2016款 两厢 1.6L 手动致享型,观致3 2016款 两厢 1.6L 自动致享型,观致3 2016款 两厢 1.6L 自动致能型,观致3 2016款 两厢 1.6L 自动致悦型,观致3 2016款 两厢 1.6T 自动致酷型,观致3 2016款 两厢 1.6T 自动致臻型,观致3 2016款 都市SUV 1.6T 手动致享型,观致3 2016款 都市SUV 1.6T 手动致悦型,观致3 2016款 都市SUV 1.6T 自动致悦型,观致3 2016款 都市SUV 1.6T 自动致酷型,观致3 2016款 都市SUV 1.6T 自动致臻型,观致3 2016款 三厢 1.6L 手动致尚型,观致3 2016款 三厢 1.6L 手动致享型,观致3 2016款 三厢 1.6L 自动致享型,观致3 2016款 三厢 1.6L 自动致能型,观致3 2016款 三厢 1.6L 自动致悦型,观致3 2016款 三厢 1.6T 自动致酷型,观致3 2016款 三厢 1.6T 自动致臻型,观致3 2016款 三厢 1.6T 自动致臻增强型,观致3 2017款 GT 1.6T 自动致悦型,观致3 2017款 GT 1.6T 手动致享型,观致3 2017款 都市SUV 1.6T 手动致享型,观致3 2017款 都市SUV 1.6T 手动致悦型,观致3 2017款 都市SUV 1.6T 自动致悦型,观致3 2017款 都市SUV 1.6T 自动致酷型,观致3 2017款 都市SUV 1.6T 自动致臻型,观致3 2017款 两厢 1.6L 手动致享型,观致3 2017款 两厢 1.6L 自动致享型,观致3 2017款 两厢 1.6L 自动致能型,观致3 2017款 两厢 1.6L 自动致悦型,观致3 2017款 两厢 1.6T 自动致酷型,观致3 2017款 两厢 1.6T 自动致臻型,观致3 2017款 三厢 1.6L 手动致享型,观致3 2017款 三厢 1.6L 自动致享型,观致3 2017款 三厢 1.6L 自动致能型,观致3 2017款 三厢 1.6L 自动致悦型,观致3 2017款 三厢 1.6T 自动致酷型,观致3 2017款 三厢 1.6T 自动致臻型,观致3 2017款 三厢 1.6T 自动致臻增强型,观致3 2018款 GT 1.6T 手动领先型,观致3 2018款 GT 1.6T 自动尊贵型,观致3 2018款 都市SUV 1.6T 手动领先型,观致3 2018款 都市SUV 1.6T 自动尊贵型,观致3 2018款 两厢 1.6L 自动领先型,观致3 2018款 两厢 1.6L 自动尊贵型,观致3 2018款 两厢 1.6T 自动旗舰型,观致3 2018款 三厢 1.6L 手动领先型,观致3 2018款 三厢 1.6L 自动领先型,观致3 2018款 三厢 1.6L 自动尊贵型,观致3 2018款 三厢 1.6T 自动旗舰型
厂商指导价(元),10.88万,10.39万,11.09万,12.89万,13.29万,13.99万,15.39万,12.79万,14.29万,15.19万,15.89万,16.99万,10.88万,10.09万,10.79万,12.59万,12.99万,13.69万,14.69万,15.19万,13.99万,11.09万,12.79万,14.29万,15.19万,15.89万,16.99万,10.39万,11.09万,12.89万,13.29万,13.99万,15.39万,10.09万,10.79万,12.59万,12.99万,13.69万,14.69万,15.19万,10.89万,13.99万,12.59万,15.19万,10.89万,13.29万,15.39万,9.89万,10.59万,12.99万,15.19万
厂商,观致汽车,观致汽车,观致汽车,观致汽车,观致汽车,观致汽车,观致汽车,观致汽车,观致汽车,观致汽车,观致汽车,观致汽车,观致汽车,观致汽车,观致汽车,观致汽车,观致汽车,观致汽车,观致汽车,观致汽车,观致汽车,观致汽车,观致汽车,观致汽车,观致汽车,观致汽车,观致汽车,观致汽车,观致汽车,观致汽车,观致汽车,观致汽车,观致汽车,观致汽车,观致汽车,观致汽车,观致汽车,观致汽车,观致汽车,观致汽车,观致汽车,观致汽车,观致汽车,观致汽车,观致汽车,观致汽车,观致汽车,观致汽车,观致汽车,观致汽车,观致汽车
级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,2015.10,2015.10,2015.10,2015.10,2015.10,2015.10,2015.10,2015.10,2015.10,2015.10,2015.10,2015.10,2015.10,2015.10,2015.10,2015.10,2015.10,2015.10,2015.10,2015.10,2016.11,2016.11,2017.03,2017.03,2017.03,2017.03,2017.03,2017.03,2017.03,2017.03,2017.03,2017.03,2017.03,2017.03,2017.03,2017.03,2017.03,2017.03,2017.03,2017.03,2018.01,2018.01,2018.01,2018.01,2018.01,2018.01,2018.01,2018.01,2018.01,2018.01,2018.01
工信部纯电续驶里程(km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大功率(kW)_x,93,93,93,93,93,115,115,115,115,115,115,115,93,93,93,93,93,115,115,115,115,115,115,115,115,115,115,93,93,93,93,115,115,93,93,93,93,115,115,115,115,115,115,115,93,93,115,93,93,93,115
最大扭矩(N·m)_x,155,155,155,155,155,210,210,210,210,210,210,210,155,155,155,155,155,210,210,210,230,230,230,230,230,230,230,155,155,155,155,230,230,155,155,155,155,230,230,230,230,230,230,230,155,155,230,155,155,155,230
发动机,1.6L 126马力 L4,1.6L 126马力 L4,1.6L 126马力 L4,1.6L 126马力 L4,1.6L 126马力 L4,1.6T 156马力 L4,1.6T 156马力 L4,1.6T 156马力 L4,1.6T 156马力 L4,1.6T 156马力 L4,1.6T 156马力 L4,1.6T 156马力 L4,1.6L 126马力 L4,1.6L 126马力 L4,1.6L 126马力 L4,1.6L 126马力 L4,1.6L 126马力 L4,1.6T 156马力 L4,1.6T 156马力 L4,1.6T 156马力 L4,1.6T 156马力 L4,1.6T 156马力 L4,1.6T 156马力 L4,1.6T 156马力 L4,1.6T 156马力 L4,1.6T 156马力 L4,1.6T 156马力 L4,1.6L 126马力 L4,1.6L 126马力 L4,1.6L 126马力 L4,1.6L 126马力 L4,1.6T 156马力 L4,1.6T 156马力 L4,1.6L 126马力 L4,1.6L 126马力 L4,1.6L 126马力 L4,1.6L 126马力 L4,1.6T 156马力 L4,1.6T 156马力 L4,1.6T 156马力 L4,1.6T 156马力 L4,1.6T 156马力 L4,1.6T 156马力 L4,1.6T 156马力 L4,1.6L 126马力 L4,1.6L 126马力 L4,1.6T 156马力 L4,1.6L 126马力 L4,1.6L 126马力 L4,1.6L 126马力 L4,1.6T 156马力 L4
变速箱,6挡手动,6挡手动,6挡双离合,6挡双离合,6挡双离合,6挡双离合,6挡双离合,6挡手动,6挡手动,6挡双离合,6挡双离合,6挡双离合,6挡手动,6挡手动,6挡双离合,6挡双离合,6挡双离合,6挡双离合,6挡双离合,6挡双离合,6挡双离合,6挡手动,6挡手动,6挡手动,6挡双离合,6挡双离合,6挡双离合,6挡手动,6挡双离合,6挡双离合,6挡双离合,6挡双离合,6挡双离合,6挡手动,6挡双离合,6挡双离合,6挡双离合,6挡双离合,6挡双离合,6挡双离合,6挡手动,6挡双离合,6挡手动,6挡双离合,6挡双离合,6挡双离合,6挡双离合,6挡手动,6挡双离合,6挡双离合,6挡双离合
长*宽*高(mm),4438*1839*1445,4438*1839*1445,4438*1839*1445,4438*1839*1445,4438*1839*1445,4438*1839*1445,4438*1839*1445,4452*1854*1504,4452*1854*1504,4452*1854*1504,4452*1854*1504,4452*1854*1504,4615*1839*1445,4615*1839*1445,4615*1839*1445,4615*1839*1445,4615*1839*1445,4615*1839*1445,4615*1839*1445,4615*1839*1445,4626*1854*1509,4626*1854*1509,4452*1854*1504,4452*1854*1504,4452*1854*1504,4452*1854*1504,4452*1854*1504,4438*1839*1445,4438*1839*1445,4438*1839*1445,4438*1839*1445,4438*1839*1445,4438*1839*1445,4615*1839*1445,4615*1839*1445,4615*1839*1445,4615*1839*1445,4615*1839*1445,4615*1839*1445,4615*1839*1445,4633*1854*1509,4633*1854*1509,4463*1854*1504,4463*1854*1504,4450*1839*1445,4450*1839*1445,4450*1839*1445,4627*1839*1445,4627*1839*1445,4627*1839*1445,4627*1839*1445
车身结构_x,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
最高车速(km/h),193,193,193,193,193,210,210,205,205,208,208,208,197,197,197,197,197,217,217,217,211,210,205,205,208,208,208,193,193,193,193,210,210,197,197,197,197,217,217,217,210,211,205,208,193,193,210,197,197,197,217
官方0-100km/h加速(s),11.6,11.6,12.6,12.6,12.6,9.7,9.7,10.1,10.1,10.8,10.8,10.8,11.6,11.6,12.6,12.6,12.6,9.7,9.7,9.7,9.8,9.3,9.3,9.3,9.8,9.8,9.8,11.6,12.6,12.6,12.6,9.5,9.5,11.6,12.6,12.6,12.6,9.5,9.5,9.5,9.3,9.8,9.3,9.8,12.6,12.6,9.5,11.6,12.6,12.6,9.5
实测0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),6.3,6.3,6.1,5.9,6.1,6.5,6.5,6.8,6.8,6.9,6.9,6.9,6.1,6.1,6,5.8,6,6.4,6.4,6.4,6.8,6.6,6.8,6.8,6.9,6.9,6.9,6.3,6.1,5.9,6.1,6.5,6.5,6.1,6,5.8,6,6.4,6.4,6.4,6.6,6.4,6.8,6.5,6.1,5.9,6.3,6.1,6,5.8,6.2
实测油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
长度(mm),4438,4438,4438,4438,4438,4438,4438,4452,4452,4452,4452,4452,4615,4615,4615,4615,4615,4615,4615,4615,4626,4626,4452,4452,4452,4452,4452,4438,4438,4438,4438,4438,4438,4615,4615,4615,4615,4615,4615,4615,4633,4633,4463,4463,4450,4450,4450,4627,4627,4627,4627
宽度(mm),1839,1839,1839,1839,1839,1839,1839,1854,1854,1854,1854,1854,1839,1839,1839,1839,1839,1839,1839,1839,1854,1854,1854,1854,1854,1854,1854,1839,1839,1839,1839,1839,1839,1839,1839,1839,1839,1839,1839,1839,1854,1854,1854,1854,1839,1839,1839,1839,1839,1839,1839
高度(mm),1445,1445,1445,1445,1445,1445,1445,1504,1504,1504,1504,1504,1445,1445,1445,1445,1445,1445,1445,1445,1509,1509,1504,1504,1504,1504,1504,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1509,1509,1504,1504,1445,1445,1445,1445,1445,1445,1445
轴距(mm),2690,2690,2690,2690,2690,2690,2690,2694,2694,2694,2694,2694,2690,2690,2690,2690,2690,2690,2690,2690,2698,2698,2694,2694,2694,2694,2694,2690,2690,2690,2690,2690,2690,2690,2690,2690,2690,2690,2690,2690,2705,2705,2705,2705,2702,2702,2702,2702,2702,2702,2702
前轮距(mm),1579,1579,1579,1579,1579,1579,1579,1588,1588,1588,1588,1588,1579,1579,1579,1579,1579,1579,1579,1579,1588,1588,1588,1588,1588,1588,1588,1579,1579,1579,1579,1579,1579,1579,1579,1579,1579,1579,1579,1579,1588,1588,1588,1588,1579,1579,1579,1579,1579,1579,1579
后轮距(mm),1585,1585,1585,1585,1585,1585,1585,1577,1577,1577,1577,1577,1585,1585,1585,1585,1585,1585,1585,1585,1578,1578,1577,1577,1577,1577,1577,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585,1578,1578,1577,1577,1585,1585,1585,1585,1585,1585,1585
