,21361,22126,22240,28279,31438,34556
前/后排座椅加热,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排座椅通风,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-,-,-
前/后排座椅按摩,-,-,-,-,-,-
第二排独立座椅,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-
后排座椅放倒方式,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
后排杯架,●,●,●,●,●,●
可加热/制冷杯架,加热/制冷,加热/制冷,加热/制冷,加热/制冷,加热/制冷,加热/制冷
GPS导航系统,●,●,●,○,○,○
定位互动服务,●,●,●,●,●,●
中控台彩色大屏,●,●,●,●,●,●
中控台彩色大屏尺寸,8英寸,8英寸,8英寸,-,-,-
中控液晶屏分屏显示,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●
手机互联/映射,-,-,-,●,●,●
车联网,●,●,●,●,●,●
车载电视,-,-,-,-,-,-
后排液晶屏,○,○,○,-,-,-
220V/230V电源,-,-,-,-,-,-
外接音源接口,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽
CD/DVD,多碟DVD,多碟DVD,多碟DVD,多碟DVD,多碟DVD,多碟DVD
扬声器品牌,HarmanKardon哈曼卡顿,(选装HarmanKardon哈曼卡顿),(选装HarmanKardon哈曼卡顿),(选装HarmanKardon哈曼卡顿),(选装HarmanKardon哈曼卡顿),(选装HarmanKardon哈曼卡顿)
扬声器数量,≥12喇叭,≥12喇叭,≥12喇叭,≥12喇叭,≥12喇叭,≥12喇叭
近光灯,LED,LED,LED,LED,LED,LED
远光灯,LED,LED,LED,LED,LED,LED
LED日间行车灯,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●
转向辅助灯,●,●,●,●,●,●
转向头灯,●,●,●,●,●,●
前雾灯,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-
车内氛围灯,●,●,●,●,●,●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗一键升降,全车,全车,全车,全车,全车,全车
车窗防夹手功能,●,●,●,●,●,●
防紫外线/隔热玻璃,●,○,○,●,●,●
后视镜电动调节,●,●,●,●,●,●
后视镜加热,●,●,●,●,●,●
内/外后视镜自动防眩目,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●
流媒体车内后视镜,-,-,-,-,-,-
后视镜电动折叠,●,●,●,●,●,●
后视镜记忆,●,●,●,●,●,●
后风挡遮阳帘,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-
后排侧隐私玻璃,●,○,○,●,●,●
遮阳板化妆镜,●,●,●,●,●,●
后雨刷,-,●,●,●,●,●
感应雨刷,●,●,●,●,●,●
空调控制方式,自动●,自动●,自动●,自动●,自动●,自动●
后排独立空调,●,●,●,-,●,●
后座出风口,●,●,●,●,●,●
温度分区控制,●,●,●,●,●,●
车内空气调节/花粉过滤,●,●,●,●,●,●
车载空气净化器,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-
车型名称,奔驰GLE AMG 2015款 AMG GLE 63 4MATIC 轿跑SUV,奔驰GLE AMG 2015款 AMG GLE 63 4MATIC,奔驰GLE AMG 2015款 AMG GLE 63 S 4MATIC,奔驰GLE AMG 2017款 AMG GLE 43 4MATIC,奔驰GLE AMG 2017款 AMG GLE 43 4MATIC 轿跑SUV,奔驰GLE AMG 2018款 AMG GLE 43 4MATIC 轿跑SUV 幻橙特别版
厂商指导价(元),192.18万,184.28万,197.18万,96.58万,98.98万,107.88万
厂商,梅赛德斯-AMG,梅赛德斯-AMG,梅赛德斯-AMG,梅赛德斯-AMG,梅赛德斯-AMG,梅赛德斯-AMG
级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
能源类型,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,2015.09,2015.10,2015.10,2017.09,2017.09,2018.05
最大功率(kW)_x,410,410,430,287,287,287
最大扭矩(N·m)_x,700,700,760,520,520,520
发动机,5.5T 558马力 V8,5.5T 558马力 V8,5.5T 585马力 V8,3.0T 390马力 V6,3.0T 390马力 V6,3.0T 390马力 V6
变速箱,7挡手自一体,7挡手自一体,7挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体
长*宽*高(mm),4918*2003*1719,4853*1965*1761,4853*1965*1761,4813*1951*1761,4891*2003*1719,4891*2003*1719
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
最高车速(km/h),250,250,250,250,250,250
官方0-100km/h加速(s),4.3,4.3,4.2,5.7,5.7,5.7
实测0-100km/h加速(s),-,-,-,5.55,-,-
实测100-0km/h制动(m),-,-,-,39.28,-,-
工信部综合油耗(L/100km),12.7,12.5,12.5,10.3,10.3,10.3
实测油耗(L/100km),-,-,-,-,-,-
整车质保,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里
长度(mm),4918,4853,4853,4813,4891,4891
宽度(mm),2003,1965,1965,1951,2003,2003
高度(mm),1719,1761,1761,1761,1719,1719
轴距(mm),2915,2915,2915,2915,2915,2915
前轮距(mm),1657,-,-,1654,1665,1665
后轮距(mm),1705,-,-,1673,1713,1713
最小离地间隙(mm),-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV
车门数(个),5,5,5,5,5,5
座位数(个),5,5,5,5,5,5
油箱容积(L),93,93,93,-,-,-
行李厢容积(L),650-1720,690-2010,690-2010,-,-,-
整备质量(kg),-,-,-,-,-,-
发动机型号,157 982,157 982,-,276 821,276 821,276 821
排量(mL),5461,5461,5461,2996,2996,2996
进气形式,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压
气缸排列形式,V,V,V,V,V,V
气缸数(个),8,8,8,6,6,6
每缸气门数(个),4,4,4,4,4,4
压缩比,10,10,10,-,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),98,98,98,-,-,-
行程(mm),90.5,90.5,90.5,-,-,-
最大马力(Ps),558,558,585,390,390,390
最大功率(kW)_y,410,410,430,287,287,287
最大功率转速(rpm),5750,5750,5500,6100,6100,6100
最大扭矩(N·m)_y,700,700,760,520,520,520
最大扭矩转速(rpm),1750-5500,1750-5500,1750-5250,2500-5000,2500-5000,2500-5000
发动机特有技术,-,-,-,-,-,-
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,95号,95号,95号,95号,95号,95号
供油方式,直喷,直喷,直喷,直喷,直喷,直喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
环保标准,欧V,欧V,欧V,欧V,欧V,欧V
挡位个数,7,7,7,9,9,9
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
简称,7挡手自一体,7挡手自一体,7挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱
四驱形式,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱
中央差速器结构,多片离合器,多片离合器,多片离合器,多片离合器,多片离合器,多片离合器
前悬架类型,双叉臂独立悬架 ,双叉臂独立悬架 ,双叉臂独立悬架 ,双叉臂独立悬架 ,双叉臂独立悬架 ,双叉臂独立悬架 
后悬架类型,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
前轮胎规格,285/45 R21,265/45 R20,295/35 R21,265/45 R20,275/45 R21,275/45 R21
后轮胎规格,325/40 R21,265/45 R20,295/35 R21,265/45 R20,315/40 R21,315/40 R21
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
