Feature,1013907,1013933,1013934,1013935,1014007,1014008,1014010,1014011,1014012,1014013,1014014,1014015,1014016,1014017,1014018,1014019,1014020,1014021
高度(mm),2015,2030,2030,2015,2015,2030,2500,2495,2500,2495,2625,2620,2625,2620,2660,2650,2660,2650
驾驶辅助影像,,,-,-,-,-,,,-,-,-,-,,,,,-,-
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5915,5940,5940,5915,5915,5940,5925,5950,5925,5950,5870,5960,5870,5960,5850,5940,5850,5940
长*宽*高(mm),5915×1900×2015,5940×1900×2030,5940×1900×2030,5915×1900×2015,5915×1900×2015,5940×1900×2030,5925×1900×2500,5950×1900×2495,5925×1900×2500,5950×1900×2495,5870×1945×2625,5960×1945×2620,5870×1945×2625,5960×1945×2620,5850×1945×2660,5940×1935×2650,5850×1945×2660,5940×1935×2650
钥匙类型,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
轮圈材质,,,,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),2,4,4,2,2,4,2,4,2,4,2,4,2,4,2,4,2,4
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,长安神骐PLUS 2022款 1.8L标准车豪华型单排4J18V,长安神骐PLUS 2022款 1.8L标准车豪华型双排4J18V,长安神骐PLUS 2022款 1.8L标准车舒适型双排4J18V,长安神骐PLUS 2022款 1.8L标准车舒适型(非空调）单排4J18V,长安神骐PLUS 2022款 1.8L标准车舒适型单排4J18V,长安神骐PLUS 2022款 1.8L标准车舒适型(非空调）双排4J18V,长安神骐PLUS 2022款 1.8L仓栅车豪华型单排4J18V,长安神骐PLUS 2022款 1.8L仓栅车豪华型双排4J18V,长安神骐PLUS 2022款 1.8L仓栅车舒适型单排4J18V,长安神骐PLUS 2022款 1.8L仓栅车舒适型双排4J18V,长安神骐PLUS 2022款 1.8L钢板厢货舒适型单排4J18V,长安神骐PLUS 2022款 1.8L钢板厢货舒适型双排4J18V,长安神骐PLUS 2022款 1.8L钢板厢货豪华型单排4J18V,长安神骐PLUS 2022款 1.8L钢板厢货豪华型双排4J18V,长安神骐PLUS 2022款 1.8L复合板厢货豪华型单排4J18V,长安神骐PLUS 2022款 1.8L复合板厢货豪华型双排4J18V,长安神骐PLUS 2022款 1.8L复合板厢货舒适型单排4J18V,长安神骐PLUS 2022款 1.8L复合板厢货舒适型双排4J18V
车前雾灯,,,,,,,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
