Feature,35617,35697,35698,35699,35700,35701,35702
高度(mm),1780,1765,1780,1780,1765,1780,1780
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹,手刹
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
零胎压继续行驶,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-,-
长度(mm),4521,4501,4501,4501,4501,4501,4501
长*宽*高(mm),4521*1785*1780,4501*1726*1765,4501*1726*1780,4501*1726*1780,4501*1726*1765,4501*1726*1780,4501*1726*1780
铝合金轮圈,●,-,●,●,-,●,●
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-,-
远程启动,-,-,-,-,-,-,-
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素
运动风格座椅,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-
轴距(mm),2750,2750,2750,2750,2750,2750,2750
转向辅助灯,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-
车顶行李架,●,-,●,●,-,●,●
车门数(个),5,5,5,5,5,5,5
车道偏离预警系统,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-
车身结构_y,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身结构_x,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV
车身稳定控制(ESC/ESP/DSC等),●,-,●,●,-,●,●
车联网,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-
车窗一键升降,-,-,-,-,-,-,-
车型名称,启辰M50V 2019款 1.6L CVT旗舰型,启辰M50V 2019款 1.5L 手动标准版,启辰M50V 2019款 1.5L 手动舒适版,启辰M50V 2019款 1.5L 手动精英版,启辰M50V 2019款 1.6L CVT领先版,启辰M50V 2019款 1.6L CVT豪华版,启辰M50V 2019款 1.6L CVT至尊版
车内空气调节/花粉过滤,●,●,●,●,●,●,●
车内氛围灯,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
行车电脑显示屏,●,●,●,●,●,●,●
行程(mm),-,-,-,-,-,-,-
行李厢容积(L),-,-,-,-,-,-,-
蓝牙/车载电话,●,-,●,●,-,●,●
自适应远近光,-,-,-,-,-,-,-
自适应巡航,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-
自动泊车入位,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-
腰部支撑调节,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测装置,-,-,-,-,-,-,-
肩部支撑调节,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,MPV,MPV,MPV,MPV,MPV,MPV,MPV
简称,CVT无级变速,5挡手动,5挡手动,5挡手动,CVT无级变速,CVT无级变速,CVT无级变速
第二排靠背角度调节,●,●,●,●,●,●,●
第二排独立座椅,●,●,●,●,●,●,●
第二排座椅移动,●,●,●,●,●,●,●
第三排座椅,3座,3座,3座,3座,3座,3座,3座
空调控制方式,手动●,手动●,手动●,手动●,手动●,手动●,手动●
空气悬架,-,-,-,-,-,-,-
皮质方向盘,-,-,-,-,-,-,-
疲劳驾驶提示,-,-,-,-,-,-,-
电磁感应悬架,-,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-,-
电动天窗,-,-,-,-,-,-,-
电动吸合门,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-
环保标准,国V,国V,国V,国V,国V,国V,国V
牵引力控制(ASR/TCS/TRC等),●,-,●,●,-,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,-,-,-,-,-,-,-
流媒体车内后视镜,-,-,-,-,-,-,-
油箱容积(L),45,45,45,45,45,45,45
气缸数(个),4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4
最高车速(km/h),175,170,170,170,175,175,175
最小离地间隙(mm),-,-,-,-,-,-,-
最大马力(Ps),124,112,112,112,124,124,124
最大扭矩转速(rpm),4000,4000,4000,4000,4000,4000,4000
最大扭矩(N·m)_y,153,139,139,139,153,153,153
最大扭矩(N·m)_x,153,139,139,139,153,153,153
最大功率转速(rpm),5600,5600,5600,5600,5600,5600,5600
最大功率(kW)_y,91,82,82,82,91,91,91
最大功率(kW)_x,91,82,82,82,91,91,91
无钥匙进入系统,●,-,-,-,-,-,●
无钥匙启动系统,●,-,-,-,-,-,●
方向盘调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节
方向盘记忆,-,-,-,-,-,-,-
方向盘电动调节,-,-,-,-,-,-,-
方向盘换挡,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
整备质量(kg),1312,1260,1278,1278,1283,1309,1309
整体主动转向系统,-,-,-,-,-,-,-
排量(mL),1598,1498,1498,1498,1598,1598,1598
挡位个数,无级变速,5,5,5,无级变速,无级变速,无级变速
扬声器品牌,-,-,-,-,-,-,-
扬声器个数,6-7喇叭,4-5喇叭,6-7喇叭,6-7喇叭,4-5喇叭,6-7喇叭,6-7喇叭
手机无线充电,-,-,-,-,-,-,-
手机互联/映射功能,●,-,●,●,-,●,●
感应雨刷,-,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-,-
座椅高低调节,●,●,●,●,●,●,●
座椅材料,仿皮,织物,仿皮,仿皮,织物,仿皮,仿皮
座位数(个),7,7,7,7,7,7,7
并线辅助,-,-,-,-,-,-,-
工信部综合油耗(L/100km),6.6,6.9,6.9,6.9,6.6,6.6,6.6
导航路况信息显示,-,-,-,-,-,-,-
宽度(mm),1785,1726,1726,1726,1726,1726,1726
实测油耗(L/100km),-,-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-,-
实测0-100km/h加速(s),-,-,-,-,-,-,-
定速巡航,●,-,-,-,-,●,●
官方0-100km/h加速(s),-,-,-,-,-,-,-
安全带未系提示,●,●,●,●,●,●,●
大灯高度可调,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-
夜视系统,-,-,-,-,-,-,-
多天窗,-,-,-,-,-,-,-
多功能方向盘,●,-,●,●,-,●,●
外接音源接口,USB,USB,USB,USB,USB,USB,USB
备胎规格,非全尺寸,全尺寸,非全尺寸,非全尺寸,全尺寸,非全尺寸,非全尺寸
后风挡遮阳帘,-,-,-,-,-,-,-
后雨刷,●,-,●,●,-,●,●
后轮距(mm),1514,1514,1514,1514,1514,1514,1514
后轮胎规格,195/55 R16,185/65 R15 ,195/55 R16,195/55 R16,185/65 R15 ,195/55 R16,195/55 R16
后视镜记忆,-,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●,●
后视镜电动折叠,-,-,-,-,-,-,-
后视镜加热,●,-,●,●,-,●,●
后桥限滑差速器/差速锁,-,-,-,-,-,-,-
