Feature,50144,50583,50584,50585,51002,52534,52776,52777,54880,55750,55751,57759,57760
高度(mm),1489,1489,1489,1489,1489,1489,1489,1489,1489,1489,1489,1489,1489
驾驶辅助影像,,,,,,,,,,,,,
驾驶模式切换,-,-,-,-,-,,,,-,-,-,-,-
驻车制动类型,电子驻车,电子驻车,电子驻车,手刹,手刹,电子驻车,电子驻车,电子驻车,电子驻车,手刹,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里
面部识别,-,-,-,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4607,4607,4607,4607,4607,4615,4615,4615,4607,4607,4607,4607,4607
长*宽*高(mm),4607*1818*1489,4607*1818*1489,4607*1818*1489,4607*1818*1489,4607*1818*1489,4615*1818*1489,4615*1818*1489,4615*1818*1489,4607*1818*1489,4607*1818*1489,4607*1818*1489,4607*1818*1489,4607*1818*1489
钥匙类型,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-
道路交通标识识别,●,-,-,-,-,●,-,-,-,-,-,-,●
远程启动功能,-,-,-,-,-,,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-
辅助驾驶等级,,-,-,-,-,,-,-,-,-,-,-,
轴距(mm),2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680
轮圈材质,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,-,-,-,-,●,-,-,-,-,-,-,-
车道偏离预警系统,●,-,-,-,-,●,-,-,-,-,-,-,●
车道保持辅助系统,●,-,-,-,-,●,-,-,-,-,-,-,●
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-
车载智能系统,,,-,-,-,,-,,-,-,,,
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,-,-,-,●,-,●,-,-,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,
车型名称,荣威i5 2021款 1.5L CVT星耀版,荣威i5 2021款 1.5L CVT钻石版,荣威i5 2021款 1.5L CVT铂金版,荣威i5 2021款 1.5L 手动钻石版,荣威i5 2021款 1.5L 手动铂金版,荣威i5 2021款 1.5T GT DCT光速版,荣威i5 2021款 1.5T GT DCT风速版,荣威i5 2021款 1.5T GT DCT音速版,荣威i5 2021款 1.5L CVT黑金版,荣威i5 2021款 1.5L 手动安心版,荣威i5 2021款 1.5L CVT安心版,荣威i5 2021款 改款 1.5L CVT钻石版,荣威i5 2021款 改款 1.5L CVT星耀版
车前雾灯,,,,,,,,,,,,,
车内香氛装置,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,,,,,-,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,-,-,-,-,-,●,-,-,-,-,-,-,-
语音识别控制系统,,,,,,,,,,,,,
触摸式阅读灯,-,-,-,-,-,-,-,-,-,-,-,-,-
被动行人保护,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,
行李厢12V电源接口,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,●,-,-,-,-,●,-,-,-,-,-,-,●
自动驻车,●,●,●,-,-,●,●,●,●,-,●,●,●
自动泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-
