Feature,31143,34694,34695,34696,34697,34705,34706,34707,34708
高度(mm),1753,1753,1753,1753,1753,1753,1753,1753,1753
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●,●
防紫外线玻璃,●,●,●,●,●,●,●,●,●
长度(mm),4702,4702,4702,4702,4702,4702,4702,4702,4702
长*宽*高(mm),4702*1932*1753,4702*1932*1753,4702*1932*1753,4702*1932*1753,4702*1932*1753,4702*1932*1753,4702*1932*1753,4702*1932*1753,4702*1932*1753
铝合金轮圈,●,●,●,●,●,●,●,●,●
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-,-,-,-
远程启动,●,-,-,-,●,-,-,●,●
远光灯,LED,卤素,LED,LED,LED,LED,LED,LED,LED
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯,LED,卤素,LED,LED,LED,LED,LED,LED,LED
运动风格座椅,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-
轴距(mm),2770,2770,2770,2770,2770,2770,2770,2770,2770
转向辅助灯,●,●,●,●,●,●,●,●,●
转向头灯,-,-,-,-,-,-,-,-,-
车顶行李架,●,-,●,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5,5,5,5
车道偏离预警系统,●,-,-,-,-,-,-,-,●
车载空气净化器,●,-,-,-,-,-,-,-,●
车载电视,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●
车联网,●,-,-,-,●,-,-,●,●
车窗防夹手功能,●,-,●,●,●,●,●,●,●
车窗一键升降,全车,-,全车,全车,全车,全车,全车,全车,全车
车型名称,中华V7 2018款 280T DCT旗舰型 5座,中华V7 2018款 280T 手动精英型 5座,中华V7 2018款 280T 手动豪华型 5座,中华V7 2018款 280T DCT豪华型 5座,中华V7 2018款 280T DCT尊贵型 5座,中华V7 2018款 280T 手动豪华型 7座,中华V7 2018款 280T DCT豪华型 7座,中华V7 2018款 280T DCT尊贵型 7座,中华V7 2018款 280T DCT旗舰型 7座
车内空气调节/花粉过滤,●,●,●,●,●,●,●,●,●
车内氛围灯,●,-,-,-,●,-,-,●,●
车内中控锁,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
行车电脑显示屏,●,●,●,●,●,●,●,●,●
行程(mm),-,-,-,-,-,-,-,-,-
