Feature,42104,42105,48651,48652,48653,48655,48656,48657,48658,48659,48660,48661,49615,49616,52746,56938,57449,57450,57451,57452,58700,59423,59502,59503
高度(mm),1468,1468,1462,1462,1462,1462,1462,1473,1462,1462,1462,1473,1468,1468,1462,1478,1478,1478,1478,1478,1478,1478,1478,1478
驾驶辅助影像,,,-,-,,,,,,,,,-,-,,,,,,,,,,
驾驶模式切换,-,,,-,-,,,,,,,,-,,,,-,,,,,,,
驻车制动类型,手刹,手刹,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,手刹,手刹,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4562,4562,4663,4663,4663,4663,4663,4663,4663,4663,4663,4663,4562,4562,4663,4672,4672,4672,4672,4672,4672,4672,4672,4672
长*宽*高(mm),4562*1793*1468,4562*1793*1468,4663*1815*1462,4663*1815*1462,4663*1815*1462,4663*1815*1462,4663*1815*1462,4663*1815*1473,4663*1815*1462,4663*1815*1462,4663*1815*1462,4663*1815*1473,4562*1793*1468,4562*1793*1468,4663*1815*1462,4672*1815*1478,4672*1815*1478,4672*1815*1478,4672*1815*1478,4672*1815*1478,4672*1815*1478,4672*1815*1478,4672*1815*1478,4672*1815*1478
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,
辅助驾驶等级,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,,-,,-,-
轴距(mm),2614,2614,2688,2688,2688,2688,2688,2688,2688,2688,2688,2688,2614,2614,2688,2688,2688,2688,2688,2688,2688,2688,2688,2688
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,●,●,●,●,●,●,●,●,-,-,●,●,-,-,●,●,-,●,●,●
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,●,-,●,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,●,-,●,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,●,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,-,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,,,,,,,,,,
车型名称,宝来 2019款 宝来·传奇 1.5L 手动领先型 国VI,宝来 2019款 宝来·传奇 1.5L 自动领先型 国VI,宝来 2021款 1.5L 自动时尚智联版,宝来 2021款 1.5L 手动时尚智联版,宝来 2021款 1.5L 手动舒适智联版,宝来 2021款 1.5L 自动舒适智联版,宝来 2021款 1.5L 自动精英智联版,宝来 2021款 1.5L 自动豪华智联版,宝来 2021款 200TSI DSG舒适智联版,宝来 2021款 200TSI DSG精英智联版,宝来 2021款 280TSI DSG精英智联版,宝来 2021款 280TSI DSG豪华智联版,宝来 2019款 改款 宝来·传奇 1.5L 手动时尚型 国VI,宝来 2019款 改款 宝来·传奇 1.5L 自动时尚型 国VI,宝来 2021款 1.5L 自动30周年纪念版,2023款 280TSI DSG尊行版,宝来 2023款 200TSI 手动畅行版,宝来 2023款 200TSI DSG畅行版,宝来 2023款 200TSI DSG智行版,宝来 2023款 200TSI DSG智行PRO版,宝来 2023款 1.5L 自动畅行限量版,2023款 300TSI DSG尊行版,宝来 2023款 200TSI DSG悦行版,宝来 2023款 200TSI DSG悦行PRO版
车前雾灯,-,-,-,-,,,,,,,,,-,-,,,-,-,,,-,,,
车内环境氛围灯,-,-,-,-,,,,,,,,,-,-,,,-,-,,,-,,,
车内化妆镜,,,,,,,,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,-,-,-,-,,,,,,,,,-,-,-,,-,-,,,-,,,
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●
自动头灯,-,-,-,-,-,-,-,●,-,-,-,●,-,-,-,●,●,●,●,●,●,●,●,●
能量回收系统,-,-,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,,,,,,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
