Feature,48999,51426,51428,58160,58161,58162,58163,58164,61997,61998,61999,62000,62001,62002,62003
高度(mm),1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565
驾驶辅助影像,,,,,,-,-,-,-,,,-,,,
驾驶模式切换,,,,,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
面部识别,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4390,4390,4390,4390,4390,4390,4390,4390,4390,4390,4390,4390,4390,4390,4390
长*宽*高(mm),4390*1795*1565,4390*1795*1565,4390*1795*1565,4390*1795*1565,4390*1795*1565,4390*1795*1565,4390*1795*1565,4390*1795*1565,4390*1795*1565,4390*1795*1565,4390*1795*1565,4390*1795*1565,4390*1795*1565,4390*1795*1565,4390*1795*1565
钥匙类型,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远程启动功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
辅助驾驶系统,,,,,,-,,,,,,,,,
辅助驾驶等级,,,,,,-,,,,,,,,,
轴距(mm),2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640
轮圈材质,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●
车载空气净化器,●,-,●,-,●,-,-,●,-,-,-,●,●,●,●
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,-,-,-,-,-,-,-,-,-,-,-,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,
车型名称,丰田C-HR 2021款 双擎 2.0L E-CVT尊贵版,丰田C-HR 2021款 2.0L 豪华版,丰田C-HR 2021款 双擎 2.0L E-CVT豪华版,丰田C-HR 2022款 2.0L 领先版,丰田C-HR 2022款 双擎 2.0L E-CVT领先版,丰田C-HR 2022款 2.0L 精英版,丰田C-HR 2022款 2.0L 舒适版,丰田C-HR 2022款 双擎 2.0L E-CVT舒适版,丰田C-HR 2023款 2.0L 舒适版,丰田C-HR 2023款 2.0L 领先版,丰田C-HR 2023款 2.0L 豪华版,丰田C-HR 2023款 2.0L智能电混双擎 舒适版,丰田C-HR 2023款 2.0L智能电混双擎 领先版,丰田C-HR 2023款 2.0L智能电混双擎 豪华版,丰田C-HR 2023款 2.0L智能电混双擎 尊贵版
车前雾灯,,,,-,-,-,-,-,-,-,,-,-,,
车内香氛装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,●,-,●,-,●,-,-,●,-,-,-,●,●,●,●
语音识别控制系统,,,,-,-,-,-,-,-,-,-,-,-,-,
触摸式阅读灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
被动行人保护,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,
行程(mm),-,97.6,-,97.6,-,97.6,97.6,-,97.6,97.6,97.6,-,-,-,-
行李厢12V电源接口,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
膝部气囊,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
能量回收系统,●,-,●,-,●,-,-,●,-,-,-,●,●,●,●
能源类型,油电混合,汽油,油电混合,汽油,油电混合,汽油,汽油,油电混合,汽油,汽油,汽油,油电混合,油电混合,油电混合,油电混合
胎压监测功能,,,,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,80.5,-,80.5,-,80.5,80.5,-,80.5,80.5,80.5,-,-,-,-
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV
系统综合功率(kW),135,-,135,-,135,-,-,135,-,-,-,135,135,135,135
简称,E-CVT无级变速,CVT无级变速(模拟10挡),E-CVT无级变速,CVT无级变速(模拟10挡),E-CVT无级变速,CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),E-CVT无级变速,CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
