Feature,1013272,1013273,1013274,1013275,1013276,1013277,1013278,1013279,1013280,1013281,1013282,1013283,1013284,1013285,1013286,1014396,1014397,1014398,1014399,1015325,1015326,1015327
高度(mm),2030,2030,2030,2030,2030,2030,2020,2020,2020,2020,2020,2020,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030
驾驶辅助影像,,,,,,,,,,,,,,,,,,,,,,
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5245,5245,5245,5245,5245,5245,5245,5245,5245,5245,5245,5245,5245,5245,5245,5245,5245,5245,5245,5245,5245,5245
长*宽*高(mm),5245×1825×2030,5245×1825×2030,5245×1825×2030,5245×1825×2030,5245×1825×2030,5245×1825×2030,5245×1825×2020,5245×1825×2020,5245×1825×2020,5245×1825×2020,5245×1825×2020,5245×1825×2020,5245×1825×2030,5245×1825×2030,5245×1825×2030,5245×1825×2030,5245×1825×2030,5245×1825×2030,5245×1825×2030,5245*1825*2030,5245*1825*2030,5245*1825*2030
钥匙类型,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430
轮圈材质,,,,,,,,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
车载电视,-,-,-,-,○,○,○,○,-,-,-,-,○,-,-,-,-,-,-,-,○,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,客车,客车,客车,客车,客车,客车,客车,客车,货车,客车,客车,客车,客车,客车,货车,客车,客车,客车,客车,客车,客车
车身结构_x,货车,客车,客车,客车,客车,客车,客车,客车,客车,货车,客车,客车,客车,客车,客车,货车,客车,客车,客车,客车,客车,客车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,风景G5 2022款 2.0L汽油商运版厢货2座1TZS,风景G5 2022款 2.0L汽油商运版明窗5/6座1TZS,风景G5 2022款 2.0L汽油商运版明窗10座1TZS,风景G5 2022款 2.0L汽油商旅版客车7/9座1TZS,风景G5 2022款 2.0L汽油专业版明窗10座1TZS,风景G5 2022款 2.0L汽油专业版明窗5-9座1TZS,风景G5 2022款 2.4L汽油专业版明窗10座4K22D4M,风景G5 2022款 2.4L汽油专业版明窗5-9座4K22D4M,风景G5 2022款 2.4L汽油商旅版客车7/9座4K22D4M,风景G5 2022款 2.4L汽油商运版厢货2座4K22D4M,风景G5 2022款 2.4L汽油商运版明窗5/6座4K22D4M,风景G5 2022款 2.4L汽油商运版明窗10座4K22D4M,风景G5 2022款 2.0T柴油专业版明窗5-9座4F20TC3,风景G5 2022款 2.0T柴油商旅版客车7/9座4F20TC3,风景G5 2022款 2.0T柴油商运版明窗5/6座4F20TC3,风景G5 2023款 2.0L汽油商运版厢货2座DAN20L,风景G5 2023款 2.0L汽油商运版明窗5/6座DAN20L,风景G5 2023款 2.0L汽油商运版明窗10座DAN20L,风景G5 2023款 2.0L汽油商运版客车7/9座DAN20L,风景G5 2023款 2.0L汽油商旅版营运7/9座DAN20L,风景G5 2023款 2.0L汽油商旅专业版明窗5/9座DAN20L,风景G5 2023款 2.0L汽油商旅专业版明窗10座DAN20L
车前雾灯,,,,,,,,,,,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-
车内化妆镜,,,,,,,,,,,,,,,,,,,,,,
车内中控锁,○,○,○,●,○,○,○,○,●,○,○,○,○,●,○,○,○,○,●,●,○,○
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,●,○,○
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
