Feature,49283,49284,57359,58125,58126,58127,58128,58699,60971,61863,61864,61865,61866,61867
高度(mm),1734,1770,1770,1770,1770,1770,1770,1773,1773,1773,1773,1773,1773,1773
驾驶辅助影像,-,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,-,-,-,-,-,-,-,-,单电机,-,-,单电机,单电机,单电机
驱动方式,前置前驱,前置前驱,前置四驱,前置前驱,前置前驱,前置四驱,前置四驱,前置四驱,前置四驱,前置前驱,前置前驱,前置前驱,前置前驱,前置四驱
首任车主质保政策,-,-,-,-,-,-,-,-,-,-,-,-,-,-
面部识别,-,-,-,-,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,●,●,●,●,●,●,●
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4878,4878,4878,4878,4878,4878,4878,5000,5000,5000,5000,5000,5000,5000
长*宽*高(mm),4878*1925*1734,4878*1925*1770,4878*1925*1770,4878*1925*1770,4878*1925*1770,4878*1925*1770,4878*1925*1770,5000*1961*1773,5000*1961*1773,5000*1961*1773,5000*1961*1773,5000*1961*1773,5000*1961*1773,5000*1961*1773
钥匙类型,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,●,●,●,●,●,●,●
道路交通标识识别,-,-,-,●,●,●,●,●,●,●,●,-,●,●
远程启动功能,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,●,-,●,-,-,●,-,-,●,-,-
辅助驾驶等级,-,-,-,,,,,,,,,-,,
轴距(mm),2850,2850,2850,2850,2850,2850,2850,2950,2950,2950,2950,2950,2950,2950
轮圈材质,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,●,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,●,●,●,●,●,●,●,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,-,-,●,●,●,●,●,●,●,●,-,●,●
车道偏离预警系统,-,-,-,●,●,●,●,●,●,●,●,-,●,●
车道保持辅助系统,-,-,-,●,●,●,●,●,●,●,●,-,●,●
车载空气净化器,-,-,-,●,●,●,●,-,●,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,
车型名称,锐界 2021款 PLUS EcoBoost 245 两驱精锐型 5座,锐界 2021款 PLUS EcoBoost 245 两驱铂锐型 5座,锐界 2022款 PLUS EcoBoost 245 四驱铂锐型 7座,锐界 2021款 改款 PLUS EcoBoost 245 两驱ST-Line 5座,锐界 2021款 改款 PLUS EcoBoost 245 两驱豪锐型 7座,锐界 2021款 改款 PLUS EcoBoost 245 四驱ST-Line 7座,锐界 2021款 改款 PLUS EcoBoost 245 四驱尊锐型 7座,锐界 2023款 锐界L 2.0T EcoBoost 四驱七座至尊型,锐界 2023款 锐界L 2.0T EcoBoost E-混动四驱七座 STLine,锐界 2023款 锐界L 2.0T EcoBoost 两驱五座时尚型,锐界 2023款 锐界L 2.0T EcoBoost 两驱七座豪华型,锐界 2023款 锐界L 2.0T EcoBoost E-混动两驱七座风尚型,锐界 2023款 锐界L 2.0T EcoBoost E-混动两驱七座豪华型,锐界 2023款 锐界L 2.0T EcoBoost E-混动四驱七座至尊型
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内香氛装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,,,,,,,,,,,
车内化妆镜,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,-,-,-,-,-,-,-,-,-,-,-,-,-,-
语音识别控制系统,,,,,,,,,,,,,,
触摸式阅读灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
被动行人保护,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,
行李厢12V电源接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,●,●,●,●,●,●,●,●,-,●,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,-,-,-,-,-,-,●,●,●,-,-,-,-,●
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动变道辅助,-,-,-,-,-,-,●,-,○,-,-,-,-,-
膝部气囊,●,●,●,●,●,●,●,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,汽油,汽油,油电混合,油电混合,油电混合
胎压监测功能,,,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
简称,8挡自动,8挡自动,8挡自动,8挡手自一体,8挡自动,8挡手自一体,8挡自动,8挡自动,E-CVT无级变速,8挡自动,8挡自动,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
第二排独立座椅,-,-,-,-,-,-,-,●,●,-,-,-,-,●
第二排座椅调节,,,,,,,,,,,,,,
第二排座椅电动调节,-,-,-,-,-,-,-,●,●,-,-,-,-,●
第二排座椅功能,-,-,-,-,-,-,,,,-,-,-,-,
空调温度控制方式,,,,,,,,,,,,,,
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-
离去角(°),23,23,23,23,23,23,23,22,21,22,22,21,21,21
百公里耗电量(kWh/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-
疲劳驾驶提示,-,-,-,●,●,●,●,●,●,●,●,-,●,●
电芯品牌,-,-,-,-,-,-,-,-,比亚迪,-,-,比亚迪,比亚迪,比亚迪
电磁感应悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池能量(kWh),-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池组质保,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池类型,-,-,-,-,-,-,-,-,三元锂电池,-,-,三元锂电池,三元锂电池,三元锂电池
电池冷却方式,-,-,-,-,-,-,-,-,液冷,-,-,液冷,液冷,液冷
电机类型,-,-,-,-,-,-,-,-,永磁/同步,-,-,永磁/同步,永磁/同步,永磁/同步
电机布局,-,-,-,-,-,-,-,-,前置,-,-,前置,前置,前置
电动机总扭矩(N·m),-,-,-,-,-,-,-,-,320,-,-,320,320,320
电动机总功率(kW),-,-,-,-,-,-,-,-,140,-,-,140,140,140
电动机总功率(Ps),-,-,-,-,-,-,-,-,190,-,-,190,190,190
电动机(Ps),-,-,-,-,-,-,-,-,190,-,-,190,190,190
电动扰流板,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,,-,,-,-,-,-,-
电动吸合车门,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,●,●,●,●,●,●,-,●,-,●,●
电动后备厢,-,-,-,●,●,●,●,●,●,-,●,-,●,●
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,汽油,汽油,油电混合,油电混合,油电混合
灯光特色功能,-,-,-,-,-,-,,-,-,-,-,-,-,-
温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,,,,,,,,
油箱容积(L),69,69,69,69,69,69,69,75,75,75,75,75,75,75
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),192,192,192,192,192,192,192,193,193,193,193,193,193,193
最小转弯半径(m),-,-,-,-,-,-,-,5.9,5.9,5.9,5.9,5.9,5.9,5.9
最大马力(Ps),245,245,245,245,245,245,245,252,275,252,252,275,275,275
最大满载质量(kg),2514,2514,2589,2520,2520,2615,2615,2675,2750,2530,2530,2660,2660,2750
最大扭矩转速(rpm),2500-3500,2500-3500,2500-3500,2500-3500,2500-3500,2500-3500,2500-3500,2000-4500,3000-4000,2000-4500,2000-4500,3000-4000,3000-4000,3000-4000
最大扭矩(N·m)_y,390,390,390,390,390,390,390,378,405,378,378,405,405,405
最大扭矩(N·m)_x,390,390,390,390,390,390,390,378,-,378,378,-,-,-
最大功率转速(rpm),5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500
最大功率(kW)_y,180,180,180,180,180,180,180,185,202,185,185,202,202,202
最大功率(kW)_x,180,180,180,180,180,180,180,185,-,185,185,-,-,-
最大净功率(kW),180,180,180,180,180,180,180,183,200,183,183,200,200,200
无钥匙进入功能,,,,,,,,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,●,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,
方向盘换挡,-,-,-,●,-,●,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,●,-,●,-,-,-,-,-
方向盘位置调节,,,,,,,,,,,,,,
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,-,-,-,-,-,-,-
整备质量(kg),1850,1916,2029,1933,1970,2062,2062,2084,2152,1945,1990,2039,2058,2152
接近角(°),22,22,22,22,22,22,22,21,19,21,21,19,19,19
排量(mL),1999,1999,1999,1999,1999,1999,1999,1995,1995,1995,1995,1995,1995,1995
换电,-,-,-,-,-,-,-,-,不支持,-,-,不支持,不支持,不支持
换挡形式,,,,,,,,,,,,,,
挡位个数,8,8,8,8,8,8,8,8,无级变速,8,8,无级变速,无级变速,无级变速
扬声器数量,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,,,,,,-,-,-,-,
手机无线充电功能,-,-,-,,,,,,,-,-,-,-,
手机互联/映射,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机APP远程功能,-,-,-,-,-,-,-,,,,,,,
手势控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-
慢充时间(小时),-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷功能,-,-,-,,,,,,,,,,,
感应后备厢,-,-,-,●,●,●,●,●,●,-,-,-,-,●
快充电量(%),-,-,-,-,-,-,-,-,-,-,-,-,-,-
快充时间(小时),-,-,-,-,-,-,-,-,-,-,-,-,-,-
快充功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅材质,,,,,,,,,,,,,,
座椅布局,-,-,,-,,,,,,-,,,,
座位数(个),5,5,7,5,7,7,7,7,7,5,7,7,7,7
并线辅助,-,-,-,-,-,-,●,●,●,-,-,-,-,●
巡航系统,,,,,,,,,,,,-,,
导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●,●,●,●
宽度(mm),1925,1925,1925,1925,1925,1925,1925,1961,1961,1961,1961,1961,1961,1961
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提醒,,,,,,,,,,,,,,
天窗类型,-,,,,,,,,,,,,,
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●
多层隔音玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多媒体/充电接口,,,,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,,,,,,
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,-,非全尺寸,非全尺寸,-,-,-
地图品牌,-,-,-,-,-,-,-,,,,,,,
四驱形式,-,-,适时四驱,-,-,适时四驱,适时四驱,适时四驱,适时四驱,-,-,-,-,适时四驱
