Feature,35172,37591,37592
高度(mm),1665,1665,1665
驻车制动类型,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱
长度(mm),4720,4720,4720
长*宽*高(mm),4720*1845*1665,4720*1845*1665,4720*1845*1665
配气机构,DOHC,DOHC,DOHC
进气形式,涡轮增压,涡轮增压,涡轮增压
轴距(mm),2705,2705,2705
车门数(个),5,5,5
车身结构_y,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV
车型名称,长安CS85 COUPE 2019款 2.0T 智版,长安CS85 COUPE 2019款 2.0T 动版,长安CS85 COUPE 2019款 2.0T 品版
车体结构,承载式,承载式,承载式
行程(mm),-,-,-
行李厢容积(L),-,-,-
能源类型,汽油,汽油,汽油
缸盖材料,铝合金,铝合金,铝合金
缸径(mm),-,-,-
缸体材料,铸铁,铸铁,铸铁
级别,中型SUV,中型SUV,中型SUV
简称,8挡手自一体,8挡手自一体,8挡手自一体
环保标准,国V,国V,国V
燃油标号,92号,92号,92号
燃料形式,汽油,汽油,汽油
油箱容积(L),-,-,-
气缸数(个),4,4,4
气缸排列形式,L,L,L
每缸气门数(个),4,4,4
最高车速(km/h),-,-,-
最小离地间隙(mm),-,-,-
最大马力(Ps),233,233,233
最大扭矩转速(rpm),-,-,-
最大扭矩(N·m)_y,360,360,360
最大扭矩(N·m)_x,360,360,360
最大功率转速(rpm),-,-,-
最大功率(kW)_y,171,171,171
最大功率(kW)_x,171,171,171
整备质量(kg),1730,-,-
排量(mL),1998,1998,1998
挡位个数,8,8,8
座位数(个),5,5,5
工信部综合油耗(L/100km),7.9,-,-
宽度(mm),1845,1845,1845
实测油耗(L/100km),-,-,-
实测100-0km/h制动(m),40.67,-,-
实测0-100km/h加速(s),8.65,-,-
官方0-100km/h加速(s),-,-,-
备胎规格,非全尺寸,非全尺寸,非全尺寸
后轮距(mm),1565,1565,1565
后轮胎规格,225/55 R19,225/55 R19,225/55 R19
后悬架类型,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架
后制动器类型,盘式,盘式,盘式
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
变速箱,8挡手自一体,8挡手自一体,8挡手自一体
发动机特有技术,-,-,-
发动机型号,JL486ZQ3,JL486ZQ3,JL486ZQ3
发动机,2.0T 233马力 L4,2.0T 233马力 L4,2.0T 233马力 L4
压缩比,-,-,-
厂商指导价(元),17.19万,14.99万,15.79万
厂商,长安汽车,长安汽车,长安汽车
助力类型,电动助力,电动助力,电动助力
前轮距(mm),1565,1565,1565
前轮胎规格,225/55 R19,225/55 R19,225/55 R19
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
前制动器类型,通风盘式,通风盘式,通风盘式
供油方式,直喷,直喷,直喷
