,1003604,1003605,1003606,1003607,1003608,1003609,1003610,1003611,1003612,1003613,1003614,1003615,1003616,1003617,1003618,1003619,1003620,1003621,1003622,1003623,1003624,1003625,1003626,1003627
第二排座椅移动,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排座椅加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排座椅通风,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排座椅按摩,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后中央扶手,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GPS导航系统,-,-,-,-,●,●,●,●,-,-,-,-,●,●,●,●,-,-,●,●,-,-,●,●
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中控台彩色大屏,-,-,-,-,●,●,●,●,-,-,-,-,●,●,●,●,-,-,●,●,-,-,●,●
蓝牙/车载电话,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
220V/230V电源,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外接音源接口,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX,USB+AUX,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX,USB+AUX,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽
CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
扬声器品牌,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
扬声器数量,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
LED日间行车灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前雾灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯高度可调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线/隔热玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后视镜加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
内/外后视镜自动防眩目,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动折叠,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
遮阳板化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调控制方式,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后座出风口,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内空气调节/花粉过滤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,东风皮卡 2015款 2.8T P68 两驱标准型ZD28D11-4DA,东风皮卡 2015款 2.2L P68 两驱标准型JM491Q-ME,东风皮卡 2015款 2.8T P68 两驱标准型加长ZD28D11-4DA,东风皮卡 2015款 2.2L P68 两驱标准型加长JM491Q-ME,东风皮卡 2015款 2.8T P68 两驱精英型ZD28D11-4DA,东风皮卡 2015款 2.2L P68 两驱精英型JM491Q-ME,东风皮卡 2015款 2.8T P68 两驱精英型加长ZD28D11-4DA,东风皮卡 2015款 2.2L P68 两驱精英型加长JM491Q-ME,东风皮卡 2015款 2.8T P68 两驱豪华型ZD28D11-4DA,东风皮卡 2015款 2.2L P68 两驱豪华型JM491Q-ME,东风皮卡 2015款 2.8T P68 两驱豪华型加长ZD28D11-4DA,东风皮卡 2015款 2.2L P68 两驱豪华型加长JM491Q-ME,东风皮卡 2015款 2.8T P68 两驱旗舰型ZD28D11-4DA,东风皮卡 2015款 2.2L P68 两驱旗舰型JM491Q-ME,东风皮卡 2015款 2.8T P68 两驱旗舰型加长ZD28D11-4DA,东风皮卡 2015款 2.2L P68 两驱旗舰型加长JM491Q-ME,东风皮卡 2015款 2.8T P68 四驱豪华型ZD28D11-4DA,东风皮卡 2015款 2.8T P68 四驱豪华型加长ZD28D11-4DA,东风皮卡 2015款 2.8T P68 四驱旗舰型ZD28D11-4DA,东风皮卡 2015款 2.8T P68 四驱旗舰型加长ZD28D11-4DA,东风皮卡 2015款 2.4T P66 两驱标准型4D25U,东风皮卡 2015款 2.4T P66 两驱标准型加长4D25U,东风皮卡 2015款 2.4T P66 两驱精英型4D25U,东风皮卡 2015款 2.4T P66 两驱精英型加长4D25U
厂商指导价(元),7.68万,6.65万,7.78万,6.75万,8.18万,7.15万,8.28万,7.25万,7.88万,6.85万,7.98万,6.85万,8.38万,7.35万,8.48万,7.35万,9.68万,9.78万,10.38万,10.48万,6.88万,6.98万,7.38万,7.48万
厂商,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车
级别,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
能源类型,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油
上市时间,2015.08,2015.08,2015.08,2015.08,2015.08,2015.08,2015.08,2015.08,2015.08,2015.08,2015.08,2015.08,2015.08,2015.08,2015.08,2015.08,2015.08,2015.08,2015.08,2015.08,2015.08,2015.08,2015.08,2015.08
工信部纯电续驶里程(km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大功率(kW)_x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩(N·m)_x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,2.8T 116马力 L4,2.2L 103马力 L4,2.8T 116马力 L4,2.2L 103马力 L4,2.8T 116马力 L4,2.2L 103马力 L4,2.8T 116马力 L4,2.2L 103马力 L4,2.8T 116马力 L4,2.2L 103马力 L4,2.8T 116马力 L4,2.2L 103马力 L4,2.8T 116马力 L4,2.2L 103马力 L4,2.8T 116马力 L4,2.2L 103马力 L4,2.8T 116马力 L4,2.8T 116马力 L4,2.8T 116马力 L4,2.8T 116马力 L4,2.4T 82马力 L4,2.4T 82马力 L4,2.4T 82马力 L4,2.4T 82马力 L4
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
长*宽*高(mm),5040×1720×1735,5040×1720×1735,5395×1720×1735,5395×1720×1735,5040×1720×1735,5040×1720×1735,5395×1720×1735,5395×1720×1735,5040×1720×1735,5040×1720×1735,5395×1720×1735,5395×1720×1735,5040×1720×1735,5040×1720×1735,5395×1720×1735,5395×1720×1735,5040×1720×1735,5395×1720×1735,5040×1720×1735,5395×1720×1735,5040×1720×1735,5395×1720×1735,5040×1720×1735,5395×1720×1735
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
最高车速(km/h),130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
工信部综合油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,两年或5万公里,两年或5万公里,两年或5万公里,两年或5万公里,两年或5万公里,两年或5万公里,两年或5万公里,两年或5万公里,两年或5万公里,两年或5万公里,两年或5万公里,两年或5万公里,两年或5万公里,两年或5万公里,两年或5万公里,两年或5万公里,两年或5万公里,两年或5万公里,两年或5万公里,两年或5万公里,两年或5万公里,两年或5万公里,两年或5万公里,两年或5万公里
长度(mm),5040,5040,5395,5395,5040,5040,5395,5395,5040,5040,5395,5395,5040,5040,5395,5395,5040,5395,5040,5395,5040,5395,5040,5395
宽度(mm),1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720
高度(mm),1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735
轴距(mm),3025,3025,3380,3380,3025,3025,3380,3380,3025,3025,3380,3380,3025,3025,3380,3380,3025,3380,3025,3380,3025,3380,3025,3380
前轮距(mm),1439,1439,1439,1439,1439,1439,1439,1439,1439,1439,1439,1439,1439,1439,1439,1439,1439,1439,1439,1439,1439,1439,1439,1439
后轮距(mm),1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466
最小离地间隙(mm),220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220
整备质量(kg),1670,1600,1670,1600,1670,1600,1670,1600,1670,1600,1670,1600,1670,1600,1670,1600,1670,1670,1670,1670,1670,1670,1670,1670
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
后排车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
油箱容积(L),58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
货箱尺寸(mm),1380x1460x475,1380x1460x475,1735x1460x475,1735x1460x475,1380x1460x475,1380x1460x475,1735x1460x475,1735x1460x475,1380x1460x475,1380x1460x475,1735x1460x475,1735x1460x475,1380x1460x475,1380x1460x475,1735x1460x475,1735x1460x475,1380x1460x475,1735x1460x475,1380x1460x475,1735x1460x475,1380x1460x475,1735x1460x475,1380x1460x475,1735x1460x475
最大载重质量(kg),495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
挡位个数,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱
前悬架类型,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂
后悬架类型,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧
助力类型,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
前制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式
前轮胎规格,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15
后轮胎规格,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15
发动机型号,ZD28D11-4DA,JM491Q-ME,ZD28D11-4DA,JM491Q-ME,ZD28D11-4DA,JM491Q-ME,ZD28D11-4DA,JM491Q-ME,ZD28D11-4DA,JM491Q-ME,ZD28D11-4DA,JM491Q-ME,ZD28D11-4DA,JM491Q-ME,ZD28D11-4DA,JM491Q-ME,ZD28D11-4DA,ZD28D11-4DA,ZD28D11-4DA,ZD28D11-4DA,4D25U,4D25U,4D25U,4D25U
