Feature,1006604,1006978,1006979,1006980,1006981,1006982,1006983,1006984
高度(mm),1760,1760,1760,1760,1760,1760,1760,1760
驱动电机数,-,-,-,-,-,-,-,-
驱动方式,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱
零胎压继续行驶,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-,-,-
长度(mm),5395,5395,5095,5395,5095,5395,5095,5095
长*宽*高(mm),5395×1800×1760,5395×1800×1760,5095×1800×1760,5395×1800×1760,5095×1800×1760,5395×1800×1760,5095×1800×1760,5095×1800×1760
铝合金轮圈,●,●,●,●,●,●,●,●
配气机构,未知,未知,未知,未知,未知,未知,未知,未知
遮阳板化妆镜,-,-,-,-,-,-,-,-
遥控钥匙,●,●,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-,-,-
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
运动风格座椅,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-
轴距(mm),3350,3350,3050,3350,3050,3350,3050,3050
转向辅助灯,●,●,●,●,●,●,●,●
转向头灯,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4
车载电视,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●
车窗防夹手功能,●,-,-,●,●,-,-,●
车型名称,风骏7 2018款 2.0T四驱领航型长货厢,风骏7 2018款 2.0T两驱精英型长货厢,风骏7 2018款 2.0T两驱精英型标准货厢,风骏7 2018款 2.0T两驱领航型长货厢,风骏7 2018款 2.0T两驱领航型标准货厢,风骏7 2018款 2.0T四驱精英型长货厢,风骏7 2018款 2.0T四驱精英型标准货厢,风骏7 2018款 2.0T四驱领航型标准货厢
车内空气调节/花粉过滤,●,●,●,●,●,●,●,●
车内氛围灯,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),1680x1460x480,1680x1460x480,1380x1460x480,1680x1460x480,1380x1460x480,1680x1460x480,1380x1460x480,1380x1460x480
行车电脑显示屏,●,●,●,●,●,●,●,●
行程(mm),-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-
自动头灯,●,-,-,●,●,-,-,●
膝部气囊,-,-,-,-,-,-,-,-
腰部支撑调节,-,-,-,-,-,-,-,-
能源类型,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油
胎压监测装置,●,●,●,●,●,●,●,●
肩部支撑调节,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
级别,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
