,29336,29337,29338,29339,29357,29358,29359,29360,30729,30730,30731,30732,30733,30734,32720,32721,34670,34671
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副-,-,主●&nbsp;/&nbsp;副-,-,-,主●&nbsp;/&nbsp;副-,-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,-,主●&nbsp;/&nbsp;副-
第二排靠背角度调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
第二排座椅移动,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排座椅加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排座椅通风,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排座椅按摩,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第三排座椅,2座,2座,2座,2座,-,-,-,-,-,2座,-,2座,2座,2座,2座,-,2座,2座
后排座椅放倒方式,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
可加热/制冷杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GPS导航系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
定位互动服务,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中控台彩色大屏,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
中控台彩色大屏尺寸,8英寸,8英寸,8英寸,8英寸,8英寸,8英寸,8英寸,8英寸,8英寸,8英寸,8英寸,8英寸,8英寸,8英寸,8英寸,8英寸,-,-
中控液晶屏分屏显示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
手机互联/映射,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
220V/230V电源,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外接音源接口,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB,USB
CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
扬声器品牌,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
扬声器数量,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
LED日间行车灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前雾灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗一键升降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线/隔热玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后视镜加热,●,-,●,-,-,●,-,●,-,-,●,●,-,●,●,●,-,●
内/外后视镜自动防眩目,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
流媒体车内后视镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动折叠,●,-,●,-,-,●,-,●,-,-,●,●,-,●,●,●,-,●
后视镜记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
感应雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调控制方式,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内空气调节/花粉过滤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,揽福 2017款 1.9T 柴油手动四驱旗舰版 7座,揽福 2017款 1.9T 柴油手动两驱豪华版 7座,揽福 2017款 1.9T 柴油手动两驱旗舰版 7座,揽福 2017款 1.9T 柴油手动四驱豪华版 7座,揽福 2017款 1.9T 柴油手动两驱豪华版 5座,揽福 2017款 1.9T 柴油手动两驱旗舰版 5座,揽福 2017款 1.9T 柴油手动四驱豪华版 5座,揽福 2017款 1.9T 柴油手动四驱旗舰版 5座,揽福 2017款 2.0T 汽油手动两驱豪华版 5座,揽福 2017款 2.0T 汽油手动两驱豪华版 7座,揽福 2017款 2.0T 汽油手动两驱旗舰版 5座,揽福 2017款 2.0T 汽油手动两驱旗舰版 7座,揽福 2017款 2.0T 汽油手动四驱豪华版 7座,揽福 2017款 2.0T 汽油手动四驱旗舰版 7座,揽福 2018款 1.9T 柴油自动两驱旗舰型 7座,揽福 2017款 2.0T 汽油手动四驱旗舰版 5座,揽福 2018款 2.4L 汽油手动两驱旗舰版 7座,揽福 2018款 2.4L 汽油手动四驱旗舰版 7座
厂商指导价(元),14.48万,12.38万,12.98万,13.88万,11.98万,12.58万,13.48万,14.08万,11.38万,11.68万,12.18万,12.58万,13.48万,14.08万,14.98万,13.78万,10.88万,11.98万
厂商,福迪汽车,福迪汽车,福迪汽车,福迪汽车,福迪汽车,福迪汽车,福迪汽车,福迪汽车,福迪汽车,福迪汽车,福迪汽车,福迪汽车,福迪汽车,福迪汽车,福迪汽车,福迪汽车,福迪汽车,福迪汽车
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
能源类型,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,汽油,汽油,汽油
上市时间,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.06,2017.06,2017.06,2017.06,2017.06,2017.06,2018.03,2017.11,2018.05,2018.05
最大功率(kW)_x,110,110,110,110,110,110,110,110,160,160,160,160,160,160,110,160,100,100
最大扭矩(N·m)_x,350,350,350,350,350,350,350,350,280,280,280,280,280,280,350,280,200,200
发动机,1.9T 150马力 L4,1.9T 150马力 L4,1.9T 150马力 L4,1.9T 150马力 L4,1.9T 150马力 L4,1.9T 150马力 L4,1.9T 150马力 L4,1.9T 150马力 L4,2.0T 218马力 L4,2.0T 218马力 L4,2.0T 218马力 L4,2.0T 218马力 L4,2.0T 218马力 L4,2.0T 218马力 L4,1.9T 150马力 L4,2.0T 218马力 L4,2.4L 136马力 L4,2.4L 136马力 L4
变速箱,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡自动,6挡手动,5挡手动,5挡手动
长*宽*高(mm),4771*1870*1828,4771*1870*1828,4771*1870*1828,4771*1870*1828,4771*1870*1828,4771*1870*1828,4771*1870*1828,4771*1870*1828,4771*1870*1828,4771*1870*1828,4771*1870*1828,4771*1870*1828,4771*1870*1828,4771*1870*1828,4771*1870*1828,4771*1870*1828,4771*1870*1828,4771*1870*1828
车身结构_x,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门7座SUV
最高车速(km/h),160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,-,160,160
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
实测0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),8,8,8,8,8,8,8,8,9.3,9.6,9.3,9.6,9.6,9.6,8.1,-,9.4,9.4
实测油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里
长度(mm),4771,4771,4771,4771,4771,4771,4771,4771,4771,4771,4771,4771,4771,4771,4771,4771,4771,4771
宽度(mm),1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870
高度(mm),1828,1828,1828,1828,1828,1828,1828,1828,1828,1828,1828,1828,1828,1828,1828,1828,1828,1828
轴距(mm),2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790
前轮距(mm),1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580
后轮距(mm),1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580
最小离地间隙(mm),217,217,217,217,217,217,217,217,217,217,217,217,217,217,200,217,217,217
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
座位数(个),7,7,7,7,5,5,5,5,5,7,5,7,7,7,7,5,7,7
油箱容积(L),72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
行李厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整备质量(kg),2000,1910,1910,2000,1910,1910,2000,2000,1900,1900,1900,1900,1965,1965,1955,-,1885,1915
发动机型号,D19TCIE2,D19TCIE2,D19TCIE2,D19TCIE2,D19TCIE2,D19TCIE2,D19TCIE2,D19TCIE2,4K21D4W,4K21D4W,4K21D4W,4K21D4W,4K21D4W,4K21D4W,D19TCIE2,4K21D4W,4G69S4N,4G69S4N
排量(mL),1910,1910,1910,1910,1910,1910,1910,1910,1997,1997,1997,1997,1997,1997,1910,1997,2378,2378
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
压缩比,16,16,16,16,16,16,16,16,9.4,9.4,9.4,9.4,9.4,9.4,16,9.4,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-,-,-,-,-,85,85,85,85,85,85,80,85,-,-
行程(mm),-,-,-,-,-,-,-,-,88,88,88,88,88,88,95,88,-,-
最大马力(Ps),150,150,150,150,150,150,150,150,218,218,218,218,218,218,150,218,136,136
最大功率(kW)_y,110,110,110,110,110,110,110,110,160,160,160,160,160,160,110,160,100,100
最大功率转速(rpm),4000,4000,4000,4000,4000,4000,4000,4000,5600,5600,5600,5600,5600,5600,4000,5600,-,-
最大扭矩(N·m)_y,350,350,350,350,350,350,350,350,280,280,280,280,280,280,350,280,200,200
最大扭矩转速(rpm),1800-2800,1800-2800,1800-2800,1800-2800,1800-2800,1800-2800,1800-2800,1800-2800,1800-2800,1800-2800,1800-2800,1800-2800,1800-2800,1800-2800,2000-4800,1800-2800,-,-
发动机特有技术,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
燃料形式,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,汽油,汽油,汽油
燃油标号,0号,0号,0号,0号,0号,0号,0号,0号,92号,92号,92号,92号,92号,92号,0号,92号,92号,92号
供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,直喷,多点电喷,多点电喷,多点电喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
环保标准,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V
挡位个数,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
简称,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡自动,6挡手动,5挡手动,5挡手动
驱动方式,前置四驱,前置后驱,前置后驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置四驱,前置后驱,前置四驱
四驱形式,待查,-,-,待查,-,-,待查,待查,-,-,-,-,待查,待查,-,待查,-,待查
中央差速器结构,待查,-,-,待查,-,-,待查,待查,-,-,-,-,待查,待查,-,待查,-,待查
前悬架类型,双横臂螺旋弹簧独立悬架,双横臂螺旋弹簧独立悬架,双横臂螺旋弹簧独立悬架,双横臂螺旋弹簧独立悬架,双横臂螺旋弹簧独立悬架,双横臂螺旋弹簧独立悬架,双横臂螺旋弹簧独立悬架,双横臂螺旋弹簧独立悬架,双横臂螺旋弹簧独立悬架,双横臂螺旋弹簧独立悬架,双横臂螺旋弹簧独立悬架,双横臂螺旋弹簧独立悬架,双横臂螺旋弹簧独立悬架,双横臂螺旋弹簧独立悬架,双横臂螺旋弹簧独立悬架,双横臂螺旋弹簧独立悬架,双横臂螺旋弹簧独立悬架,双横臂螺旋弹簧独立悬架
后悬架类型,五连杆后悬架,五连杆后悬架,五连杆后悬架,五连杆后悬架,五连杆后悬架,五连杆后悬架,五连杆后悬架,五连杆后悬架,五连杆后悬架,五连杆后悬架,五连杆后悬架,五连杆后悬架,五连杆后悬架,五连杆后悬架,五连杆后悬架,五连杆后悬架,五连杆后悬架,五连杆后悬架
助力类型,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,鼓式,鼓式
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹
前轮胎规格,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17
