Feature,1003794,1004232
高度(mm),2645,2645
驱动方式,中置后驱,中置后驱
陡坡缓降,-,-
长度(mm),7005,7005
长*宽*高(mm),7005×2040×2645,7005×2040×2645
配气机构,未知,DOHC
道路救援呼叫,-,-
进气形式,自然吸气,涡轮增压
运动风格座椅,-,-
运动外观套件,-,-
轴距(mm),3935,3935
转向辅助灯,-,-
转向头灯,-,-
车顶行李架,○,○
车门数(个),2,2
车载电视,○,○
车载冰箱,○,○
车身结构_y,客车,客车
车身结构_x,客车,客车
车身稳定控制(ESC/ESP/DSC等),-,-
车窗防夹手功能,-,-
车型名称,考斯特 2015款 2.7L高级车,考斯特 2015款 2.8T高级车
车内中控锁,-,-
车体结构,非承载式,非承载式
货箱尺寸(mm),-,-
行程(mm),95,-
蓝牙/车载电话,-,-
自适应远近光,-,-
自动驻车,-,-
自动头灯,-,-
膝部气囊,-,-
能源类型,汽油,柴油
缺气保用轮胎,-,-
缸盖材料,未知,未知
缸径(mm),95,-
缸体材料,未知,未知
级别,轻客,轻客
简称,5挡手动,5挡手动
空气悬架,-,-
电动后备厢,-,-
环保标准_y,国IV,国IV
环保标准_x,国IV,国IV
牵引力控制(ASR/TCS/TRC等),-,-
燃油标号,92号,0号
燃料形式,汽油,柴油
温度分区控制,-,-
油箱容积(L),90,90
气缸数(个),4,4
气缸排列形式,L,L
每缸气门数(个),未知,未知
最高车速(km/h),100,100
最小离地间隙(mm),170,170
最大马力(Ps),163,140
最大载重质量(kg),-,-
最大扭矩转速(rpm),2600-3600,1600
最大扭矩(N·m)_y,260,360
最大扭矩(N·m)_x,260,360
最大功率转速(rpm),4600-5000,3200
最大功率(kW)_y,120,103
最大功率(kW)_x,120,103
无钥匙启动系统,-,-
方向盘记忆,-,-
方向盘换挡,-,-
方向盘加热,-,-
整车质保,两年或5万公里,两年或5万公里
整备质量(kg),4250,4250
排量(mL),2693,2776
挡位个数,5,5
感应后备厢,-,-
座位数(个),21,21
并线辅助,-,-
工信部综合油耗(L/100km),-,-
宽度(mm),2040,2040
大灯高度可调,-,-
大灯清洗装置,-,-
多功能方向盘,-,-
后风挡遮阳帘,●,●
后雨刷,●,●
后轮距(mm),-,-
后轮胎规格,7.00 R16,7.00 R16
后排车门开启方式,折叠门,折叠门
后排独立空调,●,●
后排杯架,-,-
后排座椅电动调节,-,-
后排侧隐私玻璃,●,●
后悬架类型,叶片式弹簧,钢板弹簧
后座出风口,●,●
后制动器类型,鼓式,鼓式
可变转向比,-,-
变速箱类型,手动变速箱(MT),手动变速箱(MT)
变速箱,5挡手动,5挡手动
发动机电子防盗,-,-
发动机型号,-,-
发动机启停技术,-,-
发动机,2.7L 163马力 L4,2.8T 140马力 L4
压缩比,-,-
厂商指导价(元),25.98万~32.98万,23.98万~32.98万
厂商,九龙汽车,九龙汽车
助力类型,液压助力,液压助力
前轮距(mm),-,-
前轮胎规格,7.00 R16,7.00 R16
前悬架类型,独立悬挂,非独立悬架
前制动器类型,通风盘式,鼓式
前/后驻车雷达,-,-
前/后电动车窗,-,-
前/后排头部气囊(气帘),-,-
前/后排侧气囊,-,-
前/后中央扶手,-,-
刹车辅助(EBA/BAS/BA等),-,-
制动力分配(EBD/CBC等),●,○
供油方式,多点电喷,直喷
主/副驾驶座电动调节,-,-
主/副驾驶座安全气囊,主○&nbsp;/&nbsp;副○,主○&nbsp;/&nbsp;副○
中央差速器锁止功能,-,-
上市时间,2015.12,2016.04
上坡辅助,-,-
LED日间行车灯,-,-
ISOFIX儿童座椅接口,-,-
GPS导航系统,○,○
ABS防抱死,●,○
220V/230V电源,-,-
