Feature,30489,30490,30491,30492,30493,30494,30495,30496,30497,30498,30499,30500,30501,33655,33656,33657,33658,33659,33660,33661,33662
高度(mm),1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1715,1715,1715,1715
驻车制动类型,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置前驱,前置前驱,前置前驱,前置前驱,前置四驱,前置四驱,前置四驱,前置四驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,●,●,●,●,●,●,●,●,●,-,-,-,-,●,●,●,●
防紫外线玻璃,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
长度(mm),4855,4855,4855,4855,4855,4855,4855,4890,4855,4855,4855,4855,4855,4890,4890,4890,4890,4890,4890,4890,4890
长*宽*高(mm),4855*1925*1720,4855*1925*1720,4855*1925*1720,4855*1925*1720,4855*1925*1720,4855*1925*1720,4855*1925*1720,4890*1925*1720,4855*1925*1720,4855*1925*1720,4855*1925*1720,4855*1925*1720,4855*1925*1720,4890*1925*1720,4890*1925*1720,4890*1925*1720,4890*1925*1720,4890*1925*1715,4890*1925*1715,4890*1925*1715,4890*1925*1715
铝合金轮圈,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,-,-,-,●,-,-,●,-,●,-,-,●,●,-,-,-,●,-,-,●,●
远程启动,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,LED,卤素,卤素,卤素,LED,卤素,卤素,卤素,卤素,卤素,卤素,卤素,LED
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,●,●,-,●,●,●,●,-,●,●,●,-,-,●,●,-,●,●,●
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,●,●,●
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降,前排,前排,前排,前排,前排,前排,前排,前排,前排,前排,前排,前排,前排,前排,前排,前排,前排,前排,前排,前排,前排
车型名称,汉兰达 2017款 2.0T 两驱精英版 5座,汉兰达 2017款 2.0T 两驱精英版 7座,汉兰达 2017款 2.0T 两驱豪华版 7座,汉兰达 2017款 2.0T 两驱豪华导航版 7座,汉兰达 2017款 2.0T 四驱精英版 7座,汉兰达 2017款 2.0T 四驱豪华版 7座,汉兰达 2017款 2.0T 四驱豪华导航版 7座,汉兰达 2017款 2.0T 四驱炫黑限量版,汉兰达 2017款 2.0T 四驱至尊版 7座,汉兰达 2017款 3.5L 四驱精英版 7座,汉兰达 2017款 3.5L 四驱豪华版 7座,汉兰达 2017款 3.5L 四驱豪华导航版 7座,汉兰达 2017款 3.5L 四驱至尊版 7座,汉兰达 2018款 2.0T 两驱精英版 5座,汉兰达 2018款 2.0T 两驱精英版 7座,汉兰达 2018款 2.0T 两驱豪华版 7座,汉兰达 2018款 2.0T 两驱尊贵版 7座,汉兰达 2018款 2.0T 四驱精英版 7座,汉兰达 2018款 2.0T 四驱豪华版 7座,汉兰达 2018款 2.0T 四驱尊贵版 7座,汉兰达 2018款 2.0T 四驱至尊版 7座
车内空气调节/花粉过滤,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内氛围灯,-,-,-,-,-,-,-,-,●,-,-,-,●,-,-,-,-,-,-,-,●
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
行车电脑显示屏,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
行程(mm),86,86,86,86,86,86,86,86,86,83,83,83,83,86,86,86,86,86,86,86,86
行李厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,●,●,●
自适应巡航,-,-,-,-,-,-,-,-,●,-,-,-,●,-,-,●,●,-,●,●,●
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,●,-,-,-,●,-,-,-,-,-,-,-,●
膝部气囊,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
腰部支撑调节,-,-,●,●,-,●,●,●,●,-,●,●,●,-,-,●,●,-,●,●,●
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,●,●,●
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),86,86,86,86,86,86,86,86,86,94,94,94,94,86,86,86,86,86,86,86,86
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
简称,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体
第二排靠背角度调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅移动,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
第三排座椅,-,2座,2座,2座,2座,2座,2座,2座,2座,2座,2座,2座,2座,-,2座,2座,2座,2座,2座,2座,2座
空调控制方式,手动●,手动●,自动●,自动●,手动●,自动●,自动●,自动●,自动●,手动●,自动●,自动●,自动●,手动●,手动●,自动●,自动●,手动●,自动●,自动●,自动●
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
皮质方向盘,-,-,●,●,-,●,●,●,●,-,●,●,●,-,-,●,●,-,●,●,●
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电磁感应悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-,-,-,●,-,-,-,●,-,-,-,-,-,-,-,●
电动天窗,-,-,●,●,-,●,●,●,●,-,●,●,●,-,-,●,●,-,●,●,●
