Feature,36868,36869,36870,36871,36872
高度(mm),1893,1893,1893,1893,1893
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱
零胎压继续行驶,-,-,-,-,-
陡坡缓降,●,●,●,●,●
防紫外线玻璃,●,●,●,●,●
长度(mm),4956,4956,4956,4956,4956
长*宽*高(mm),4956*2073*1893,4956*2073*1893,4956*2073*1893,4956*2073*1893,4956*2073*1893
铝合金轮圈,●,●,●,●,●
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,●,●
遥控钥匙,●,●,●,●,●
道路救援呼叫,●,●,●,●,●
远程启动,-,-,-,-,-
远光灯,LED,LED,LED,LED,LED
进气形式,涡轮增压,涡轮增压,机械增压,机械增压,机械增压
近光灯,LED,LED,LED,LED,LED
运动风格座椅,-,-,-,-,-
运动外观套件,-,○,-,○,○
轴距(mm),2923,2923,2923,2923,2923
转向辅助灯,-,-,-,-,-
转向头灯,○,●,○,●,●
车顶行李架,○,○,○,○,○
车门数(个),5,5,5,5,5
车道偏离预警系统,●,●,●,●,●
车载空气净化器,●,●,●,●,●
车载电视,-,○,-,○,○
车载冰箱,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●
车联网,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●
车窗一键升降,全车,全车,全车,全车,全车
车型名称,发现 2019款 2.0T SE,发现 2019款 2.0T HSE,发现 2019款 3.0 V6 SE,发现 2019款 3.0 V6 HSE,发现 2019款 3.0 V6 HSE LUXURY
车内空气调节/花粉过滤,●,●,●,●,●
车内氛围灯,●,●,●,●,●
车内中控锁,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式
行车电脑显示屏,●,●,●,●,●
行程(mm),-,-,-,-,-
行李厢容积(L),-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●
自适应远近光,●,●,●,●,●
自适应巡航,○,●,○,●,●
自动驻车,●,●,●,●,●
自动泊车入位,●,●,●,●,●
自动头灯,●,●,●,●,●
膝部气囊,-,-,-,-,-
腰部支撑调节,●,●,●,●,●
能源类型,汽油,汽油,汽油,汽油,汽油
胎压监测装置,●,●,●,●,●
肩部支撑调节,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
简称,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
第二排靠背角度调节,●,●,●,●,●
第二排独立座椅,-,-,-,-,-
第二排座椅移动,●,●,●,●,●
第三排座椅,2座,2座,2座,2座,2座
空调控制方式,自动●,自动●,自动●,自动●,自动●
空气悬架,●,●,●,●,●
皮质方向盘,●,●,●,●,●
疲劳驾驶提示,●,●,●,●,●
电磁感应悬架,-,-,-,-,-
电动座椅记忆,-,●,-,●,●
电动天窗,●,●,●,●,●
电动吸合门,-,-,-,-,-
电动后备厢,●,●,●,●,●
环保标准,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●
燃油标号,95号,95号,95号,95号,95号
燃料形式,汽油,汽油,汽油,汽油,汽油
温度分区控制,●,●,●,●,●
流媒体车内后视镜,-,-,-,-,-
油箱容积(L),90,90,90,90,90
气缸数(个),4,4,6,6,6
气缸排列形式,L,L,V,V,V
每缸气门数(个),4,4,4,4,4
最高车速(km/h),201,201,215,215,215
最小离地间隙(mm),-,-,-,-,-
最大马力(Ps),300,300,340,340,340
最大扭矩转速(rpm),1500-4000,1500-4000,3500-5000,3500-5000,3500-5000
最大扭矩(N·m)_y,400,400,450,450,450
最大扭矩(N·m)_x,400,400,450,450,450
最大功率转速(rpm),5500,5500,6500,6500,6500
最大功率(kW)_y,221,221,250,250,250
最大功率(kW)_x,221,221,250,250,250
无钥匙进入系统,○,●,○,●,●
无钥匙启动系统,●,●,●,●,●
方向盘调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节
方向盘记忆,-,●,-,●,●
方向盘电动调节,-,●,-,●,●
方向盘换挡,●,●,●,●,●
方向盘加热,○,●,○,●,●
