Feature,56031,56070,56071,57417,57418,57419,57420
高度(mm),1470,1470,1470,1470,1470,1470,1470
驾驶辅助影像,,-,,,,,
驾驶模式切换,,-,,-,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,-,-,单电机,-,-,-,单电机
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）
面部识别,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-
长度(mm),4988,4988,4988,4988,4988,4988,4988
长*宽*高(mm),4988*1875*1470,4988*1875*1470,4988*1875*1470,4988*1875*1470,4988*1875*1470,4988*1875*1470,4988*1875*1470
钥匙类型,,,,,,,
配气机构,DOHC,DOHC,-,DOHC,DOHC,DOHC,-
道路救援呼叫,●,●,●,●,●,●,●
道路交通标识识别,●,-,●,-,●,●,●
远程启动功能,,,,,,,
远光灯光源,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,
运动风格座椅,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-
辅助驾驶等级,,-,,-,,,
轴距(mm),2920,2920,2920,2920,2920,2920,2920
轮圈材质,,,,,,,
转向辅助灯,●,-,●,-,-,○,●
转向头灯,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,●,-,●,-,●,●,●
车道保持辅助系统,●,-,●,-,●,●,●
车载空气净化器,●,-,●,-,●,●,●
车载冰箱,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,
车型名称,红旗H5 2023款 2.0T 自动智联旗领版,红旗H5 2023款 1.5T DCT智联旗悦版,红旗H5 2023款 1.5T HEV智联旗领版,红旗H5 2023款 1.5T DCT智联旗韵版,红旗H5 2023款 2.0T 自动智联旗享版,红旗H5 2023款 2.0T 自动智联旗畅版,红旗H5 2023款 1.5T HEV智联旗畅版
车前雾灯,,-,,-,-,,
车内香氛装置,●,-,●,-,-,-,-
车内环境氛围灯,,-,,,,,
车内化妆镜,,,,,,,
车内中控锁,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,-,●,-,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,●,-,●,-,-,●,●
语音识别控制系统,,,,,,,
触摸式阅读灯,-,-,-,-,-,-,-
被动行人保护,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,
行李厢12V电源接口,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●
自适应远近光,●,-,●,-,●,●,●
自动驻车,●,●,●,●,●,●,●
自动泊车入位,○,-,-,-,-,-,-
自动头灯,●,●,●,●,●,●,●
膝部气囊,●,-,●,-,●,●,●
能量回收系统,-,-,●,-,-,-,●
能源类型,汽油,汽油,油电混合,汽油,汽油,汽油,油电混合
胎压监测功能,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铸铁,铸铁,铸铁,铝合金,铝合金,铸铁
级别,中型车,中型车,中型车,中型车,中型车,中型车,中型车
简称,8挡手自一体,7挡湿式双离合,E-CVT无级变速,7挡湿式双离合,8挡手自一体,8挡手自一体,E-CVT无级变速
第二排独立座椅,-,-,-,-,-,-,-
第二排座椅调节,-,-,-,-,-,-,-
第二排座椅电动调节,-,-,-,-,-,-,-
第二排座椅功能,,-,,-,-,-,-
空调温度控制方式,,,,,,,
空气悬架,-,-,-,-,-,-,-
离去角(°),16,16,16,16,16,16,16
百公里耗电量(kWh/100km),-,-,-,-,-,-,-
疲劳驾驶提示,●,-,●,-,●,●,●
电磁感应悬架,-,-,-,-,-,-,-
电池能量(kWh),-,-,-,-,-,-,-
电池类型,-,-,三元锂电池,-,-,-,三元锂电池
电机类型,-,-,永磁/同步,-,-,-,永磁/同步
电机布局,-,-,前置,-,-,-,前置
电动机总扭矩(N·m)_y,-,-,280,-,-,-,280
电动机总扭矩(N·m)_x,-,-,280,-,-,-,280
电动机总功率(kW)_y,-,-,140,-,-,-,140
电动机总功率(kW)_x,-,-,140,-,-,-,140
电动机总功率(Ps),-,-,190,-,-,-,190
电动机(Ps),-,-,190,-,-,-,190
电动扰流板,-,-,-,-,-,-,-
电动座椅记忆功能,,-,,-,-,,
电动吸合车门,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●
燃油标号,95号,95号,95号,95号,95号,95号,95号
燃料形式,汽油,汽油,油电混合,汽油,汽油,汽油,油电混合
灯光特色功能,-,-,-,-,-,-,-
温度分区控制,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,
油箱容积(L),-,-,-,-,-,-,-
气缸数(个),4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4
最高车速(km/h),230,215,180,215,230,230,180
最大马力(Ps),224,169,169,169,224,224,169
最大满载质量(kg),2085,2015,2195,2015,2085,2085,2195
最大扭矩转速(rpm),-,-,-,-,-,-,-
最大扭矩(N·m),340,258,258,258,340,340,258
最大功率转速(rpm),-,-,-,-,-,-,-
最大功率(kW),165,124,124,124,165,165,124
最大净功率(kW),160,118,118,118,160,160,118
无钥匙进入功能,,-,,,,,
无钥匙启动系统,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-
方向盘材质,,,,,,,
方向盘换挡,-,-,-,-,-,-,-
方向盘加热,●,-,●,-,-,-,-
方向盘位置调节,,,,,,,
整车质保,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里
整备质量(kg),1635,1565,1745,1565,1635,1635,1745
整体主动转向系统,-,-,-,-,-,-,-
接近角(°),13,13,13,13,13,13,13
排量(mL),1989,1498,1498,1498,1989,1989,1498
换挡形式,,,,,,,
挡位个数,8,7,无级变速,7,8,8,无级变速
扬声器数量,,,,,,,
扬声器品牌名称,,-,,-,,,
手机无线充电功能,,-,,-,-,,
手机互联/映射,-,-,-,-,-,-,-
手机APP远程功能,,,,,,,
手势控制,-,-,-,-,-,-,-
慢充时间(小时),-,-,-,-,-,-,-
感应雨刷功能,,,,,,,
感应后备厢,-,-,-,-,-,-,-
快充电量(%),-,-,-,-,-,-,-
快充时间(小时),-,-,-,-,-,-,-
座椅材质,,,,,,,
座位数(个),5,5,5,5,5,5,5
并线辅助,●,-,●,-,●,●,-
巡航系统,,,,,,,
导航路况信息显示,●,●,●,●,●,●,●
宽度(mm),1875,1875,1875,1875,1875,1875,1875
官方0-100km/h加速(s),7.8,9.5,8,9.5,7.8,7.8,8
安全带未系提醒,,,,,,,
天窗类型,,-,,,,,
大灯高度可调,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-
大灯延时关闭,●,●,●,●,●,●,●
多层隔音玻璃,,-,,-,-,-,-
多媒体/充电接口,,,,,,,
多功能方向盘,●,●,●,●,●,●,●
外后视镜功能,,,,,,,
备胎规格,无,无,无,无,无,无,无
地图品牌,,,,,,,
