,29032,29033,29251,29252,29253,34567,34568,34569,34570,34571,34572,34573,34574
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
第二排靠背角度调节,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆,●,●,○,○,●,○,○,○,○,○,○,●,●
前/后排座椅加热,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-
前/后排座椅通风,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-
前/后排座椅按摩,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒方式,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后中央扶手,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-
可加热/制冷杯架,-,-,-,-,-,-,-,-,-,-,-,-,-
GPS导航系统,●,●,●,●,●,●,●,●,●,●,●,●,●
定位互动服务,○,○,○,○,○,○,○,○,○,○,○,○,○
中控台彩色大屏,●,●,●,●,●,●,●,●,●,●,●,●,●
中控台彩色大屏尺寸,8英寸,8英寸,8英寸,8英寸,8英寸,10英寸,10英寸,10英寸,10英寸,10英寸,10英寸,10英寸,10英寸
中控液晶屏分屏显示,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●
手机互联/映射,-,-,-,-,-,-,-,-,-,-,-,-,-
车联网,○,○,○,○,○,○,○,○,○,○,○,○,○
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-,-,-,-,-,-
220V/230V电源,-,-,-,-,-,-,-,-,-,-,-,-,-
外接音源接口,USB+HDMI,USB+HDMI,USB+HDMI,USB+HDMI,USB+HDMI,USB+HDMI,USB+HDMI,USB+HDMI,USB+HDMI,USB+HDMI,USB+HDMI,USB+HDMI,USB+HDMI
CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-
扬声器品牌,Meridian英国之宝,Meridian英国之宝,Meridian英国之宝,Meridian英国之宝,Meridian英国之宝,Meridian英国之宝,Meridian英国之宝,Meridian英国之宝,Meridian英国之宝,Meridian英国之宝,Meridian英国之宝,Meridian英国之宝,Meridian英国之宝
扬声器数量,10-11喇叭(选装≥12喇叭),10-11喇叭(选装≥12喇叭),10-11喇叭(选装≥12喇叭),10-11喇叭(选装≥12喇叭),10-11喇叭(选装≥12喇叭),10-11喇叭(选装≥12喇叭),10-11喇叭(选装≥12喇叭),10-11喇叭(选装≥12喇叭),10-11喇叭(选装≥12喇叭),10-11喇叭(选装≥12喇叭),10-11喇叭(选装≥12喇叭),10-11喇叭(选装≥12喇叭),10-11喇叭(选装≥12喇叭)
近光灯,LED,LED,氙气(选装LED),氙气(选装LED),LED,氙气(选装LED),氙气(选装LED),氙气(选装LED),氙气(选装LED),LED,LED,LED,LED
远光灯,LED,LED,氙气(选装LED),氙气(选装LED),LED,氙气(选装LED),氙气(选装LED),氙气(选装LED),氙气(选装LED),LED,LED,LED,LED
LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,○,○,○,○,○,○,○,○,○,○,○,○,○
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,○,○,○,○,○,○,○,○,○,○,○,○,○
前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,●,●,●,●,●,●,●,●,●,●,●,●,●
车内氛围灯,●,●,●,●,●,○,○,○,○,○,○,●,●
前/后电动车窗,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
车窗一键升降,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●
防紫外线/隔热玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●,●,●,●,●,●,●,●
后视镜加热,●,●,●,●,●,●,●,●,●,●,●,●,●
内/外后视镜自动防眩目,内●&nbsp;/&nbsp;外○,内●&nbsp;/&nbsp;外○,内●&nbsp;/&nbsp;外○,内●&nbsp;/&nbsp;外○,内●&nbsp;/&nbsp;外○,内●&nbsp;/&nbsp;外○,内●&nbsp;/&nbsp;外○,内●&nbsp;/&nbsp;外○,内●&nbsp;/&nbsp;外○,内●&nbsp;/&nbsp;外○,内●&nbsp;/&nbsp;外○,内●&nbsp;/&nbsp;外○,内●&nbsp;/&nbsp;外○
流媒体车内后视镜,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动折叠,●,●,○,○,●,○,○,○,○,○,○,●,●
后视镜记忆,●,●,○,○,●,○,○,○,○,○,○,●,●
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-
遮阳板化妆镜,●,○,○,○,●,○,○,○,○,○,○,●,●
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●
空调控制方式,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-
后座出风口,-,-,-,-,-,-,-,-,-,-,-,-,-
温度分区控制,○,○,○,○,○,○,○,○,○,○,○,○,○
车内空气调节/花粉过滤,●,●,●,●,●,●,●,●,●,●,●,●,●
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,捷豹F-TYPE 2018款 5.0T SVR 硬顶版,捷豹F-TYPE 2018款 3.0T 400 SPORT硬顶版,捷豹F-TYPE 2018款 3.0T 硬顶版,捷豹F-TYPE 2018款 3.0T 敞篷版,捷豹F-TYPE 2018款 5.0T SVR 敞篷版,捷豹F-TYPE 2019款 2.0T 硬顶版,捷豹F-TYPE 2019款 2.0T 敞篷版,捷豹F-TYPE 2019款 3.0T 硬顶版,捷豹F-TYPE 2019款 3.0T 敞篷版,捷豹F-TYPE 2019款 3.0T R-Dynamic硬顶版,捷豹F-TYPE 2019款 3.0T R-Dynamic敞篷版,捷豹F-TYPE 2019款 5.0T SVR 硬顶版,捷豹F-TYPE 2019款 5.0T SVR 敞篷版
厂商指导价(元),198.80万,105.80万,79.80万,84.80万,203.80万,59.80万,64.80万,79.18万,84.08万,98.98万,103.98万,197.80万,202.08万
厂商,捷豹,捷豹,捷豹,捷豹,捷豹,捷豹,捷豹,捷豹,捷豹,捷豹,捷豹,捷豹,捷豹
级别,跑车,跑车,跑车,跑车,跑车,跑车,跑车,跑车,跑车,跑车,跑车,跑车,跑车
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,2017.08,2017.08,2017.08,2017.08,2017.08,2018.04,2018.04,2018.04,2018.04,2018.04,2018.04,2018.04,2018.04
最大功率(kW)_x,423,294,250,250,423,221,221,250,250,280,280,423,423
最大扭矩(N·m)_x,700,460,450,450,700,400,400,450,450,460,460,700,700
发动机,5.0T 575马力 V8,3.0T 400马力 V6,3.0T 340马力 V6,3.0T 340马力 V6,5.0T 575马力 V8,2.0T 300马力 L4,2.0T 300马力 L4,3.0T 340马力 V6,3.0T 340马力 V6,3.0T 381马力 V6,3.0T 381马力 V6,5.0T 575马力 V8,5.0T 575马力 V8
变速箱,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
长*宽*高(mm),4475*1923*1322,4482*1923*1311,4482*1923*1311,4482*1923*1308,4475*1923*1319,4482*1923*1311,4482*1923*1308,4482*1923*1311,4482*1923*1308,4482*1923*1311,4482*1923*1308,4475*1923*1311,4475*1923*1308
车身结构_x,2门2座硬顶跑车,2门2座硬顶跑车,2门2座硬顶跑车,2门2座软顶敞篷车,2门2座软顶敞篷车,2门2座硬顶跑车,2门2座软顶敞篷车,2门2座硬顶跑车,2门2座软顶敞篷车,2门2座硬顶跑车,2门2座软顶敞篷车,2门2座硬顶跑车,2门2座软顶敞篷车
最高车速(km/h),322,275,260,260,314,250,250,260,260,275,275,322,314
官方0-100km/h加速(s),3.7,5.1,5.3,5.3,3.7,5.7,5.7,5.3,5.3,5.1,5.1,3.7,3.7
实测0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),11.3,9.1,8.6,8.6,11.3,7.2,7.2,8.4,8.4,8.9,8.9,11.3,11.3
实测油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
长度(mm),4475,4482,4482,4482,4475,4482,4482,4482,4482,4482,4482,4475,4475
宽度(mm),1923,1923,1923,1923,1923,1923,1923,1923,1923,1923,1923,1923,1923
高度(mm),1322,1311,1311,1308,1319,1311,1308,1311,1308,1311,1308,1311,1308
轴距(mm),2622,2622,2622,2622,2622,2622,2622,2622,2622,2622,2622,2622,2622
前轮距(mm),1585,1585,1597,1597,1585,1597,1597,1597,1597,1597,1597,1585,1585
后轮距(mm),1611,1627,1649,1649,1611,1649,1649,1649,1649,1649,1649,1611,1611
最小离地间隙(mm),107,-,101,101,107,-,-,101,101,101,101,-,-
车身结构_y,硬顶跑车,硬顶跑车,硬顶跑车,软顶敞篷车,软顶敞篷车,硬顶跑车,软顶敞篷车,硬顶跑车,软顶敞篷车,硬顶跑车,软顶敞篷车,硬顶跑车,软顶敞篷车
车门数(个),2,2,2,2,2,2,2,2,2,2,2,2,2
座位数(个),2,2,2,2,2,2,2,2,2,2,2,2,2
油箱容积(L),70,70,70,70,70,63,63,70,70,70,70,70,70
行李厢容积(L),310-408,310-408,310-408,207,207,408,207,310-408,207,310-408,207,408,207
整备质量(kg),1850,1820,1740,1745,1850,1525,1545,1577,1597,1674,1694,1705,1720
发动机型号,-,-,-,-,-,-,-,-,-,-,-,-,-
排量(mL),5000,2995,2995,2995,5000,1997,1997,2995,2995,2995,2995,5000,5000
进气形式,机械增压,机械增压,机械增压,机械增压,机械增压,涡轮增压,涡轮增压,机械增压,机械增压,机械增压,机械增压,机械增压,机械增压
气缸排列形式,V,V,V,V,V,L,L,V,V,V,V,V,V
气缸数(个),8,6,6,6,8,4,4,6,6,6,6,8,8
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4
压缩比,9.5,10.5,10.5,10.5,9.5,9.5,9.5,10.5,10.5,10.5,10.5,9.5,9.5
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),92.5,84.5,84.5,84.5,92.5,-,-,-,-,-,-,92.5,92.5
行程(mm),93,89,89,89,93,-,-,-,-,-,-,93,93
最大马力(Ps),575,400,340,340,575,300,300,340,340,381,381,575,575
最大功率(kW)_y,423,294,250,250,423,221,221,250,250,280,280,423,423
最大功率转速(rpm),6500,6500,6500,6500,6500,5500,5500,6500,6500,6500,6500,6500,6500
最大扭矩(N·m)_y,700,460,450,450,700,400,400,450,450,460,460,700,700
最大扭矩转速(rpm),3500,3500,3500,3500-5000,3500,1500-4500,1500-4500,3500-5000,3500-5000,3500-5500,3500-5500,3500,3500
发动机特有技术,-,-,-,-,-,-,-,-,-,-,-,-,-
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号
供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
环保标准,欧V,欧V,欧V,欧V,欧V,欧V,欧V,欧V,欧V,欧V,欧V,欧V,欧V
挡位个数,8,8,8,8,8,8,8,8,8,8,8,8,8
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
简称,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
驱动方式,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱
四驱形式,适时四驱,适时四驱,-,-,适时四驱,-,-,-,-,适时四驱,适时四驱,适时四驱,适时四驱
中央差速器结构,待查,待查,-,-,待查,-,-,-,-,待查,待查,待查,待查
前悬架类型,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架
后悬架类型,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
前轮胎规格,265/35 R20,255/35 R20,245/40 R19,245/40 R19,265/35 R20,245/40 R19,245/40 R19,245/40 R19,245/40 R19,255/35 R20,255/35 R20,265/35 R20,265/35 R20
后轮胎规格,305/30 R20,295/30 R20,275/35 R19,275/35 R19,305/30 R20,275/35 R19,275/35 R19,275/35 R19,275/35 R19,295/30 R20,295/30 R20,305/30 R20,305/30 R20
备胎规格,无,无,无,无,无,无,无,无,无,无,无,无,无
