Feature,33303,33304,33305,33306,37752,37753,37756
高度(mm),1709,1709,1709,1709,1709,1709,1709
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱
零胎压继续行驶,●,●,●,●,●,●,●
陡坡缓降,●,●,●,●,●,●,●
防紫外线玻璃,●,●,●,●,●,●,●
长度(mm),4929,4929,4929,4929,4929,4929,4929
长*宽*高(mm),4929*1989*1709,4929*1989*1709,4929*1989*1709,4929*1989*1709,4929*1989*1709,4929*1989*1709,4929*1989*1709
铝合金轮圈,●,●,●,●,●,●,●
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●
道路救援呼叫,●,●,●,●,●,●,●
远程启动,-,-,-,-,-,-,-
远光灯,氙气(选装LED),氙气(选装LED),LED,LED,氙气(选装LED),氙气(选装LED),LED
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯,氙气(选装LED),氙气(选装LED),LED,LED,氙气(选装LED),氙气(选装LED),LED
运动风格座椅,●,-,●,-,●,●,●
运动外观套件,-,-,●,-,●,●,●
轴距(mm),2933,2933,2933,2933,2933,2933,2933
转向辅助灯,-,-,-,-,-,-,-
转向头灯,○,○,●,●,○,○,●
车顶行李架,●,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5,5
车道偏离预警系统,○,○,○,○,○,○,○
车载空气净化器,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●
车窗一键升降,全车,全车,全车,全车,全车,全车,全车
车型名称,宝马X6 2018款 xDrive28i,宝马X6 2018款 xDrive35i 领先型,宝马X6 2018款 xDrive35i M运动豪华型,宝马X6 2018款 xDrive35i 尊享型,宝马X6 2019款 xDrive28i M运动套装,宝马X6 2019款 xDrive35i M运动套装,宝马X6 2019款  xDrive35i尊享型 M运动套装
车内空气调节/花粉过滤,●,●,●,●,●,●,●
车内氛围灯,●,●,●,●,●,●,●
车内中控锁,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
行车电脑显示屏,●,●,●,●,●,●,●
行程(mm),90.1,-,-,-,90.1,-,-
行李厢容积(L),580-1525,580-1525,580-1525,580-1525,580-1525,580-1525,580-1525
蓝牙/车载电话,●,●,●,●,●,●,●
自适应远近光,○,○,●,●,○,○,●
自适应巡航,○,○,○,○,○,○,○
自动驻车,●,●,●,●,●,●,●
自动泊车入位,○,○,○,○,○,○,●
自动头灯,●,●,●,●,●,●,●
膝部气囊,-,-,-,-,-,-,-
腰部支撑调节,●,●,●,●,●,●,●
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测装置,●,●,●,●,●,●,●
肩部支撑调节,-,-,-,●,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),84,-,-,-,84,-,-
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
简称,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
第二排靠背角度调节,-,-,-,-,-,-,-
第二排独立座椅,-,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-
空调控制方式,自动●,自动●,自动●,自动●,自动●,自动●,自动●
空气悬架,-,-,-,-,-,-,-
皮质方向盘,●,●,●,●,●,●,●
疲劳驾驶提示,●,●,●,●,●,●,●
电磁感应悬架,-,-,-,-,-,-,-
电动座椅记忆,●,●,●,●,●,●,●
电动天窗,●,●,●,●,●,●,●
电动吸合门,○,○,○,●,○,○,○
电动后备厢,●,●,●,●,●,●,●
环保标准,国IV(国V),国V,国V,国V,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●
燃油标号,95号,95号,95号,95号,95号,95号,95号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,●,●,●,●,●,●,●
流媒体车内后视镜,-,-,-,-,-,-,-
油箱容积(L),85,85,85,85,85,85,85
气缸数(个),4,6,6,6,4,6,6
气缸排列形式,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4
最高车速(km/h),205,240,240,240,205,240,240
最小离地间隙(mm),-,-,-,-,-,-,-
最大马力(Ps),245,306,306,306,245,306,306
最大扭矩转速(rpm),1250-4800,1200-5000,1200-5000,1200-5000,1250-4800,1200-5000,1200-5000
最大扭矩(N·m)_y,350,400,400,400,350,400,400
最大扭矩(N·m)_x,350,400,400,400,350,400,400
最大功率转速(rpm),5000-6500,5800-6400,5800-6400,5800-6400,5000-6500,5800-6400,5800-6400
最大功率(kW)_y,180,225,225,225,180,225,225
最大功率(kW)_x,180,225,225,225,180,225,225
无钥匙进入系统,○,○,●,●,○,○,●
