Feature,1010074,1010131
高度(mm),1900,1900
驾驶辅助影像,-,-
驱动电机数,单电机,单电机
驱动方式,后置后驱,后置后驱
陡坡缓降,-,-
长度(mm),4490,4490
长*宽*高(mm),4490×1610×1900,4490×1610×1900
钥匙类型,,
远光灯光源,,
近光灯光源,,
轴距(mm),3050,3050
轮圈材质,,
车门数(个),5,5
车身结构_y,货车,货车
车身结构_x,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-
车窗防夹手功能,-,-
车型名称,北汽小河马 2020款 纯电厢式物流车电池不加热版,北汽小河马 2020款 纯电厢式物流车电池加热版
车前雾灯,-,-
车内环境氛围灯,-,-
车内化妆镜,-,-
车内中控锁,●,●
车体结构,未知,未知
货箱尺寸(mm),-,-
行车电脑显示屏幕,,
蓝牙/车载电话,-,-
自适应远近光,-,-
自动驻车,-,-
自动头灯,-,-
能源类型,纯电动,纯电动
胎压监测功能,-,-
缺气保用轮胎,-,-
级别,微面,微面
简称,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-
空调温度控制方式,,
百公里耗电量(kWh/100km),20,20
电池组质保,待查,待查
电池类型,磷酸铁锂电池,磷酸铁锂电池
电池容量(kWh),43.2,43.2
电池充电时间,-,-
电机类型,永磁 / 同步,永磁 / 同步
电机布局,后置,后置
电动机总扭矩(N·m),220,220
电动机总功率(kW),60,60
电动机(Ps),82,82
电动座椅记忆功能,-,-
电动后备厢,-,-
牵引力控制(ASR/TCS/TRC等),-,-
温度分区控制,-,-
最高车速(km/h),90,90
最小离地间隙(mm),125,125
最大载重质量(kg),-,-
最大满载质量(kg),-,-
最大扭矩(N·m),220,220
最大功率(kW),60,60
无钥匙进入功能,-,-
无钥匙启动系统,-,-
方向盘记忆,-,-
方向盘材质,,
方向盘换挡,-,-
方向盘加热,-,-
方向盘位置调节,-,-
整车质保,-,-
整备质量(kg),1445,1445
挡位个数,1,1
扬声器数量,,
扬声器品牌名称,-,-
慢充时间(小时),-,-
感应雨刷功能,-,-
快充电量百分比,-,-
快充电量(%),-,-
快充时间(小时),1.5,1.5
座椅材质,,
座位数(个),2,2
并线辅助,-,-
工信部续航里程(km),270,270
工信部纯电续航里程(km),270,270
巡航系统,-,-
宽度(mm),1610,1610
安全带未系提醒,-,-
天窗类型,-,-
大灯高度可调,●,●
多媒体/充电接口,,
多功能方向盘,-,-
外后视镜功能,-,-
后雨刷,-,-
后轮距(mm),1408,1408
后轮胎规格,175/70 R14,175/70 R14
后电动机最大扭矩(N·m),220,220
后电动机最大功率(kW),60,60
后排车门开启方式,侧滑门,侧滑门
后排独立空调,-,-
后排杯架,-,-
后排座椅放倒形式,-,-
后悬架类型,未知,未知
后座出风口,-,-
后制动器类型,鼓式,鼓式
变速箱类型,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),10.78万,11.08万
厂商,北京汽车制造厂,北京汽车制造厂
卫星导航系统,-,-
助力类型,电动助力,电动助力
副座椅调节方式,,
前轮距(mm),1386,1386
前轮胎规格,175/70 R14,175/70 R14
前电动机最大扭矩(N·m),-,-
前电动机最大功率(kW),-,-
前排座椅功能,-,-
前悬架类型,未知,未知
前制动器类型,盘式,盘式
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排头部气囊(气帘),-,-
前/后排侧气囊,-,-
前/后中央扶手,-,-
刹车辅助(EBA/BAS/BA等),-,-
制动力分配(EBD/CBC等),●,●
准拖挂车总质量(kg),-,-
内后视镜功能,-,-
全液晶仪表盘,-,-
侧滑门形式,,
主座椅调节方式,,
主/副驾驶座电动调节,-,-
主/副驾驶座安全气囊,-,-
中控彩色屏幕,-,-
上市时间,2020.09,2020.09
上坡辅助,-,-
LED日间行车灯,-,-
ISOFIX儿童座椅接口,-,-
ABS防抱死,●,●
