Feature,1004008,1004040,1004041,1006034,1006035,1006036,1006037,1006038,1006039,1006040,1006041,1006042,1006043,1006044,1006045,1009102,1009103,1009104,1009679,1009680,1009681,1009682,1009683,1009684,1009685,1009686,1009687,1009688,1009689
高度(mm),2095,2095,2095,1935,1935,1935,1935,1935,1935,1935,1935,2225,2225,2225,2225,2245,1955,2245,2245,1955,2245,2225,2225,1935,2225,1935,2225,1935,2225
驾驶辅助影像,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4880,4880,4880,5020,5020,5020,5020,5020,5020,5020,5020,5400,5400,5400,5400,5350,5020,5020,5350,5020,5020,5400,5400,5020,5020,5020,5020,5020,5020
长*宽*高(mm),4880×1700×2095,4880×1700×2095,4880×1700×2095,5020×1690×1935,5020×1690×1935,5020×1690×1935,5020×1690×1935,5020×1690×1935,5020×1690×1935,5020×1690×1935,5020×1690×1935,5400×1690×2225,5400×1690×2225,5400×1690×2225,5400×1690×2225,5350×1690×2245,5020×1690×1955,5020×1690×2245,5350×1690×2245,5020×1690×1955,5020×1690×2245,5400×1690×2225,5400×1690×2225,5020×1690×1935,5020×1690×2225,5020×1690×1935,5020×1690×2225,5020×1690×1935,5020×1690×2225
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,未知,未知,SOHC,未知,未知,未知,未知,未知,未知,SOHC,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2570,2570,2570,2590,2590,2590,2590,2590,2590,2590,2590,2920,2920,2920,2920,2920,2590,2590,2920,2590,2590,2920,2920,2590,2590,2590,2590,2590,2590
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,客车,客车,客车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,货车,货车,货车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车
车身结构_x,客车,客车,客车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,货车,货车,货车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,金杯海狮 2016款 2.2L快运厢货版V22,金杯海狮 2016款 2.2L豪华型V22,金杯海狮 2016款 2.0L豪华型V19,金杯海狮 2018款 2.0L五代箱货标准顶2座4G21C,金杯海狮 2018款 2.0L五代箱货标准顶2座4G19,金杯海狮 2018款 2.0L五代快运豪华型标准顶6座V19S,金杯海狮 2018款 2.0L五代快运标准型标准顶6座V19S,金杯海狮 2018款 2.0L五代快运王豪华型标准顶10座4G21C,金杯海狮 2018款 2.0L五代快运王豪华型标准顶10座4G19,金杯海狮 2018款 2.0L五代动力王舒适型标准顶10座V20,金杯海狮 2018款 2.0L五代动力王豪华型标准顶10座4G21D4C,金杯海狮 2018款 2.0L五代动力王舒适型加长高顶13座4G21D4C,金杯海狮 2018款 2.0L五代快运王舒适型加长高顶13座4G21C,金杯海狮 2018款 2.0L五代快运豪华型加长高顶6座V19S,金杯海狮 2018款 2.0L五代快运标准型加长高顶6座V19S,金杯海狮 2020款 2.0L翔运系列豪华型厢货高顶国VI 1TZS,金杯海狮 2020款 2.0L快运王系列豪华型厢货标准顶国VI 1TZS,金杯海狮 2020款 2.0L快运王系列豪华型厢货高顶国VI 1TZS,金杯海狮 2020款 2.0L经典翔运系列商务型厢货高顶国VI 1TZS,金杯海狮 2020款 2.0L经典快运王系列商务型厢货标准顶国VI 1TZS,金杯海狮 2020款 2.0L经典快运王系列商务型厢货高顶国VI 1TZS,金杯海狮 2020款 2.0L经典商务豪华型加长高顶国VI 1TZS,金杯海狮 2020款 2.0L经典商务舒适型加长高顶国VI 1TZS,金杯海狮 2020款 2.0L经典商务型标准顶国VI 1TZS,金杯海狮 2020款 2.0L经典商务型高顶国VI 1TZS,金杯海狮 2020款 2.0L经典旗舰型标准顶国VI 1TZS,金杯海狮 2020款 2.0L经典旗舰型高顶国VI 1TZS,金杯海狮 2020款 2.0L经典豪华型标准顶国VI 1TZS,金杯海狮 2020款 2.0L经典豪华型高顶国VI 1TZS
车前雾灯,-,,,,,,-,,,,,,,-,-,-,-,-,-,-,-,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,-,●,●,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
级别,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,-,,,,,,,,-,,,,,,,,,,,,,,
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动吸合车门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国IV/国V,国IV/国V,国IV/国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国IV/国V,国IV/国V,国IV/国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),未知,未知,2,未知,未知,未知,未知,未知,未知,2,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
最高车速(km/h),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),112,112,106,103,100,106,106,103,100,110,122,122,103,106,106,136,136,136,136,136,136,136,136,136,136,136,136,136,136
