Feature,30032,30033
高度(mm),1483,1483
驻车制动类型,手刹,手刹
驱动电机数,单电机,单电机
驱动方式,前置前驱,前置前驱
零胎压继续行驶,-,-
陡坡缓降,-,-
防紫外线/隔热玻璃,●,●
长度(mm),4946,4946
长*宽*高(mm),4946*1860*1483,4946*1860*1483
铝合金轮圈,●,●
遮阳板化妆镜,●,●
遥控钥匙,●,●
道路救援呼叫,-,-
远程启动,-,-
远光灯,氙气,氙气
近光灯,氙气,氙气
运动风格座椅,-,-
运动外观套件,-,-
轴距(mm),2830,2830
转向辅助灯,-,-
转向头灯,-,-
车顶行李架,-,-
车门数(个),4,4
车道偏离预警系统,-,-
车载空气净化器,-,-
车载电视,-,-
车载冰箱,-,-
车身结构_y,三厢车,三厢车
车身结构_x,4门4座三厢车,4门4座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●
车联网,●,●
车窗防夹手功能,●,●
车窗一键升降,全车,全车
车型名称,EH系列 2017款 EH300 行政版,EH系列 2017款 EH300 尊享版
车内空气调节/花粉过滤,●,●
车内氛围灯,-,-
车内中控锁,●,●
车体结构,承载式,承载式
行车电脑显示屏,●,●
行李厢容积(L),-,-
蓝牙/车载电话,●,●
自适应远近光,-,-
自适应巡航,-,-
自动驻车,-,-
自动泊车入位,-,-
自动头灯,●,●
膝部气囊,-,-
腰部支撑调节,●,●
能源类型,纯电动,纯电动
胎压监测装置,●,●
肩部支撑调节,-,-
级别,中大型车,中大型车
系统综合扭矩(N·m),-,-
系统综合功率(kW),-,-
简称,电动车单速变速箱,电动车单速变速箱
第二排靠背角度调节,-,-
第二排独立座椅,-,-
第二排座椅移动,-,-
第三排座椅,-,-
空调控制方式,自动●,自动●
空气悬架,-,-
皮质方向盘,●,●
百公里耗电量(kWh/100km),-,-
疲劳驾驶提示,●,●
电磁感应悬架,-,-
电池组质保,待查,待查
电池类型,-,-
电池容量(kWh),54.6,54.6
电机类型,-,-
电机布局,前置,前置
电动机总扭矩(N·m),-,-
电动机总功率(kW),100,100
电动座椅记忆,●,●
电动天窗,●,●
电动吸合门,-,-
电动后备厢,-,-
牵引力控制(ASR/TCS/TRC等),●,●
温度分区控制,-,-
油箱容积(L),-,-
最高车速(km/h),140,140
最小离地间隙(mm),-,-
最大扭矩(N·m),-,-
最大功率(kW),100,100
无钥匙进入系统,●,●
无钥匙启动系统,●,●
方向盘调节,上下+前后调节,上下+前后调节
方向盘记忆,-,-
方向盘电动调节,-,-
方向盘换挡,-,-
方向盘加热,-,-
整车质保,三年或12万公里,三年或12万公里
整备质量(kg),-,-
挡位个数,1,1
扬声器数量,≥12喇叭,≥12喇叭
扬声器品牌,BOSE,BOSE
手机无线充电,-,-
手机互联/映射,-,-
慢充时间(小时)_y,10,10
慢充时间(小时)_x,10,10
感应雨刷,●,●
感应后备厢,-,-
快充电量百分比,-,-
快充电量(%),-,-
快充时间(小时)_y,0.75,0.75
快充时间(小时)_x,0.75,0.75
座椅高低调节,●,●
座椅材质,仿皮,仿皮
座位数(个),4,4
并线辅助,●,●
工信部续航里程(km),300,300
工信部纯电续驶里程(km),300,300
宽度(mm),1860,1860
实测续航里程(km),-,-
实测100-0km/h制动(m),-,-
实测0-100km/h加速(s),-,-
定速巡航,-,-
官方0-100km/h加速(s),-,-
安全带未系提示,●,●
大灯高度可调,●,●
大灯清洗装置,●,●
夜视系统,-,-
多天窗,-,-
多功能方向盘,●,●
外接音源接口,USB+AUX,USB+AUX
备胎规格,无,无
后风挡遮阳帘,●,●
后雨刷,-,-
